FS,DISK_GEOMETRY,case,BLOCK_SIZE,bench_throughput,bench_ram
2,1,bench_p26_wt_linear,1048576,1675065.8057757388,3104
2,1,bench_p26_wt_linear,131072,1694033.1528282952,3408
2,1,bench_p26_wt_linear,16384,1689304.4901871874,3552
2,1,bench_p26_wt_linear,262144,1691694.4248197954,3408
2,1,bench_p26_wt_linear,32768,1693631.5542431185,3552
2,1,bench_p26_wt_linear,4096,1655444.9267468625,3552
2,1,bench_p26_wt_linear,524288,1683400.7370123952,3104
2,1,bench_p26_wt_linear,65536,1694668.4913500277,3408
2,1,bench_p26_wt_linear,8192,1679545.3208212159,3552
2,1,bench_p26_wt_logging,1048576,227.86862219123907,3312
2,1,bench_p26_wt_logging,131072,1408.8143459228877,3456
2,1,bench_p26_wt_logging,16384,8895.74467856601,3568
2,1,bench_p26_wt_logging,262144,720.5919399020205,3408
2,1,bench_p26_wt_logging,32768,5046.147443744961,3552
2,1,bench_p26_wt_logging,4096,18543.62706983338,3568
2,1,bench_p26_wt_logging,524288,390.1928276021205,3312
2,1,bench_p26_wt_logging,65536,2707.3343058052474,3456
2,1,bench_p26_wt_logging,8192,14184.395734311805,3568
2,1,bench_p26_wt_many,1048576,25.45250252360717,3840
2,1,bench_p26_wt_many,131072,177.0459419963971,3840
2,1,bench_p26_wt_many,16384,341.1297853432158,3840
2,1,bench_p26_wt_many,262144,133.11585718266804,3840
2,1,bench_p26_wt_many,32768,215.47750178244098,3840
2,1,bench_p26_wt_many,4096,501.1274886240053,3840
2,1,bench_p26_wt_many,524288,61.740883116691144,3840
2,1,bench_p26_wt_many,65536,176.37627910770573,3840
2,1,bench_p26_wt_many,8192,450.2438079981844,3840
2,1,bench_p26_wt_random,1048576,62.54830717179897,3088
2,1,bench_p26_wt_random,131072,88.31380909085875,3392
2,1,bench_p26_wt_random,16384,91.85095365619775,3536
2,1,bench_p26_wt_random,262144,83.4721030093367,3392
2,1,bench_p26_wt_random,32768,92.1042597085614,3536
2,1,bench_p26_wt_random,4096,85.46198397946188,3536
2,1,bench_p26_wt_random,524288,74.8920667947724,3088
2,1,bench_p26_wt_random,65536,91.02364632044454,3392
2,1,bench_p26_wt_random,8192,89.53698580447737,3536
