FS,DISK_GEOMETRY,case,BLOCK_SIZE,bench_throughput,bench_ram
2,0,bench_p26_wt_linear,1048576,55244.95105276802,2320
2,0,bench_p26_wt_linear,131072,75211.85495912336,2320
2,0,bench_p26_wt_linear,16384,78769.91745769928,2640
2,0,bench_p26_wt_linear,262144,71521.68797781119,2320
2,0,bench_p26_wt_linear,32768,78241.4115835779,2640
2,0,bench_p26_wt_linear,4096,79157.77472766432,2784
2,0,bench_p26_wt_linear,524288,65112.86712701113,2320
2,0,bench_p26_wt_linear,65536,77203.75172785262,2640
2,0,bench_p26_wt_linear,8192,79035.76686381618,2784
2,0,bench_p26_wt_logging,1048576,5.618063507986629,2448
2,0,bench_p26_wt_logging,131072,41.66698753257417,2544
2,0,bench_p26_wt_logging,16384,327.64714953493046,2640
2,0,bench_p26_wt_logging,262144,21.795348320861187,2448
2,0,bench_p26_wt_logging,32768,164.6814631402214,2640
2,0,bench_p26_wt_logging,4096,1275.7361633278497,2784
2,0,bench_p26_wt_logging,524288,11.1169199990369,2448
2,0,bench_p26_wt_logging,65536,82.8594733049454,2640
2,0,bench_p26_wt_logging,8192,649.4761336332217,2784
2,0,bench_p26_wt_many,1048576,25.658947247467744,3072
2,0,bench_p26_wt_many,16384,1111.126490956932,3072
2,0,bench_p26_wt_many,32768,1104.8359043247478,3072
2,0,bench_p26_wt_many,4096,1118.5441238225608,3072
2,0,bench_p26_wt_many,65536,1054.2818826844818,3072
2,0,bench_p26_wt_many,8192,1113.4597051770502,3072
2,0,bench_p26_wt_random,1048576,3.3241405815770197,2304
2,0,bench_p26_wt_random,131072,4.655378546430806,2304
2,0,bench_p26_wt_random,16384,5.040135073166489,2624
2,0,bench_p26_wt_random,262144,4.389663428665878,2304
2,0,bench_p26_wt_random,32768,4.938974900948083,2624
2,0,bench_p26_wt_random,4096,5.066629251096903,2768
2,0,bench_p26_wt_random,524288,3.947430319574853,2304
2,0,bench_p26_wt_random,65536,4.836011178600253,2624
2,0,bench_p26_wt_random,8192,5.067714505263758,2768
