FS,DISK_GEOMETRY,case,BLOCK_SIZE,bench_throughput,bench_ram
4,1,bench_p26_wt_linear,1048576,126221.55166779702,3992
4,1,bench_p26_wt_linear,131072,112337.47407182821,3992
4,1,bench_p26_wt_linear,16384,21153.326475260677,3992
4,1,bench_p26_wt_linear,262144,119960.20010125384,3992
4,1,bench_p26_wt_linear,32768,56179.70028732656,3992
4,1,bench_p26_wt_linear,4096,1514.7907264477099,3992
4,1,bench_p26_wt_linear,524288,123941.43102274113,3992
4,1,bench_p26_wt_linear,65536,100014.61032421383,3992
4,1,bench_p26_wt_linear,8192,6071.361339217512,3992
4,1,bench_p26_wt_logging,1048576,27691.188508110616,4040
4,1,bench_p26_wt_logging,131072,24747.992192056587,4040
4,1,bench_p26_wt_logging,16384,5042.534492109211,4040
4,1,bench_p26_wt_logging,262144,26338.372430054325,4040
4,1,bench_p26_wt_logging,32768,13158.820189701039,4040
4,1,bench_p26_wt_logging,4096,348.2823213022745,4040
4,1,bench_p26_wt_logging,524288,27236.17712320841,4040
4,1,bench_p26_wt_logging,65536,22092.47985229336,4040
4,1,bench_p26_wt_logging,8192,1428.4079859904484,4040
4,1,bench_p26_wt_many,1048576,165.69684529973094,4216
4,1,bench_p26_wt_many,131072,168.42086920513768,4216
4,1,bench_p26_wt_many,16384,72.78923549981315,4184
4,1,bench_p26_wt_many,262144,168.1369033424785,4216
4,1,bench_p26_wt_many,32768,120.51726074178255,4184
4,1,bench_p26_wt_many,4096,20.20249538540584,4184
4,1,bench_p26_wt_many,524288,167.20598314959855,4216
4,1,bench_p26_wt_many,65536,168.45844346648826,4216
4,1,bench_p26_wt_many,8192,39.09586486036494,4184
4,1,bench_p26_wt_random,1048576,1623.9960765824653,4008
4,1,bench_p26_wt_random,131072,1602.4001425861543,4008
4,1,bench_p26_wt_random,16384,394.72571628433076,4008
4,1,bench_p26_wt_random,262144,1614.4983067137096,4008
4,1,bench_p26_wt_random,32768,823.1381131561689,4008
4,1,bench_p26_wt_random,4096,45.42149230761395,4008
4,1,bench_p26_wt_random,524288,1620.8153455588586,4008
4,1,bench_p26_wt_random,65536,1577.870070875604,4008
4,1,bench_p26_wt_random,8192,165.62791801934617,4008
