FS,DISK_GEOMETRY,case,BLOCK_SIZE,bench_throughput,bench_ram
4,0,bench_p26_wt_linear,1048576,20369.85118075183,2456
4,0,bench_p26_wt_linear,131072,20004.38977043681,2456
4,0,bench_p26_wt_linear,16384,16868.13149470224,2456
4,0,bench_p26_wt_linear,262144,20319.372059303176,2456
4,0,bench_p26_wt_linear,32768,18553.46397125657,2456
4,0,bench_p26_wt_linear,4096,4024.855136268651,2456
4,0,bench_p26_wt_linear,524288,20331.45795937144,2456
4,0,bench_p26_wt_linear,65536,19493.196718658925,2456
4,0,bench_p26_wt_linear,8192,10167.285572660609,2456
4,0,bench_p26_wt_logging,1048576,8641.148459226011,2504
4,0,bench_p26_wt_logging,131072,8471.567391098286,2504
4,0,bench_p26_wt_logging,16384,7077.850868255633,2504
4,0,bench_p26_wt_logging,262144,8589.820591249309,2504
4,0,bench_p26_wt_logging,32768,7815.641908424958,2504
4,0,bench_p26_wt_logging,4096,1751.9407492573835,2504
4,0,bench_p26_wt_logging,524288,8639.224155229293,2504
4,0,bench_p26_wt_logging,65536,8226.540561395655,2504
4,0,bench_p26_wt_logging,8192,4411.37335106602,2504
4,0,bench_p26_wt_many,1048576,264.79395202802147,2680
4,0,bench_p26_wt_many,131072,267.36268638422047,2680
4,0,bench_p26_wt_many,16384,264.7881239068001,2680
4,0,bench_p26_wt_many,262144,266.96499328261655,2680
4,0,bench_p26_wt_many,32768,266.4511178969441,2680
4,0,bench_p26_wt_many,4096,64.25493743163292,2648
4,0,bench_p26_wt_many,524288,266.03236954437955,2680
4,0,bench_p26_wt_many,65536,267.23505001869745,2680
4,0,bench_p26_wt_many,8192,131.75080918939946,2648
4,0,bench_p26_wt_random,1048576,1113.2385461154474,2472
4,0,bench_p26_wt_random,131072,1110.9749987396945,2472
4,0,bench_p26_wt_random,16384,1056.3664848359265,2472
4,0,bench_p26_wt_random,262144,1114.6951278611793,2472
4,0,bench_p26_wt_random,32768,1087.3188833648692,2472
4,0,bench_p26_wt_random,4096,242.16169109867366,2472
4,0,bench_p26_wt_random,524288,1114.0347198843374,2472
4,0,bench_p26_wt_random,65536,1102.9243774191928,2472
4,0,bench_p26_wt_random,8192,554.6128200047818,2472
