FS,DISK_GEOMETRY,case,BLOCK_SIZE,bench_throughput,bench_ram
5,1,bench_p26_wt_linear,1048576,1381754.9833085153,94324
5,1,bench_p26_wt_linear,131072,1804234.5174533213,104964
5,1,bench_p26_wt_linear,16384,1796992.0643893569,197844
5,1,bench_p26_wt_linear,262144,1807857.4397045053,107764
5,1,bench_p26_wt_linear,32768,1796993.8916083304,132156
5,1,bench_p26_wt_linear,4096,1623091.4386010426,596532
5,1,bench_p26_wt_linear,524288,1809575.4357836037,119676
5,1,bench_p26_wt_linear,65536,1797002.5165850804,109900
5,1,bench_p26_wt_linear,8192,1739023.8185384613,330564
5,1,bench_p26_wt_logging,1048576,98981.76477025413,107220
5,1,bench_p26_wt_logging,131072,104830.12866676191,124452
5,1,bench_p26_wt_logging,16384,104432.52369397932,198084
5,1,bench_p26_wt_logging,262144,105028.66067789568,127252
5,1,bench_p26_wt_logging,32768,104432.50731234965,144364
5,1,bench_p26_wt_logging,4096,94840.1461474375,596772
5,1,bench_p26_wt_logging,524288,105122.9191001573,138988
5,1,bench_p26_wt_logging,65536,104432.49133174027,129388
5,1,bench_p26_wt_logging,8192,101246.74147280879,330756
5,1,bench_p26_wt_many,1048576,39625.82804530483,7946612
5,1,bench_p26_wt_many,131072,63837.84107173246,7944420
5,1,bench_p26_wt_many,16384,66311.16683144907,7997428
5,1,bench_p26_wt_many,262144,63962.10755034245,7947220
5,1,bench_p26_wt_many,32768,63868.45173076455,7964508
5,1,bench_p26_wt_many,4096,63059.35110330648,8199508
5,1,bench_p26_wt_many,524288,63996.195200589995,7959132
5,1,bench_p26_wt_many,65536,63563.06486114052,7949356
5,1,bench_p26_wt_many,8192,65855.58390942687,8064612
5,1,bench_p26_wt_random,1048576,181396.24979951224,94308
5,1,bench_p26_wt_random,131072,183815.26481233933,104948
5,1,bench_p26_wt_random,16384,183158.68685152245,197828
5,1,bench_p26_wt_random,262144,184142.2380219155,107748
5,1,bench_p26_wt_random,32768,183159.06682731895,132140
5,1,bench_p26_wt_random,4096,167224.9859945531,596516
5,1,bench_p26_wt_random,524288,184297.78838678825,119660
5,1,bench_p26_wt_random,65536,183160.49843903602,109884
5,1,bench_p26_wt_random,8192,177887.68383952338,330548
