FS,DISK_GEOMETRY,case,BLOCK_SIZE,bench_throughput,bench_ram
5,0,bench_p26_wt_linear,1048576,33875.64283061406,94324
5,0,bench_p26_wt_linear,131072,75028.97611387123,104964
5,0,bench_p26_wt_linear,16384,74656.22446257902,197844
5,0,bench_p26_wt_linear,262144,75124.25589084526,107764
5,0,bench_p26_wt_linear,32768,74646.93624262826,132156
5,0,bench_p26_wt_linear,4096,67519.39058402333,596532
5,0,bench_p26_wt_linear,524288,75073.45638197943,119676
5,0,bench_p26_wt_linear,65536,74648.29694187746,109900
5,0,bench_p26_wt_linear,8192,72237.05809758263,330564
5,0,bench_p26_wt_logging,1048576,2356.57569953623,107220
5,0,bench_p26_wt_logging,131072,4619.849293701016,124276
5,0,bench_p26_wt_logging,16384,4602.445162523553,198084
5,0,bench_p26_wt_logging,262144,4628.349995927423,127076
5,0,bench_p26_wt_logging,32768,4601.885851524202,144364
5,0,bench_p26_wt_logging,4096,4152.540460527692,596772
5,0,bench_p26_wt_logging,524288,4629.018686809953,138988
5,0,bench_p26_wt_logging,65536,4601.48741267412,129212
5,0,bench_p26_wt_logging,8192,4452.4519091091515,330628
5,0,bench_p26_wt_many,1048576,1253.3201394081457,7033396
5,0,bench_p26_wt_many,131072,2912.101723993233,7896356
5,0,bench_p26_wt_many,16384,2975.4137733071757,7949364
5,0,bench_p26_wt_many,262144,2917.785983542219,7899156
5,0,bench_p26_wt_many,32768,2911.9822970863006,7916444
5,0,bench_p26_wt_many,4096,2737.1011166766693,8127412
5,0,bench_p26_wt_many,524288,2916.768556605557,7911068
5,0,bench_p26_wt_many,65536,2899.373861047908,7901292
5,0,bench_p26_wt_many,8192,2928.412163189825,8016548
5,0,bench_p26_wt_random,1048576,4600.976309219379,94308
5,0,bench_p26_wt_random,131072,8567.189646791727,104948
5,0,bench_p26_wt_random,16384,8535.599157469225,197828
5,0,bench_p26_wt_random,262144,8583.25090498705,107748
5,0,bench_p26_wt_random,32768,8534.508262233143,132140
5,0,bench_p26_wt_random,4096,7712.125031756755,596516
5,0,bench_p26_wt_random,524288,8584.49211135524,119660
5,0,bench_p26_wt_random,65536,8534.720074720779,109884
5,0,bench_p26_wt_random,8192,8262.729140160149,330548
