FS,DISK_GEOMETRY,case,DISK_SIZE,bench_throughput,bench_ram
2,0,bench_p26_wt_linear,1073741824,79157.27841407809,2784
2,0,bench_p26_wt_linear,134217728,79157.77472766432,2784
2,0,bench_p26_wt_linear,16777216,79158.22937171899,2640
2,0,bench_p26_wt_linear,2147483648,79156.25403457654,2784
2,0,bench_p26_wt_linear,268435456,79157.27351338435,2784
2,0,bench_p26_wt_linear,33554432,79157.92641242516,2784
2,0,bench_p26_wt_linear,4294967296,79157.27856183771,2784
2,0,bench_p26_wt_linear,536870912,79156.42834110765,2784
2,0,bench_p26_wt_linear,67108864,79157.94210769753,2784
2,0,bench_p26_wt_logging,1073741824,1275.723105783588,2784
2,0,bench_p26_wt_logging,134217728,1275.7361633278497,2784
2,0,bench_p26_wt_logging,16777216,1275.712611640692,2688
2,0,bench_p26_wt_logging,2147483648,1275.701738308482,2784
2,0,bench_p26_wt_logging,268435456,1275.7320176003839,2784
2,0,bench_p26_wt_logging,33554432,1275.734797386257,2784
2,0,bench_p26_wt_logging,4294967296,1275.7253894327944,2784
2,0,bench_p26_wt_logging,536870912,1275.7083262911715,2784
2,0,bench_p26_wt_logging,67108864,1275.7367819905705,2784
2,0,bench_p26_wt_many,1073741824,1115.3737762609592,3072
2,0,bench_p26_wt_many,134217728,1118.5441238225608,3072
2,0,bench_p26_wt_many,16777216,1115.3376985866405,3072
2,0,bench_p26_wt_many,2147483648,1117.899221280763,3072
2,0,bench_p26_wt_many,268435456,1117.533018066686,3072
2,0,bench_p26_wt_many,33554432,1117.9165495692018,3072
2,0,bench_p26_wt_many,4294967296,1118.5039123043316,3072
2,0,bench_p26_wt_many,536870912,1116.7583634643586,3072
2,0,bench_p26_wt_many,67108864,1118.5554717527357,3072
2,0,bench_p26_wt_random,1073741824,5.066597328021021,2768
2,0,bench_p26_wt_random,134217728,5.066629251096903,2768
2,0,bench_p26_wt_random,16777216,5.066657720165704,2624
2,0,bench_p26_wt_random,2147483648,5.06653243251669,2768
2,0,bench_p26_wt_random,268435456,5.066597327014777,2768
2,0,bench_p26_wt_random,33554432,5.0666395263872435,2768
2,0,bench_p26_wt_random,4294967296,5.066597456484872,2768
2,0,bench_p26_wt_random,536870912,5.0665431999267705,2768
2,0,bench_p26_wt_random,67108864,5.06664038457149,2768
