FS,DISK_GEOMETRY,case,DISK_SIZE,bench_throughput,bench_ram
3,1,bench_p26_wt_linear,1073741824,1286832.7576677524,4608
3,1,bench_p26_wt_linear,134217728,1286271.7206453916,4608
3,1,bench_p26_wt_linear,16777216,1281750.5022406161,4608
3,1,bench_p26_wt_linear,2147483648,1286868.8978227554,4608
3,1,bench_p26_wt_linear,268435456,1286614.0816752075,4608
3,1,bench_p26_wt_linear,33554432,1284178.67738192,4608
3,1,bench_p26_wt_linear,4294967296,1284483.4317204605,4608
3,1,bench_p26_wt_linear,536870912,1286725.5960326458,4608
3,1,bench_p26_wt_linear,67108864,1285776.7751798555,4608
3,1,bench_p26_wt_logging,1073741824,21612.543366460315,4592
3,1,bench_p26_wt_logging,134217728,21601.574490082643,4592
3,1,bench_p26_wt_logging,16777216,21535.102792172685,4592
3,1,bench_p26_wt_logging,2147483648,21613.42882362391,4592
3,1,bench_p26_wt_logging,268435456,21607.191483435447,4592
3,1,bench_p26_wt_logging,33554432,21573.96945635918,4592
3,1,bench_p26_wt_logging,4294967296,21613.435858115223,4592
3,1,bench_p26_wt_logging,536870912,21610.92039136352,4592
3,1,bench_p26_wt_logging,67108864,21592.469391289902,4592
3,1,bench_p26_wt_many,1073741824,3618.1192212693645,4624
3,1,bench_p26_wt_many,134217728,3611.486869596814,4624
3,1,bench_p26_wt_many,2147483648,3618.1191830973507,4624
3,1,bench_p26_wt_many,268435456,3605.733531544043,4624
3,1,bench_p26_wt_many,33554432,1425.2575049977004,4624
3,1,bench_p26_wt_many,4294967296,3618.1194397355894,4624
3,1,bench_p26_wt_many,536870912,3618.11924040311,4624
3,1,bench_p26_wt_many,67108864,3602.097506734949,4624
3,1,bench_p26_wt_random,1073741824,3647.9077158137347,4416
3,1,bench_p26_wt_random,134217728,3632.0821884102656,4416
3,1,bench_p26_wt_random,16777216,3553.6774224142446,4496
3,1,bench_p26_wt_random,2147483648,3649.9071147927125,4416
3,1,bench_p26_wt_random,268435456,3644.60996023035,4416
3,1,bench_p26_wt_random,33554432,3603.7449647132576,4496
3,1,bench_p26_wt_random,4294967296,3649.9751541885944,4416
3,1,bench_p26_wt_random,536870912,3642.9003446154434,4416
3,1,bench_p26_wt_random,67108864,3630.938522234228,4496
