FS,DISK_GEOMETRY,case,DISK_SIZE,bench_throughput,bench_ram
4,1,bench_p26_wt_linear,1073741824,41192.34791369816,3992
4,1,bench_p26_wt_linear,134217728,112337.47407182821,3992
4,1,bench_p26_wt_linear,16777216,143549.51538984213,3992
4,1,bench_p26_wt_linear,2147483648,23763.474670575375,3992
4,1,bench_p26_wt_linear,268435456,90120.59445474265,3992
4,1,bench_p26_wt_linear,33554432,138033.2126535587,3992
4,1,bench_p26_wt_linear,536870912,64556.33792694595,3992
4,1,bench_p26_wt_linear,67108864,128283.01353333777,3992
4,1,bench_p26_wt_logging,1073741824,12161.969933473121,4040
4,1,bench_p26_wt_logging,134217728,24747.992192056587,4040
4,1,bench_p26_wt_logging,16777216,22191.296223584442,4344
4,1,bench_p26_wt_logging,2147483648,7675.838429455447,4040
4,1,bench_p26_wt_logging,268435456,21510.489384319757,4040
4,1,bench_p26_wt_logging,33554432,26209.227947189353,4344
4,1,bench_p26_wt_logging,536870912,17092.444881385214,4040
4,1,bench_p26_wt_logging,67108864,26758.79903876684,4040
4,1,bench_p26_wt_many,1073741824,40.61585627923425,4248
4,1,bench_p26_wt_many,134217728,168.42086920513768,4248
4,1,bench_p26_wt_many,16777216,235.41254802776527,4248
4,1,bench_p26_wt_many,2147483648,22.07781911903948,4248
4,1,bench_p26_wt_many,268435456,121.02869537313677,4248
4,1,bench_p26_wt_many,33554432,223.68390550870072,4248
4,1,bench_p26_wt_many,536870912,73.86316114578422,4248
4,1,bench_p26_wt_many,67108864,202.59617101082796,4248
4,1,bench_p26_wt_random,1073741824,229.6249549136058,4008
4,1,bench_p26_wt_random,134217728,1602.4001425861543,4008
4,1,bench_p26_wt_random,16777216,6036.969582468626,4312
4,1,bench_p26_wt_random,2147483648,115.03140191382981,4008
4,1,bench_p26_wt_random,268435456,866.3858953444781,4008
4,1,bench_p26_wt_random,33554432,4375.845429179658,4312
4,1,bench_p26_wt_random,536870912,450.16558214275227,4008
4,1,bench_p26_wt_random,67108864,2771.736236480808,4008
