FS,DISK_GEOMETRY,case,DISK_SIZE,bench_throughput,bench_ram
4,0,bench_p26_wt_linear,1073741824,596.501622115335,2456
4,0,bench_p26_wt_linear,134217728,4024.855136268651,2456
4,0,bench_p26_wt_linear,16777216,14318.064498794272,2456
4,0,bench_p26_wt_linear,2147483648,338.3514933376262,2456
4,0,bench_p26_wt_linear,268435456,2265.942099321848,2456
4,0,bench_p26_wt_linear,33554432,10473.01415939127,2456
4,0,bench_p26_wt_linear,536870912,1161.6884556745533,2456
4,0,bench_p26_wt_linear,67108864,6875.340513767815,2456
4,0,bench_p26_wt_logging,1073741824,272.70437603892026,2504
4,0,bench_p26_wt_logging,134217728,1751.9407492573835,2504
4,0,bench_p26_wt_logging,16777216,4874.986105581741,2808
4,0,bench_p26_wt_logging,2147483648,137.94959567605778,2504
4,0,bench_p26_wt_logging,268435456,1002.3873132322609,2504
4,0,bench_p26_wt_logging,33554432,4386.86170785042,2504
4,0,bench_p26_wt_logging,536870912,530.4060124356037,2504
4,0,bench_p26_wt_logging,67108864,2912.140330433401,2504
4,0,bench_p26_wt_many,1073741824,9.094011832834015,2680
4,0,bench_p26_wt_many,134217728,64.25493743163292,2680
4,0,bench_p26_wt_many,16777216,470.92972620706644,2680
4,0,bench_p26_wt_many,2147483648,5.282201750227531,2680
4,0,bench_p26_wt_many,268435456,32.447806398440655,2680
4,0,bench_p26_wt_many,33554432,254.85510354844627,2680
4,0,bench_p26_wt_many,536870912,16.80056710407986,2680
4,0,bench_p26_wt_many,67108864,128.54323288368371,2680
4,0,bench_p26_wt_random,1073741824,5.030993116159254,2472
4,0,bench_p26_wt_random,134217728,242.16169109867366,2472
4,0,bench_p26_wt_random,16777216,1451.160682430499,2776
4,0,bench_p26_wt_random,2147483648,0.04525783199599364,2472
4,0,bench_p26_wt_random,268435456,109.97076243800308,2472
4,0,bench_p26_wt_random,33554432,882.9316431107133,2648
4,0,bench_p26_wt_random,536870912,40.1593432047626,2472
4,0,bench_p26_wt_random,67108864,480.76801748121306,2472
