FS,DISK_GEOMETRY,case,DISK_SIZE,bench_throughput,bench_ram
5,1,bench_p26_wt_linear,1073741824,1804243.717687611,433348
5,1,bench_p26_wt_linear,134217728,1804234.5174533213,104964
5,1,bench_p26_wt_linear,16777216,1804161.5241516975,68900
5,1,bench_p26_wt_linear,2147483648,1804245.3843639162,828612
5,1,bench_p26_wt_linear,268435456,1804240.7134283734,146180
5,1,bench_p26_wt_linear,33554432,1804203.0138051477,74052
5,1,bench_p26_wt_linear,4294967296,1804244.668521759,1619140
5,1,bench_p26_wt_linear,536870912,1804242.3241651554,235716
5,1,bench_p26_wt_linear,67108864,1804224.9527149247,84356
5,1,bench_p26_wt_logging,1073741824,104830.12866676191,433412
5,1,bench_p26_wt_logging,134217728,104830.12866676191,124452
5,1,bench_p26_wt_logging,16777216,80155.30398769828,88212
5,1,bench_p26_wt_logging,2147483648,104830.24289840605,828852
5,1,bench_p26_wt_logging,268435456,104830.12866676191,165668
5,1,bench_p26_wt_logging,33554432,94155.36693356851,93540
5,1,bench_p26_wt_logging,4294967296,104830.12866676191,1619204
5,1,bench_p26_wt_logging,536870912,104830.18334191917,248100
5,1,bench_p26_wt_logging,67108864,100678.4477060793,103668
5,1,bench_p26_wt_many,1073741824,71496.48504695477,8232948
5,1,bench_p26_wt_many,134217728,63837.84107173246,7944436
5,1,bench_p26_wt_many,16777216,794.4150441426499,3678852
5,1,bench_p26_wt_many,2147483648,71496.6360038147,8562676
5,1,bench_p26_wt_many,268435456,70637.50998593406,7985652
5,1,bench_p26_wt_many,33554432,1430.7586348462914,7048484
5,1,bench_p26_wt_many,4294967296,71496.570644679,9222132
5,1,bench_p26_wt_many,536870912,71480.9950167477,8068084
5,1,bench_p26_wt_many,67108864,42033.21830934198,7923828
5,1,bench_p26_wt_random,1073741824,183817.00703416485,433332
5,1,bench_p26_wt_random,134217728,183815.26481233933,104948
5,1,bench_p26_wt_random,16777216,183263.19664391785,68884
5,1,bench_p26_wt_random,2147483648,183817.2501223115,828596
5,1,bench_p26_wt_random,268435456,183816.24258989448,146164
5,1,bench_p26_wt_random,33554432,183806.9625920075,74036
5,1,bench_p26_wt_random,4294967296,183817.2025896759,1619124
5,1,bench_p26_wt_random,536870912,183816.75699832334,235700
5,1,bench_p26_wt_random,67108864,183813.3120293044,84340
