FS,DISK_GEOMETRY,case,DISK_SIZE,bench_throughput,bench_ram
5,0,bench_p26_wt_linear,1073741824,67518.8373324538,4553268
5,0,bench_p26_wt_linear,134217728,67519.39058402333,596532
5,0,bench_p26_wt_linear,16777216,67515.09303572353,101940
5,0,bench_p26_wt_linear,2147483648,67518.93139342453,9075252
5,0,bench_p26_wt_linear,268435456,67518.8065656655,1161780
5,0,bench_p26_wt_linear,33554432,67516.72020531671,172596
5,0,bench_p26_wt_linear,4294967296,67520.0239138808,18119220
5,0,bench_p26_wt_linear,536870912,67519.18545322293,2292276
5,0,bench_p26_wt_linear,67108864,67518.4902040899,313908
5,0,bench_p26_wt_logging,1073741824,4152.540460527692,4553508
5,0,bench_p26_wt_logging,134217728,4152.540460527692,596772
5,0,bench_p26_wt_logging,16777216,3526.4664758608824,114324
5,0,bench_p26_wt_logging,2147483648,4152.53952622715,9075492
5,0,bench_p26_wt_logging,268435456,4152.53952622715,1162020
5,0,bench_p26_wt_logging,33554432,3845.9543029709716,172836
5,0,bench_p26_wt_logging,4294967296,4152.555411724161,18119284
5,0,bench_p26_wt_logging,536870912,4152.555411724161,2292340
5,0,bench_p26_wt_logging,67108864,4003.276338513864,313972
5,0,bench_p26_wt_many,1073741824,2779.0672237885046,10273188
5,0,bench_p26_wt_many,134217728,2737.1011166766693,8127428
5,0,bench_p26_wt_many,2147483648,2779.0977137356654,12698020
5,0,bench_p26_wt_many,268435456,2776.944045086502,8454564
5,0,bench_p26_wt_many,4294967296,2779.1135839521853,18119476
5,0,bench_p26_wt_many,536870912,2779.0824687759787,9060772
5,0,bench_p26_wt_many,67108864,2225.644764066837,7879748
5,0,bench_p26_wt_random,1073741824,7712.133883108134,4553252
5,0,bench_p26_wt_random,134217728,7712.125031756755,596516
5,0,bench_p26_wt_random,16777216,7679.336068098372,101924
5,0,bench_p26_wt_random,2147483648,7712.132147934552,9075236
5,0,bench_p26_wt_random,268435456,7712.114370384898,1161764
5,0,bench_p26_wt_random,33554432,7711.616598994594,172580
5,0,bench_p26_wt_random,4294967296,7712.258764926273,18119204
5,0,bench_p26_wt_random,536870912,7712.162365874675,2292260
5,0,bench_p26_wt_random,67108864,7712.0219245953,313892
