FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
2,1,bench_p26_wt_linear,bs,,,1048576,1675065.8057757388
2,1,bench_p26_wt_linear,bs,,,131072,1694033.1528282952
2,1,bench_p26_wt_linear,bs,,,16384,1689304.4901871874
2,1,bench_p26_wt_linear,bs,,,262144,1691694.4248197954
2,1,bench_p26_wt_linear,bs,,,32768,1693631.5542431185
2,1,bench_p26_wt_linear,bs,,,4096,1655444.9267468625
2,1,bench_p26_wt_linear,bs,,,524288,1683400.7370123952
2,1,bench_p26_wt_linear,bs,,,65536,1694668.4913500277
2,1,bench_p26_wt_linear,bs,,,8192,1679545.3208212159
2,1,bench_p26_wt_linear,ps,,1,,879933.5296217836
2,1,bench_p26_wt_linear,ps,,1024,,3102501.223661609
2,1,bench_p26_wt_linear,ps,,128,,887867.9975990781
2,1,bench_p26_wt_linear,ps,,16,,880011.5284387043
2,1,bench_p26_wt_linear,ps,,2,,879933.5356102189
2,1,bench_p26_wt_linear,ps,,2048,,5309041.603355263
2,1,bench_p26_wt_linear,ps,,256,,887863.6400602257
2,1,bench_p26_wt_linear,ps,,32,,879975.0668170773
2,1,bench_p26_wt_linear,ps,,4,,879972.6506460066
2,1,bench_p26_wt_linear,ps,,4096,,5303304.334482555
2,1,bench_p26_wt_linear,ps,,512,,1694033.1528282952
2,1,bench_p26_wt_linear,ps,,64,,887878.2114856982
2,1,bench_p26_wt_linear,ps,,8,,879972.5928166214
2,1,bench_p26_wt_linear,rs,1,,,1694033.1528282952
2,1,bench_p26_wt_linear,rs,1024,,,3101474.927936356
2,1,bench_p26_wt_linear,rs,128,,,1694059.3012931796
2,1,bench_p26_wt_linear,rs,16,,,1694060.1381224946
2,1,bench_p26_wt_linear,rs,2,,,1694033.1528282952
2,1,bench_p26_wt_linear,rs,2048,,,5302880.739801823
2,1,bench_p26_wt_linear,rs,256,,,1694005.1897044142
2,1,bench_p26_wt_linear,rs,32,,,1694081.5138221532
2,1,bench_p26_wt_linear,rs,4,,,1694033.1113075484
2,1,bench_p26_wt_linear,rs,4096,,,5288876.893015405
2,1,bench_p26_wt_linear,rs,512,,,1693895.6332432756
2,1,bench_p26_wt_linear,rs,64,,,1694081.4937491738
2,1,bench_p26_wt_linear,rs,8,,,1694042.6391974855
2,1,bench_p26_wt_logging,bs,,,1048576,227.86862219123907
2,1,bench_p26_wt_logging,bs,,,131072,1408.8143459228877
2,1,bench_p26_wt_logging,bs,,,16384,8895.74467856601
2,1,bench_p26_wt_logging,bs,,,262144,720.5919399020205
2,1,bench_p26_wt_logging,bs,,,32768,5046.147443744961
2,1,bench_p26_wt_logging,bs,,,4096,18543.62706983338
2,1,bench_p26_wt_logging,bs,,,524288,390.1928276021205
2,1,bench_p26_wt_logging,bs,,,65536,2707.3343058052474
2,1,bench_p26_wt_logging,bs,,,8192,14184.395734311805
2,1,bench_p26_wt_logging,ps,,1,,757.2461135972046
2,1,bench_p26_wt_logging,ps,,1024,,2418.6613980857933
2,1,bench_p26_wt_logging,ps,,128,,762.8130507741741
2,1,bench_p26_wt_logging,ps,,16,,757.4130421977379
2,1,bench_p26_wt_logging,ps,,2,,757.3922009333771
2,1,bench_p26_wt_logging,ps,,2048,,3672.8860098196515
2,1,bench_p26_wt_logging,ps,,256,,763.6152682273748
2,1,bench_p26_wt_logging,ps,,32,,757.3991451227652
2,1,bench_p26_wt_logging,ps,,4,,757.3956982619319
2,1,bench_p26_wt_logging,ps,,4096,,3414.6450661444146
2,1,bench_p26_wt_logging,ps,,512,,1408.8143459228877
2,1,bench_p26_wt_logging,ps,,64,,761.1471443391962
2,1,bench_p26_wt_logging,ps,,8,,757.4072028491717
2,1,bench_p26_wt_logging,rs,1,,,1408.8143459228877
2,1,bench_p26_wt_logging,rs,1024,,,2487.0722472409984
2,1,bench_p26_wt_logging,rs,128,,,1428.1215787058652
2,1,bench_p26_wt_logging,rs,16,,,1415.2283963931309
2,1,bench_p26_wt_logging,rs,2,,,1408.8171166550198
2,1,bench_p26_wt_logging,rs,2048,,,3960.387172268445
2,1,bench_p26_wt_logging,rs,256,,,1424.6202306411296
2,1,bench_p26_wt_logging,rs,32,,,1429.8030727741677
2,1,bench_p26_wt_logging,rs,4,,,1408.8169711605688
2,1,bench_p26_wt_logging,rs,4096,,,3915.103806258228
2,1,bench_p26_wt_logging,rs,512,,,1419.015422249865
2,1,bench_p26_wt_logging,rs,64,,,1429.2797345986341
2,1,bench_p26_wt_logging,rs,8,,,1408.8229903102656
2,1,bench_p26_wt_many,bs,,,1048576,25.45250252360717
2,1,bench_p26_wt_many,bs,,,131072,177.0459419963971
2,1,bench_p26_wt_many,bs,,,16384,341.1297853432158
2,1,bench_p26_wt_many,bs,,,262144,133.11585718266804
2,1,bench_p26_wt_many,bs,,,32768,215.47750178244098
2,1,bench_p26_wt_many,bs,,,4096,501.1274886240053
2,1,bench_p26_wt_many,bs,,,524288,61.740883116691144
2,1,bench_p26_wt_many,bs,,,65536,176.37627910770573
2,1,bench_p26_wt_many,bs,,,8192,450.2438079981844
2,1,bench_p26_wt_many,ps,,1,,26.556953576448866
2,1,bench_p26_wt_many,ps,,1024,,185.56836939235313
2,1,bench_p26_wt_many,ps,,128,,76.40963820058008
2,1,bench_p26_wt_many,ps,,16,,20.670075372020573
2,1,bench_p26_wt_many,ps,,2,,26.55708068785525
2,1,bench_p26_wt_many,ps,,2048,,147.25235507414237
2,1,bench_p26_wt_many,ps,,256,,131.30376938859538
2,1,bench_p26_wt_many,ps,,32,,29.115648269203586
2,1,bench_p26_wt_many,ps,,4,,32.42321759686495
2,1,bench_p26_wt_many,ps,,4096,,99.61558966462636
2,1,bench_p26_wt_many,ps,,512,,177.0459419963971
2,1,bench_p26_wt_many,ps,,64,,37.25786924657936
2,1,bench_p26_wt_many,ps,,8,,32.423204925137355
2,1,bench_p26_wt_many,rs,1,,,177.0459419963971
2,1,bench_p26_wt_many,rs,1024,,,479.1372363599836
2,1,bench_p26_wt_many,rs,128,,,352.60558101422043
2,1,bench_p26_wt_many,rs,16,,,204.77880811587966
2,1,bench_p26_wt_many,rs,2,,,177.0459419963971
2,1,bench_p26_wt_many,rs,2048,,,597.1149210041395
2,1,bench_p26_wt_many,rs,256,,,355.7178381251794
2,1,bench_p26_wt_many,rs,32,,,247.40280545414024
2,1,bench_p26_wt_many,rs,4,,,176.71337593127836
2,1,bench_p26_wt_many,rs,4096,,,583.0891295735028
2,1,bench_p26_wt_many,rs,512,,,350.02953668336573
2,1,bench_p26_wt_many,rs,64,,,269.8468199913098
2,1,bench_p26_wt_many,rs,8,,,217.63225964169362
2,1,bench_p26_wt_random,bs,,,1048576,62.54830717179897
2,1,bench_p26_wt_random,bs,,,131072,88.31380909085875
2,1,bench_p26_wt_random,bs,,,16384,91.85095365619775
2,1,bench_p26_wt_random,bs,,,262144,83.4721030093367
