FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
2,0,bench_p26_wt_linear,bs,,,1048576,55244.95105276802
2,0,bench_p26_wt_linear,bs,,,131072,75211.85495912336
2,0,bench_p26_wt_linear,bs,,,16384,78769.91745769928
2,0,bench_p26_wt_linear,bs,,,262144,71521.68797781119
2,0,bench_p26_wt_linear,bs,,,32768,78241.4115835779
2,0,bench_p26_wt_linear,bs,,,4096,79157.77472766432
2,0,bench_p26_wt_linear,bs,,,524288,65112.86712701113
2,0,bench_p26_wt_linear,bs,,,65536,77203.75172785262
2,0,bench_p26_wt_linear,bs,,,8192,79035.76686381618
2,0,bench_p26_wt_linear,ps,,1,,79157.77472766432
2,0,bench_p26_wt_linear,ps,,1024,,79153.82557178156
2,0,bench_p26_wt_linear,ps,,128,,79156.60203693689
2,0,bench_p26_wt_linear,ps,,16,,79157.77490858157
2,0,bench_p26_wt_linear,ps,,2,,79157.77505132766
2,0,bench_p26_wt_linear,ps,,2048,,79151.26304125953
2,0,bench_p26_wt_linear,ps,,256,,79157.16614740358
2,0,bench_p26_wt_linear,ps,,32,,79157.7771745768
2,0,bench_p26_wt_linear,ps,,4,,79157.77704783797
2,0,bench_p26_wt_linear,ps,,4096,,79150.22050483576
2,0,bench_p26_wt_linear,ps,,512,,79157.43434021446
2,0,bench_p26_wt_linear,ps,,64,,79157.07744382734
2,0,bench_p26_wt_linear,ps,,8,,79157.77642135588
2,0,bench_p26_wt_linear,rs,1,,,79157.77472766432
2,0,bench_p26_wt_linear,rs,1024,,,79029.93695717608
2,0,bench_p26_wt_linear,rs,128,,,79142.25883416632
2,0,bench_p26_wt_linear,rs,16,,,79156.24447182589
2,0,bench_p26_wt_linear,rs,2,,,79157.77472766432
2,0,bench_p26_wt_linear,rs,2048,,,78901.18812223527
2,0,bench_p26_wt_linear,rs,256,,,79126.1500674864
2,0,bench_p26_wt_linear,rs,32,,,79155.33302155812
2,0,bench_p26_wt_linear,rs,4,,,79158.23366626776
2,0,bench_p26_wt_linear,rs,4096,,,78767.43374078223
2,0,bench_p26_wt_linear,rs,512,,,79093.67633133377
2,0,bench_p26_wt_linear,rs,64,,,79150.31460625521
2,0,bench_p26_wt_linear,rs,8,,,79157.31337155687
2,0,bench_p26_wt_logging,bs,,,1048576,5.618063507986629
2,0,bench_p26_wt_logging,bs,,,131072,41.66698753257417
2,0,bench_p26_wt_logging,bs,,,16384,327.64714953493046
2,0,bench_p26_wt_logging,bs,,,262144,21.795348320861187
2,0,bench_p26_wt_logging,bs,,,32768,164.6814631402214
2,0,bench_p26_wt_logging,bs,,,4096,1275.7361633278497
2,0,bench_p26_wt_logging,bs,,,524288,11.1169199990369
2,0,bench_p26_wt_logging,bs,,,65536,82.8594733049454
2,0,bench_p26_wt_logging,bs,,,8192,649.4761336332217
2,0,bench_p26_wt_logging,ps,,1,,1275.7361633278497
2,0,bench_p26_wt_logging,ps,,1024,,1016.8456363282062
2,0,bench_p26_wt_logging,ps,,128,,1250.5390174186398
