FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
31,1,bench_p26_wt_linear,bs,,,1048576,112653.35505680727
31,1,bench_p26_wt_linear,bs,,,131072,120561.27465910482
31,1,bench_p26_wt_linear,bs,,,16384,56707.09449432601
31,1,bench_p26_wt_linear,bs,,,262144,117131.28950884055
31,1,bench_p26_wt_linear,bs,,,32768,93226.9012114194
31,1,bench_p26_wt_linear,bs,,,4096,18947.897092176107
31,1,bench_p26_wt_linear,bs,,,524288,113516.01683693737
31,1,bench_p26_wt_linear,bs,,,65536,116728.7538475662
31,1,bench_p26_wt_linear,bs,,,8192,47538.48541305192
31,1,bench_p26_wt_linear,ps,,1,,60975.599488103384
31,1,bench_p26_wt_linear,ps,,1024,,129809.7952531852
31,1,bench_p26_wt_linear,ps,,128,,61671.874072821534
31,1,bench_p26_wt_linear,ps,,16,,60778.822155686736
31,1,bench_p26_wt_linear,ps,,2,,61841.7683475348
31,1,bench_p26_wt_linear,ps,,2048,,87486.03368416276
31,1,bench_p26_wt_linear,ps,,256,,59485.292955138946
31,1,bench_p26_wt_linear,ps,,32,,62030.90054796653
31,1,bench_p26_wt_linear,ps,,4,,62669.8356517189
31,1,bench_p26_wt_linear,ps,,4096,,56921.14897826997
31,1,bench_p26_wt_linear,ps,,512,,120561.27465910482
31,1,bench_p26_wt_linear,ps,,64,,62525.821736933096
31,1,bench_p26_wt_linear,ps,,8,,62944.54363807387
31,1,bench_p26_wt_linear,rs,1,,,120561.27465910482
31,1,bench_p26_wt_linear,rs,1024,,,162326.49209639043
31,1,bench_p26_wt_linear,rs,128,,,169865.10967395038
31,1,bench_p26_wt_linear,rs,16,,,123613.7883127706
31,1,bench_p26_wt_linear,rs,2,,,80850.96390176684
31,1,bench_p26_wt_linear,rs,2048,,,140820.6120725014
31,1,bench_p26_wt_linear,rs,256,,,169256.9731954403
31,1,bench_p26_wt_linear,rs,32,,,143551.74908327457
31,1,bench_p26_wt_linear,rs,4,,,82208.57648122149
31,1,bench_p26_wt_linear,rs,4096,,,94304.08931771688
31,1,bench_p26_wt_linear,rs,512,,,173207.3818933574
31,1,bench_p26_wt_linear,rs,64,,,155208.9835623358
31,1,bench_p26_wt_linear,rs,8,,,93815.53146704339
31,1,bench_p26_wt_logging,bs,,,1048576,6542.1080342465975
31,1,bench_p26_wt_logging,bs,,,131072,5944.759579406777
31,1,bench_p26_wt_logging,bs,,,16384,2381.480385210587
31,1,bench_p26_wt_logging,bs,,,262144,6629.332461522711
31,1,bench_p26_wt_logging,bs,,,32768,2935.0559517367938
31,1,bench_p26_wt_logging,bs,,,4096,1594.9231602027908
31,1,bench_p26_wt_logging,bs,,,524288,6676.681348436227
31,1,bench_p26_wt_logging,bs,,,65536,5581.05623600339
31,1,bench_p26_wt_logging,bs,,,8192,2275.4067329295553
31,1,bench_p26_wt_logging,ps,,1,,7458.968404528061
31,1,bench_p26_wt_logging,ps,,1024,,4735.727864576623
31,1,bench_p26_wt_logging,ps,,128,,7055.738176857233
31,1,bench_p26_wt_logging,ps,,16,,7547.583419760903
31,1,bench_p26_wt_logging,ps,,2,,7532.911354462534
31,1,bench_p26_wt_logging,ps,,2048,,3126.1836526096695
31,1,bench_p26_wt_logging,ps,,256,,6541.812610308995
31,1,bench_p26_wt_logging,ps,,32,,7487.8373745791005
31,1,bench_p26_wt_logging,ps,,4,,7490.262620881114
31,1,bench_p26_wt_logging,ps,,4096,,1887.0006755683967
31,1,bench_p26_wt_logging,ps,,512,,5944.759579406777
31,1,bench_p26_wt_logging,ps,,64,,7224.459779823016
31,1,bench_p26_wt_logging,ps,,8,,7497.961142344649
31,1,bench_p26_wt_logging,rs,1,,,5944.759579406777
31,1,bench_p26_wt_logging,rs,1024,,,9460.271158922096
31,1,bench_p26_wt_logging,rs,128,,,9305.399610986176
31,1,bench_p26_wt_logging,rs,16,,,6656.539042702037
31,1,bench_p26_wt_logging,rs,2,,,3970.4700398430014
31,1,bench_p26_wt_logging,rs,2048,,,8681.254093173056
31,1,bench_p26_wt_logging,rs,256,,,9627.843871802865
31,1,bench_p26_wt_logging,rs,32,,,7830.914826201822
31,1,bench_p26_wt_logging,rs,4,,,4136.284152138756
31,1,bench_p26_wt_logging,rs,4096,,,6024.924364058445
31,1,bench_p26_wt_logging,rs,512,,,9965.962710060016
31,1,bench_p26_wt_logging,rs,64,,,8519.227830129337
31,1,bench_p26_wt_logging,rs,8,,,5013.768973488362
31,1,bench_p26_wt_many,bs,,,1048576,625.3726293929836
31,1,bench_p26_wt_many,bs,,,131072,3858.0379086592366
