FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
31,0,bench_p26_wt_linear,bs,,,1048576,12656.79074866295
31,0,bench_p26_wt_linear,bs,,,131072,11224.568623157948
31,0,bench_p26_wt_linear,bs,,,16384,10686.724434974783
31,0,bench_p26_wt_linear,bs,,,262144,11271.627900722267
31,0,bench_p26_wt_linear,bs,,,32768,11357.451163628668
31,0,bench_p26_wt_linear,bs,,,4096,12925.420107495389
31,0,bench_p26_wt_linear,bs,,,524288,11993.173812040604
31,0,bench_p26_wt_linear,bs,,,65536,11245.094737015153
31,0,bench_p26_wt_linear,bs,,,8192,10331.806681911405
31,0,bench_p26_wt_linear,ps,,1,,12925.420107495389
31,0,bench_p26_wt_linear,ps,,1024,,2997.727163519495
31,0,bench_p26_wt_linear,ps,,128,,11294.157661241266
31,0,bench_p26_wt_linear,ps,,16,,12873.321013793982
31,0,bench_p26_wt_linear,ps,,2,,12921.417412120412
31,0,bench_p26_wt_linear,ps,,2048,,1271.1424677547486
31,0,bench_p26_wt_linear,ps,,256,,8547.992192605852
31,0,bench_p26_wt_linear,ps,,32,,12708.23430909934
31,0,bench_p26_wt_linear,ps,,4,,12909.234540608797
31,0,bench_p26_wt_linear,ps,,4096,,1101.093395500294
31,0,bench_p26_wt_linear,ps,,512,,6068.414983887122
31,0,bench_p26_wt_linear,ps,,64,,12713.568628895204
31,0,bench_p26_wt_linear,ps,,8,,12844.526205662825
31,0,bench_p26_wt_linear,rs,1,,,12925.420107495389
31,0,bench_p26_wt_linear,rs,1024,,,11931.187225620013
31,0,bench_p26_wt_linear,rs,128,,,12735.512032604758
31,0,bench_p26_wt_linear,rs,16,,,12892.38491512014
31,0,bench_p26_wt_linear,rs,2,,,12920.756705460988
31,0,bench_p26_wt_linear,rs,2048,,,11514.800479588079
31,0,bench_p26_wt_linear,rs,256,,,12552.261383002664
31,0,bench_p26_wt_linear,rs,32,,,12858.50985561825
31,0,bench_p26_wt_linear,rs,4,,,12915.561743241877
31,0,bench_p26_wt_linear,rs,4096,,,12102.755388597065
31,0,bench_p26_wt_linear,rs,512,,,12293.951678627307
31,0,bench_p26_wt_linear,rs,64,,,12827.742341353794
31,0,bench_p26_wt_linear,rs,8,,,12904.999285753143
31,0,bench_p26_wt_logging,bs,,,1048576,2423.1343822698864
