FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
30,1,bench_p26_wt_linear,bs,,,1048576,1267620.3735678354
30,1,bench_p26_wt_linear,bs,,,131072,1289217.9379363523
30,1,bench_p26_wt_linear,bs,,,16384,815406.8267942673
30,1,bench_p26_wt_linear,bs,,,262144,1287055.2816372637
30,1,bench_p26_wt_linear,bs,,,32768,1031009.9478215042
30,1,bench_p26_wt_linear,bs,,,4096,409311.0098076611
30,1,bench_p26_wt_linear,bs,,,524288,1271661.6807233056
30,1,bench_p26_wt_linear,bs,,,65536,1239299.4424126982
30,1,bench_p26_wt_linear,bs,,,8192,771929.8502309633
30,1,bench_p26_wt_linear,ps,,1,,646513.7304713078
30,1,bench_p26_wt_linear,ps,,1024,,2152717.528467113
30,1,bench_p26_wt_linear,ps,,128,,652702.0258604153
30,1,bench_p26_wt_linear,ps,,16,,646547.5226244805
30,1,bench_p26_wt_linear,ps,,2,,651136.2878745919
30,1,bench_p26_wt_linear,ps,,2048,,2860967.593244562
30,1,bench_p26_wt_linear,ps,,256,,651662.4717311908
30,1,bench_p26_wt_linear,ps,,32,,652025.3925354559
30,1,bench_p26_wt_linear,ps,,4,,649581.16231376
30,1,bench_p26_wt_linear,ps,,4096,,2725375.9234087663
30,1,bench_p26_wt_linear,ps,,512,,1289217.9379363523
30,1,bench_p26_wt_linear,ps,,64,,651418.6005338441
30,1,bench_p26_wt_linear,ps,,8,,649083.3043979527
30,1,bench_p26_wt_linear,rs,1,,,1289217.9379363523
30,1,bench_p26_wt_linear,rs,1024,,,2103153.59963833
30,1,bench_p26_wt_linear,rs,128,,,1411886.53012821
30,1,bench_p26_wt_linear,rs,16,,,1259040.3430000907
30,1,bench_p26_wt_linear,rs,2,,,1043857.1063054891
30,1,bench_p26_wt_linear,rs,2048,,,2871613.5497414456
30,1,bench_p26_wt_linear,rs,256,,,1406792.0708803479
30,1,bench_p26_wt_linear,rs,32,,,1343850.0383571112
30,1,bench_p26_wt_linear,rs,4,,,1026397.8470947952
30,1,bench_p26_wt_linear,rs,4096,,,3069338.50223793
30,1,bench_p26_wt_linear,rs,512,,,1403163.3228531925
30,1,bench_p26_wt_linear,rs,64,,,1393484.115419076
30,1,bench_p26_wt_linear,rs,8,,,1113019.2225562525
30,1,bench_p26_wt_logging,bs,,,1048576,27751.12868425904
30,1,bench_p26_wt_logging,bs,,,131072,21627.851104750636
30,1,bench_p26_wt_logging,bs,,,16384,3558.085723606536
30,1,bench_p26_wt_logging,bs,,,262144,22962.18780376608
30,1,bench_p26_wt_logging,bs,,,32768,10923.784410148319
30,1,bench_p26_wt_logging,bs,,,4096,2731.4733076541597
30,1,bench_p26_wt_logging,bs,,,524288,25330.92359927156
30,1,bench_p26_wt_logging,bs,,,65536,17850.335616937038
30,1,bench_p26_wt_logging,bs,,,8192,2918.108003402068
30,1,bench_p26_wt_logging,ps,,1,,22098.472598152704
30,1,bench_p26_wt_logging,ps,,1024,,18673.604088864067
30,1,bench_p26_wt_logging,ps,,128,,22760.24378730037
30,1,bench_p26_wt_logging,ps,,16,,22929.311331670684
30,1,bench_p26_wt_logging,ps,,2,,23125.099564343094
30,1,bench_p26_wt_logging,ps,,2048,,14865.078625022172
30,1,bench_p26_wt_logging,ps,,256,,22941.425829571956
30,1,bench_p26_wt_logging,ps,,32,,22953.43926378233
30,1,bench_p26_wt_logging,ps,,4,,23441.217599421376
30,1,bench_p26_wt_logging,ps,,4096,,8999.161009584675
30,1,bench_p26_wt_logging,ps,,512,,21627.90422621024
30,1,bench_p26_wt_logging,ps,,64,,23278.87047832767
30,1,bench_p26_wt_logging,ps,,8,,23040.94494244807
30,1,bench_p26_wt_logging,rs,1,,,21627.72181699801
30,1,bench_p26_wt_logging,rs,1024,,,30233.992183600407
30,1,bench_p26_wt_logging,rs,128,,,30549.555072655603
30,1,bench_p26_wt_logging,rs,16,,,24859.66584181262
30,1,bench_p26_wt_logging,rs,2,,,16472.85884057923
30,1,bench_p26_wt_logging,rs,2048,,,29379.81756583246
30,1,bench_p26_wt_logging,rs,256,,,31124.693811867957
30,1,bench_p26_wt_logging,rs,32,,,28904.184166022365
30,1,bench_p26_wt_logging,rs,4,,,14163.506441102174
30,1,bench_p26_wt_logging,rs,4096,,,23337.244429410068
30,1,bench_p26_wt_logging,rs,512,,,31294.559703152787
30,1,bench_p26_wt_logging,rs,64,,,30811.75644915575
30,1,bench_p26_wt_logging,rs,8,,,18001.870236128325
30,1,bench_p26_wt_many,bs,,,1048576,624.3812493667357
30,1,bench_p26_wt_many,bs,,,131072,3830.3105840273915
30,1,bench_p26_wt_many,bs,,,16384,7128.106456149922
30,1,bench_p26_wt_many,bs,,,262144,2450.4935491120746
30,1,bench_p26_wt_many,bs,,,32768,6367.810715568802
30,1,bench_p26_wt_many,bs,,,4096,5926.883002252724
30,1,bench_p26_wt_many,bs,,,524288,1264.0172876821102
30,1,bench_p26_wt_many,bs,,,65536,5077.002195329762
30,1,bench_p26_wt_many,bs,,,8192,7123.405648078959
30,1,bench_p26_wt_many,ps,,1,,2680.367860309247
30,1,bench_p26_wt_many,ps,,1024,,3582.141123448913
30,1,bench_p26_wt_many,ps,,128,,3205.8699074220062
30,1,bench_p26_wt_many,ps,,16,,2693.0518933327976
30,1,bench_p26_wt_many,ps,,2,,2687.9203107600592
30,1,bench_p26_wt_many,ps,,2048,,2824.8086208514733
30,1,bench_p26_wt_many,ps,,256,,3346.217428961279
30,1,bench_p26_wt_many,ps,,32,,2736.3426068600593
30,1,bench_p26_wt_many,ps,,4,,2694.224145111326
30,1,bench_p26_wt_many,ps,,4096,,1916.6658305971146
30,1,bench_p26_wt_many,ps,,512,,3830.3105840273915
30,1,bench_p26_wt_many,ps,,64,,2856.4526913909003
30,1,bench_p26_wt_many,ps,,8,,2694.079788011093
30,1,bench_p26_wt_many,rs,1,,,3830.3105840273915
30,1,bench_p26_wt_many,rs,1024,,,6140.400390569926
30,1,bench_p26_wt_many,rs,128,,,4663.928322916005
30,1,bench_p26_wt_many,rs,16,,,4113.402476135655
30,1,bench_p26_wt_many,rs,2,,,2917.6321944935157
30,1,bench_p26_wt_many,rs,2048,,,5998.105413229607
30,1,bench_p26_wt_many,rs,256,,,4662.733400693787
30,1,bench_p26_wt_many,rs,32,,,4512.562119644593
30,1,bench_p26_wt_many,rs,4,,,3074.8611909855254
30,1,bench_p26_wt_many,rs,4096,,,3983.2579590660584
30,1,bench_p26_wt_many,rs,512,,,5341.863474274088
30,1,bench_p26_wt_many,rs,64,,,4644.691840508733
30,1,bench_p26_wt_many,rs,8,,,3448.2016853693412
30,1,bench_p26_wt_random,bs,,,1048576,6184.428146783794
30,1,bench_p26_wt_random,bs,,,131072,3628.8283334986727
30,1,bench_p26_wt_random,bs,,,16384,3289.2108901460374
30,1,bench_p26_wt_random,bs,,,262144,4980.1644341637075
30,1,bench_p26_wt_random,bs,,,32768,3806.8405806483884
30,1,bench_p26_wt_random,bs,,,4096,1588.664997891919
30,1,bench_p26_wt_random,bs,,,524288,6144.255089489222
30,1,bench_p26_wt_random,bs,,,65536,3688.6517029808847
30,1,bench_p26_wt_random,bs,,,8192,1619.9089664122323
30,1,bench_p26_wt_random,ps,,1,,4126.378663272811
30,1,bench_p26_wt_random,ps,,1024,,2650.850935200476
30,1,bench_p26_wt_random,ps,,128,,3647.300252245847
30,1,bench_p26_wt_random,ps,,16,,4005.1454369470134
30,1,bench_p26_wt_random,ps,,2,,4081.338897849245
30,1,bench_p26_wt_random,ps,,2048,,1578.3156532363435
30,1,bench_p26_wt_random,ps,,256,,3666.7657400625726
30,1,bench_p26_wt_random,ps,,32,,3993.4456344092036
30,1,bench_p26_wt_random,ps,,4,,4064.4396686189807
