FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
30,0,bench_p26_wt_linear,bs,,,1048576,67835.09323180167
30,0,bench_p26_wt_linear,bs,,,131072,68396.35002520624
30,0,bench_p26_wt_linear,bs,,,16384,69756.59430474571
30,0,bench_p26_wt_linear,bs,,,262144,67908.63973397165
30,0,bench_p26_wt_linear,bs,,,32768,68964.11951147647
30,0,bench_p26_wt_linear,bs,,,4096,72548.59543405878
30,0,bench_p26_wt_linear,bs,,,524288,67959.40137669376
30,0,bench_p26_wt_linear,bs,,,65536,68731.98403635075
30,0,bench_p26_wt_linear,bs,,,8192,70048.21602065799
30,0,bench_p26_wt_linear,ps,,1,,72548.59543405878
30,0,bench_p26_wt_linear,ps,,1024,,46890.18464881041
30,0,bench_p26_wt_linear,ps,,128,,71355.74899742831
30,0,bench_p26_wt_linear,ps,,16,,72303.81371782752
30,0,bench_p26_wt_linear,ps,,2,,72538.87281946313
30,0,bench_p26_wt_linear,ps,,2048,,33201.01766431145
30,0,bench_p26_wt_linear,ps,,256,,66949.67760164168
30,0,bench_p26_wt_linear,ps,,32,,71949.46912282283
30,0,bench_p26_wt_linear,ps,,4,,72536.08781922857
30,0,bench_p26_wt_linear,ps,,4096,,26966.698059841387
30,0,bench_p26_wt_linear,ps,,512,,58731.80746859945
30,0,bench_p26_wt_linear,ps,,64,,71290.17920440539
30,0,bench_p26_wt_linear,ps,,8,,72470.62169858055
30,0,bench_p26_wt_linear,rs,1,,,72548.59543405878
30,0,bench_p26_wt_linear,rs,1024,,,71352.25420063396
30,0,bench_p26_wt_linear,rs,128,,,72216.763690833
30,0,bench_p26_wt_linear,rs,16,,,72498.78252416314
30,0,bench_p26_wt_linear,rs,2,,,72537.52403808557
30,0,bench_p26_wt_linear,rs,2048,,,70949.55822880789
30,0,bench_p26_wt_linear,rs,256,,,71975.2730240048
30,0,bench_p26_wt_linear,rs,32,,,72456.87579106509
30,0,bench_p26_wt_linear,rs,4,,,72529.30330172507
30,0,bench_p26_wt_linear,rs,4096,,,71536.39079040932
30,0,bench_p26_wt_linear,rs,512,,,71642.09353780528
30,0,bench_p26_wt_linear,rs,64,,,72372.1212456489
30,0,bench_p26_wt_linear,rs,8,,,72517.73490976806
30,0,bench_p26_wt_logging,bs,,,1048576,10191.208629742965
30,0,bench_p26_wt_logging,bs,,,131072,8882.052301368813
30,0,bench_p26_wt_logging,bs,,,16384,6466.348219130346
30,0,bench_p26_wt_logging,bs,,,262144,9344.38862283799
30,0,bench_p26_wt_logging,bs,,,32768,7785.456858661342
30,0,bench_p26_wt_logging,bs,,,4096,4470.452128794843
30,0,bench_p26_wt_logging,bs,,,524288,9746.035003293437
30,0,bench_p26_wt_logging,bs,,,65536,8402.88417794981
30,0,bench_p26_wt_logging,bs,,,8192,4661.8000512500685
30,0,bench_p26_wt_logging,ps,,1,,4470.452128794843
30,0,bench_p26_wt_logging,ps,,1024,,682.8304796157954
30,0,bench_p26_wt_logging,ps,,128,,3455.909089719165
30,0,bench_p26_wt_logging,ps,,16,,4266.965044305973
30,0,bench_p26_wt_logging,ps,,2,,4461.545786507829
30,0,bench_p26_wt_logging,ps,,2048,,363.46408117865604
30,0,bench_p26_wt_logging,ps,,256,,2230.9568102029943
30,0,bench_p26_wt_logging,ps,,32,,4144.23132442408
30,0,bench_p26_wt_logging,ps,,4,,4437.811627236377
30,0,bench_p26_wt_logging,ps,,4096,,243.18208388025792
30,0,bench_p26_wt_logging,ps,,512,,1220.0900810657715
30,0,bench_p26_wt_logging,ps,,64,,3872.7425080297007
30,0,bench_p26_wt_logging,ps,,8,,4378.912456686789
30,0,bench_p26_wt_logging,rs,1,,,4470.452128794843
30,0,bench_p26_wt_logging,rs,1024,,,3829.8140160899684
30,0,bench_p26_wt_logging,rs,128,,,4296.722520394187
30,0,bench_p26_wt_logging,rs,16,,,4444.208696342271
30,0,bench_p26_wt_logging,rs,2,,,4466.264917106336
30,0,bench_p26_wt_logging,rs,2048,,,3513.367235842773
30,0,bench_p26_wt_logging,rs,256,,,4170.84667802929
30,0,bench_p26_wt_logging,rs,32,,,4419.307924604687
30,0,bench_p26_wt_logging,rs,4,,,4462.593606823982
30,0,bench_p26_wt_logging,rs,4096,,,3777.7158319347154
30,0,bench_p26_wt_logging,rs,512,,,4032.083844954723
30,0,bench_p26_wt_logging,rs,64,,,4371.681004819282
30,0,bench_p26_wt_logging,rs,8,,,4455.302778035087
30,0,bench_p26_wt_many,bs,,,1048576,1620.7255119411604
30,0,bench_p26_wt_many,bs,,,131072,6976.11948889208
30,0,bench_p26_wt_many,bs,,,16384,14799.889883368001
30,0,bench_p26_wt_many,bs,,,262144,4549.107967878581
30,0,bench_p26_wt_many,bs,,,32768,12613.144365334116
30,0,bench_p26_wt_many,bs,,,4096,18059.459758663776
30,0,bench_p26_wt_many,bs,,,524288,2719.4482448209465
30,0,bench_p26_wt_many,bs,,,65536,9838.430474200251
30,0,bench_p26_wt_many,bs,,,8192,16649.746239522512
30,0,bench_p26_wt_many,ps,,1,,18059.459758663776
30,0,bench_p26_wt_many,ps,,1024,,2506.41265041392
30,0,bench_p26_wt_many,ps,,128,,12719.464223027477
30,0,bench_p26_wt_many,ps,,16,,17469.144285643186
30,0,bench_p26_wt_many,ps,,2,,18019.623238793738
30,0,bench_p26_wt_many,ps,,2048,,1075.519902992885
30,0,bench_p26_wt_many,ps,,256,,12097.038594927339
30,0,bench_p26_wt_many,ps,,32,,17093.56479767916
30,0,bench_p26_wt_many,ps,,4,,17952.911994405604
30,0,bench_p26_wt_many,ps,,4096,,959.0312135009422
30,0,bench_p26_wt_many,ps,,512,,5839.759368166456
30,0,bench_p26_wt_many,ps,,64,,15804.985464479563
30,0,bench_p26_wt_many,ps,,8,,17770.309342925844
30,0,bench_p26_wt_many,rs,1,,,18059.459758663776
30,0,bench_p26_wt_many,rs,1024,,,9487.394340307308
30,0,bench_p26_wt_many,rs,128,,,15169.366736115568
30,0,bench_p26_wt_many,rs,16,,,17711.807621655247
30,0,bench_p26_wt_many,rs,2,,,18037.856919645124
30,0,bench_p26_wt_many,rs,2048,,,9151.059705542772
30,0,bench_p26_wt_many,rs,256,,,13487.088060257127
30,0,bench_p26_wt_many,rs,32,,,17256.254673332962
30,0,bench_p26_wt_many,rs,4,,,17971.713109926994
