FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
32,1,bench_p26_wt_linear,bs,,,1048576,1266453.6766135884
32,1,bench_p26_wt_linear,bs,,,131072,1286271.7206453916
32,1,bench_p26_wt_linear,bs,,,16384,817246.7014868577
32,1,bench_p26_wt_linear,bs,,,262144,1286256.067627764
32,1,bench_p26_wt_linear,bs,,,32768,1024326.1039826467
32,1,bench_p26_wt_linear,bs,,,4096,414569.71049690235
32,1,bench_p26_wt_linear,bs,,,524288,1270625.7558027515
32,1,bench_p26_wt_linear,bs,,,65536,1233878.999455467
32,1,bench_p26_wt_linear,bs,,,8192,779150.7335254435
32,1,bench_p26_wt_linear,ps,,1,,645304.2998423899
32,1,bench_p26_wt_linear,ps,,1024,,2135470.305708468
32,1,bench_p26_wt_linear,ps,,128,,651246.9447839452
32,1,bench_p26_wt_linear,ps,,16,,646403.1529052431
32,1,bench_p26_wt_linear,ps,,2,,647788.4807444398
32,1,bench_p26_wt_linear,ps,,2048,,2848585.5648265705
32,1,bench_p26_wt_linear,ps,,256,,650917.0127602386
32,1,bench_p26_wt_linear,ps,,32,,652223.3690376373
32,1,bench_p26_wt_linear,ps,,4,,649718.2347183606
32,1,bench_p26_wt_linear,ps,,4096,,2712849.4145776154
32,1,bench_p26_wt_linear,ps,,512,,1286271.7206453916
32,1,bench_p26_wt_linear,ps,,64,,649340.417455191
32,1,bench_p26_wt_linear,ps,,8,,646585.3782594261
32,1,bench_p26_wt_linear,rs,1,,,1286271.7206453916
32,1,bench_p26_wt_linear,rs,1024,,,2090888.1807823712
32,1,bench_p26_wt_linear,rs,128,,,1410852.9047566645
32,1,bench_p26_wt_linear,rs,16,,,1256907.0038830505
32,1,bench_p26_wt_linear,rs,2,,,1046791.6847045056
32,1,bench_p26_wt_linear,rs,2048,,,2842971.422361359
32,1,bench_p26_wt_linear,rs,256,,,1403162.5522731694
32,1,bench_p26_wt_linear,rs,32,,,1343048.3215360106
32,1,bench_p26_wt_linear,rs,4,,,1027566.9130304805
32,1,bench_p26_wt_linear,rs,4096,,,3022038.7568122423
32,1,bench_p26_wt_linear,rs,512,,,1398747.758482536
32,1,bench_p26_wt_linear,rs,64,,,1393010.051195272
32,1,bench_p26_wt_linear,rs,8,,,1112475.5403093498
32,1,bench_p26_wt_logging,bs,,,1048576,38614.91575638145
32,1,bench_p26_wt_logging,bs,,,131072,33234.72437800944
32,1,bench_p26_wt_logging,bs,,,16384,9326.451184617426
32,1,bench_p26_wt_logging,bs,,,262144,34518.06683987196
32,1,bench_p26_wt_logging,bs,,,32768,21259.981851123335
32,1,bench_p26_wt_logging,bs,,,4096,4212.642515847865
32,1,bench_p26_wt_logging,bs,,,524288,37127.75884127166
32,1,bench_p26_wt_logging,bs,,,65536,29468.239580510486
32,1,bench_p26_wt_logging,bs,,,8192,4513.88450040986
32,1,bench_p26_wt_logging,ps,,1,,33583.42312872324
32,1,bench_p26_wt_logging,ps,,1024,,23628.674777725835
32,1,bench_p26_wt_logging,ps,,128,,35047.759536627906
32,1,bench_p26_wt_logging,ps,,16,,35051.35377192941
32,1,bench_p26_wt_logging,ps,,2,,34882.85644342294
