FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
32,0,bench_p26_wt_linear,bs,,,1048576,67827.76087074367
32,0,bench_p26_wt_linear,bs,,,131072,68389.55945350278
32,0,bench_p26_wt_linear,bs,,,16384,69692.5035988722
32,0,bench_p26_wt_linear,bs,,,262144,67908.9987581718
32,0,bench_p26_wt_linear,bs,,,32768,68934.12450203812
32,0,bench_p26_wt_linear,bs,,,4096,71863.24043085608
32,0,bench_p26_wt_linear,bs,,,524288,67962.59604713917
32,0,bench_p26_wt_linear,bs,,,65536,68627.66556150194
32,0,bench_p26_wt_linear,bs,,,8192,69808.59259620291
32,0,bench_p26_wt_linear,ps,,1,,71863.24043085608
32,0,bench_p26_wt_linear,ps,,1024,,45880.7387932934
32,0,bench_p26_wt_linear,ps,,128,,70729.6604765371
32,0,bench_p26_wt_linear,ps,,16,,71712.5852195135
32,0,bench_p26_wt_linear,ps,,2,,71855.685056519
32,0,bench_p26_wt_linear,ps,,2048,,32198.64865339109
32,0,bench_p26_wt_linear,ps,,256,,66711.41220121332
32,0,bench_p26_wt_linear,ps,,32,,71431.37059832535
32,0,bench_p26_wt_linear,ps,,4,,71853.75034933572
32,0,bench_p26_wt_linear,ps,,4096,,26394.1806734683
32,0,bench_p26_wt_linear,ps,,512,,58291.97909321049
32,0,bench_p26_wt_linear,ps,,64,,70863.3768663582
32,0,bench_p26_wt_linear,ps,,8,,71818.22610851104
32,0,bench_p26_wt_linear,rs,1,,,71863.24043085608
32,0,bench_p26_wt_linear,rs,1024,,,70671.75660815743
32,0,bench_p26_wt_linear,rs,128,,,71575.04413686921
32,0,bench_p26_wt_linear,rs,16,,,71820.2957397931
32,0,bench_p26_wt_linear,rs,2,,,71854.50537248755
32,0,bench_p26_wt_linear,rs,2048,,,70118.93083612228
32,0,bench_p26_wt_linear,rs,256,,,71355.07059733113
32,0,bench_p26_wt_linear,rs,32,,,71785.30055462294
32,0,bench_p26_wt_linear,rs,4,,,71847.79635233137
32,0,bench_p26_wt_linear,rs,4096,,,70920.3217825015
32,0,bench_p26_wt_linear,rs,512,,,71031.8324575736
32,0,bench_p26_wt_linear,rs,64,,,71713.38969257686
32,0,bench_p26_wt_linear,rs,8,,,71836.39304882014
32,0,bench_p26_wt_logging,bs,,,1048576,12809.691597385696
32,0,bench_p26_wt_logging,bs,,,131072,12024.875856681063
32,0,bench_p26_wt_logging,bs,,,16384,11050.519299577434
32,0,bench_p26_wt_logging,bs,,,262144,12306.235550256793
32,0,bench_p26_wt_logging,bs,,,32768,11740.337527545797
32,0,bench_p26_wt_logging,bs,,,4096,7092.605643533068
32,0,bench_p26_wt_logging,bs,,,524288,12532.462242744326
32,0,bench_p26_wt_logging,bs,,,65536,12034.519986897092
32,0,bench_p26_wt_logging,bs,,,8192,8093.182171890555
32,0,bench_p26_wt_logging,ps,,1,,7092.605643533068
32,0,bench_p26_wt_logging,ps,,1024,,742.0383108893336
32,0,bench_p26_wt_logging,ps,,128,,5241.4550653480765
32,0,bench_p26_wt_logging,ps,,16,,6769.957847401212
32,0,bench_p26_wt_logging,ps,,2,,7088.574305070938
32,0,bench_p26_wt_logging,ps,,2048,,362.07162894738735
32,0,bench_p26_wt_logging,ps,,256,,3017.5054541806744
32,0,bench_p26_wt_logging,ps,,32,,6503.670976829732
32,0,bench_p26_wt_logging,ps,,4,,7044.307025730225
32,0,bench_p26_wt_logging,ps,,4096,,241.8014163240895
32,0,bench_p26_wt_logging,ps,,512,,1533.3230053363811
32,0,bench_p26_wt_logging,ps,,64,,5675.97999638036
32,0,bench_p26_wt_logging,ps,,8,,6895.7166887263775
