FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
33,1,bench_p26_wt_linear,bs,,,1048576,1266453.6766135884
33,1,bench_p26_wt_linear,bs,,,131072,1286271.7206453916
33,1,bench_p26_wt_linear,bs,,,16384,817246.7014868577
33,1,bench_p26_wt_linear,bs,,,262144,1286256.067627764
33,1,bench_p26_wt_linear,bs,,,32768,1024326.1039826467
33,1,bench_p26_wt_linear,bs,,,4096,414569.71049690235
33,1,bench_p26_wt_linear,bs,,,524288,1270625.7558027515
33,1,bench_p26_wt_linear,bs,,,65536,1233878.999455467
33,1,bench_p26_wt_linear,bs,,,8192,779150.7335254435
33,1,bench_p26_wt_linear,ps,,1,,645304.2998423899
33,1,bench_p26_wt_linear,ps,,1024,,2135470.305708468
33,1,bench_p26_wt_linear,ps,,128,,651246.9447839452
33,1,bench_p26_wt_linear,ps,,16,,646403.1529052431
33,1,bench_p26_wt_linear,ps,,2,,647788.4807444398
33,1,bench_p26_wt_linear,ps,,2048,,2848585.5648265705
33,1,bench_p26_wt_linear,ps,,256,,650917.0127602386
33,1,bench_p26_wt_linear,ps,,32,,652223.3690376373
33,1,bench_p26_wt_linear,ps,,4,,649718.2347183606
33,1,bench_p26_wt_linear,ps,,4096,,2712849.4145776154
33,1,bench_p26_wt_linear,ps,,512,,1286271.7206453916
33,1,bench_p26_wt_linear,ps,,64,,649340.417455191
33,1,bench_p26_wt_linear,ps,,8,,646585.3782594261
33,1,bench_p26_wt_linear,rs,1,,,1286271.7206453916
33,1,bench_p26_wt_linear,rs,1024,,,2090888.1807823712
33,1,bench_p26_wt_linear,rs,128,,,1410852.9047566645
33,1,bench_p26_wt_linear,rs,16,,,1256907.0038830505
33,1,bench_p26_wt_linear,rs,2,,,1046791.6847045056
33,1,bench_p26_wt_linear,rs,2048,,,2842971.422361359
33,1,bench_p26_wt_linear,rs,256,,,1403162.5522731694
33,1,bench_p26_wt_linear,rs,32,,,1343048.3215360106
33,1,bench_p26_wt_linear,rs,4,,,1027566.9130304805
33,1,bench_p26_wt_linear,rs,4096,,,3022038.7568122423
33,1,bench_p26_wt_linear,rs,512,,,1398747.758482536
33,1,bench_p26_wt_linear,rs,64,,,1393010.051195272
33,1,bench_p26_wt_linear,rs,8,,,1112475.5403093498
33,1,bench_p26_wt_logging,bs,,,1048576,27742.6825226751
33,1,bench_p26_wt_logging,bs,,,131072,21601.574490082643
33,1,bench_p26_wt_logging,bs,,,16384,3552.3532840634407
33,1,bench_p26_wt_logging,bs,,,262144,22945.960647767344
33,1,bench_p26_wt_logging,bs,,,32768,10891.923175206855
33,1,bench_p26_wt_logging,bs,,,4096,2843.050814442678
33,1,bench_p26_wt_logging,bs,,,524288,25309.96749376842
33,1,bench_p26_wt_logging,bs,,,65536,17818.294828441478
33,1,bench_p26_wt_logging,bs,,,8192,2941.0538637461473
33,1,bench_p26_wt_logging,ps,,1,,22108.05415809634
33,1,bench_p26_wt_logging,ps,,1024,,18675.387970428998
33,1,bench_p26_wt_logging,ps,,128,,22757.456825239326
33,1,bench_p26_wt_logging,ps,,16,,22923.979479275014
33,1,bench_p26_wt_logging,ps,,2,,23488.720901608067
33,1,bench_p26_wt_logging,ps,,2048,,14813.109635896746
33,1,bench_p26_wt_logging,ps,,256,,22931.23675527853
33,1,bench_p26_wt_logging,ps,,32,,22923.343509411516
33,1,bench_p26_wt_logging,ps,,4,,23461.237040482087
33,1,bench_p26_wt_logging,ps,,4096,,8955.389292439844
33,1,bench_p26_wt_logging,ps,,512,,21601.574490082643
33,1,bench_p26_wt_logging,ps,,64,,23323.188611552625
33,1,bench_p26_wt_logging,ps,,8,,23127.619066301457
33,1,bench_p26_wt_logging,rs,1,,,21601.574490082643
33,1,bench_p26_wt_logging,rs,1024,,,30178.10072241549
33,1,bench_p26_wt_logging,rs,128,,,30506.086380161578
33,1,bench_p26_wt_logging,rs,16,,,25289.410100052584
33,1,bench_p26_wt_logging,rs,2,,,16648.62135788197
33,1,bench_p26_wt_logging,rs,2048,,,29300.715332945496
33,1,bench_p26_wt_logging,rs,256,,,31077.284641892984
33,1,bench_p26_wt_logging,rs,32,,,28869.98566687337
33,1,bench_p26_wt_logging,rs,4,,,14207.460099789176
33,1,bench_p26_wt_logging,rs,4096,,,23239.277320893067
33,1,bench_p26_wt_logging,rs,512,,,31248.169418267495
33,1,bench_p26_wt_logging,rs,64,,,30754.8901636871
33,1,bench_p26_wt_logging,rs,8,,,18222.073422884325
33,1,bench_p26_wt_many,bs,,,1048576,669.9029720411596
33,1,bench_p26_wt_many,bs,,,131072,3611.486869596814
33,1,bench_p26_wt_many,bs,,,16384,7308.203383717881
33,1,bench_p26_wt_many,bs,,,262144,2271.941682357309
33,1,bench_p26_wt_many,bs,,,32768,6368.804881972207
33,1,bench_p26_wt_many,bs,,,4096,8065.044225133686
33,1,bench_p26_wt_many,bs,,,524288,1241.503092209187
33,1,bench_p26_wt_many,bs,,,65536,4862.479337585559
33,1,bench_p26_wt_many,bs,,,8192,7829.521177025841
33,1,bench_p26_wt_many,ps,,1,,2627.466001893462
33,1,bench_p26_wt_many,ps,,1024,,3352.204216431987
33,1,bench_p26_wt_many,ps,,128,,3183.4307252793074
33,1,bench_p26_wt_many,ps,,16,,2658.754426806474
33,1,bench_p26_wt_many,ps,,2,,2636.3379549166298
33,1,bench_p26_wt_many,ps,,2048,,2550.4461051553167
33,1,bench_p26_wt_many,ps,,256,,3250.8860105122735
33,1,bench_p26_wt_many,ps,,32,,2715.409089591689
33,1,bench_p26_wt_many,ps,,4,,2649.0834615610547
33,1,bench_p26_wt_many,ps,,4096,,1545.2890453429293
33,1,bench_p26_wt_many,ps,,512,,3611.486869596814
33,1,bench_p26_wt_many,ps,,64,,2816.034574359153
33,1,bench_p26_wt_many,ps,,8,,2645.5376731797182
33,1,bench_p26_wt_many,rs,1,,,3611.486869596814
33,1,bench_p26_wt_many,rs,1024,,,5903.817756941819
33,1,bench_p26_wt_many,rs,128,,,4371.326642736355
33,1,bench_p26_wt_many,rs,16,,,3890.087681219449
33,1,bench_p26_wt_many,rs,2,,,2709.114511553739
33,1,bench_p26_wt_many,rs,2048,,,5760.988480549613
33,1,bench_p26_wt_many,rs,256,,,4316.414285425562
33,1,bench_p26_wt_many,rs,32,,,4265.06622469207
33,1,bench_p26_wt_many,rs,4,,,2867.4700743698672
33,1,bench_p26_wt_many,rs,4096,,,3791.9440413605553
33,1,bench_p26_wt_many,rs,512,,,5203.472255831032
33,1,bench_p26_wt_many,rs,64,,,4381.542129258479
33,1,bench_p26_wt_many,rs,8,,,3304.7865517659893
33,1,bench_p26_wt_random,bs,,,1048576,6165.629369672304
33,1,bench_p26_wt_random,bs,,,131072,3632.0821884102656
33,1,bench_p26_wt_random,bs,,,16384,3362.727031839581
33,1,bench_p26_wt_random,bs,,,262144,4991.412661394778
33,1,bench_p26_wt_random,bs,,,32768,3862.9403642949505
33,1,bench_p26_wt_random,bs,,,4096,1778.9974938798302
33,1,bench_p26_wt_random,bs,,,524288,6140.567674152234
33,1,bench_p26_wt_random,bs,,,65536,3715.6239732237073
33,1,bench_p26_wt_random,bs,,,8192,1702.585300932849
33,1,bench_p26_wt_random,ps,,1,,4139.638971058546
33,1,bench_p26_wt_random,ps,,1024,,2655.2048581809495
33,1,bench_p26_wt_random,ps,,128,,3660.1234547285594
33,1,bench_p26_wt_random,ps,,16,,4031.4996553941764
33,1,bench_p26_wt_random,ps,,2,,4104.201267836219
33,1,bench_p26_wt_random,ps,,2048,,1584.9343650277972
33,1,bench_p26_wt_random,ps,,256,,3681.2336119969837
33,1,bench_p26_wt_random,ps,,32,,4007.3668633643533
33,1,bench_p26_wt_random,ps,,4,,4076.4462195517476
33,1,bench_p26_wt_random,ps,,4096,,845.6320038856933
