FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
33,0,bench_p26_wt_linear,bs,,,1048576,67827.76087074367
33,0,bench_p26_wt_linear,bs,,,131072,68389.55945350278
33,0,bench_p26_wt_linear,bs,,,16384,69692.5035988722
33,0,bench_p26_wt_linear,bs,,,262144,67908.9987581718
33,0,bench_p26_wt_linear,bs,,,32768,68934.12450203812
33,0,bench_p26_wt_linear,bs,,,4096,71863.24043085608
33,0,bench_p26_wt_linear,bs,,,524288,67962.59604713917
33,0,bench_p26_wt_linear,bs,,,65536,68627.66556150194
33,0,bench_p26_wt_linear,bs,,,8192,69808.59259620291
33,0,bench_p26_wt_linear,ps,,1,,71863.24043085608
33,0,bench_p26_wt_linear,ps,,1024,,45880.7387932934
33,0,bench_p26_wt_linear,ps,,128,,70729.6604765371
33,0,bench_p26_wt_linear,ps,,16,,71712.5852195135
33,0,bench_p26_wt_linear,ps,,2,,71855.685056519
33,0,bench_p26_wt_linear,ps,,2048,,32198.64865339109
33,0,bench_p26_wt_linear,ps,,256,,66711.41220121332
33,0,bench_p26_wt_linear,ps,,32,,71431.37059832535
33,0,bench_p26_wt_linear,ps,,4,,71853.75034933572
33,0,bench_p26_wt_linear,ps,,4096,,26394.1806734683
33,0,bench_p26_wt_linear,ps,,512,,58291.97909321049
33,0,bench_p26_wt_linear,ps,,64,,70863.3768663582
33,0,bench_p26_wt_linear,ps,,8,,71818.22610851104
33,0,bench_p26_wt_linear,rs,1,,,71863.24043085608
33,0,bench_p26_wt_linear,rs,1024,,,70671.75660815743
33,0,bench_p26_wt_linear,rs,128,,,71575.04413686921
33,0,bench_p26_wt_linear,rs,16,,,71820.2957397931
33,0,bench_p26_wt_linear,rs,2,,,71854.50537248755
33,0,bench_p26_wt_linear,rs,2048,,,70118.93083612228
33,0,bench_p26_wt_linear,rs,256,,,71355.07059733113
33,0,bench_p26_wt_linear,rs,32,,,71785.30055462294
33,0,bench_p26_wt_linear,rs,4,,,71847.79635233137
33,0,bench_p26_wt_linear,rs,4096,,,70920.3217825015
33,0,bench_p26_wt_linear,rs,512,,,71031.8324575736
33,0,bench_p26_wt_linear,rs,64,,,71713.38969257686
33,0,bench_p26_wt_linear,rs,8,,,71836.39304882014
33,0,bench_p26_wt_logging,bs,,,1048576,10196.17164621826
33,0,bench_p26_wt_logging,bs,,,131072,8896.297584750331
33,0,bench_p26_wt_logging,bs,,,16384,6457.236191063632
33,0,bench_p26_wt_logging,bs,,,262144,9346.943805287985
33,0,bench_p26_wt_logging,bs,,,32768,7783.144365778937
33,0,bench_p26_wt_logging,bs,,,4096,4442.356659764516
33,0,bench_p26_wt_logging,bs,,,524288,9752.229858478962
33,0,bench_p26_wt_logging,bs,,,65536,8417.68978708513
33,0,bench_p26_wt_logging,bs,,,8192,4637.694001395896
33,0,bench_p26_wt_logging,ps,,1,,4442.356659764516
33,0,bench_p26_wt_logging,ps,,1024,,674.6081817726679
33,0,bench_p26_wt_logging,ps,,128,,3436.000493529906
33,0,bench_p26_wt_logging,ps,,16,,4245.596166371518
33,0,bench_p26_wt_logging,ps,,2,,4437.97646833074
33,0,bench_p26_wt_logging,ps,,2048,,362.07162894738735
33,0,bench_p26_wt_logging,ps,,256,,2212.5543771774064
33,0,bench_p26_wt_logging,ps,,32,,4123.143290307089
33,0,bench_p26_wt_logging,ps,,4,,4413.062758625004
33,0,bench_p26_wt_logging,ps,,4096,,241.8014163240895
33,0,bench_p26_wt_logging,ps,,512,,1203.3203023604333
33,0,bench_p26_wt_logging,ps,,64,,3882.505176623843
33,0,bench_p26_wt_logging,ps,,8,,4358.871614600176
33,0,bench_p26_wt_logging,rs,1,,,4442.356659764516
33,0,bench_p26_wt_logging,rs,1024,,,3813.238702465369
33,0,bench_p26_wt_logging,rs,128,,,4282.647014918809
33,0,bench_p26_wt_logging,rs,16,,,4418.660356825722
33,0,bench_p26_wt_logging,rs,2,,,4438.14996142439
33,0,bench_p26_wt_logging,rs,2048,,,3498.5176618654987
33,0,bench_p26_wt_logging,rs,256,,,4163.711180311655
33,0,bench_p26_wt_logging,rs,32,,,4396.244866237906
33,0,bench_p26_wt_logging,rs,4,,,4434.733077809474
33,0,bench_p26_wt_logging,rs,4096,,,3758.563605617306
33,0,bench_p26_wt_logging,rs,512,,,4025.1801297818974
33,0,bench_p26_wt_logging,rs,64,,,4351.77537568357
33,0,bench_p26_wt_logging,rs,8,,,4428.032140418496
33,0,bench_p26_wt_many,bs,,,1048576,1545.0205744789362
33,0,bench_p26_wt_many,bs,,,131072,6746.004426665557
33,0,bench_p26_wt_many,bs,,,16384,14578.256902402045
33,0,bench_p26_wt_many,bs,,,262144,4334.65860924551
33,0,bench_p26_wt_many,bs,,,32768,12312.387507459973
33,0,bench_p26_wt_many,bs,,,4096,17842.277233076926
33,0,bench_p26_wt_many,bs,,,524288,2629.9037234593775
33,0,bench_p26_wt_many,bs,,,65536,9536.508214444248
33,0,bench_p26_wt_many,bs,,,8192,16362.83181711532
33,0,bench_p26_wt_many,ps,,1,,17842.277233076926
33,0,bench_p26_wt_many,ps,,1024,,2063.4297334462008
33,0,bench_p26_wt_many,ps,,128,,12512.250916275845
33,0,bench_p26_wt_many,ps,,16,,17320.184145720432
33,0,bench_p26_wt_many,ps,,2,,17784.086522498816
33,0,bench_p26_wt_many,ps,,2048,,954.7331375137691
33,0,bench_p26_wt_many,ps,,256,,11525.758356836664
33,0,bench_p26_wt_many,ps,,32,,16872.28249044183
33,0,bench_p26_wt_many,ps,,4,,17733.25540836085
33,0,bench_p26_wt_many,ps,,4096,,556.1638730736894
33,0,bench_p26_wt_many,ps,,512,,5270.329498088141
33,0,bench_p26_wt_many,ps,,64,,15442.776502965968
33,0,bench_p26_wt_many,ps,,8,,17634.5682328467
