FS,DISK_GEOMETRY,case,SIZE,bench_throughput,bench_ram
31,1,bench_p26_wt_linear,1024,1280308.5073286868,4624
31,1,bench_p26_wt_linear,1048576,124875.41865398215,4624
31,1,bench_p26_wt_linear,131072,157142.81093170537,4624
31,1,bench_p26_wt_linear,16384,530970.3125373238,4624
31,1,bench_p26_wt_linear,16777216,88661.17099775275,4624
31,1,bench_p26_wt_linear,2048,924559.2200755571,4624
31,1,bench_p26_wt_linear,2097152,120561.27465910482,4624
31,1,bench_p26_wt_linear,262144,138507.1471605208,4624
31,1,bench_p26_wt_linear,32768,241560.55068250303,4624
31,1,bench_p26_wt_linear,33554432,71180.88852438304,4624
31,1,bench_p26_wt_linear,4096,725181.3197672401,4624
31,1,bench_p26_wt_linear,4194304,114267.95401398138,4624
31,1,bench_p26_wt_linear,524288,129852.9515219629,4624
31,1,bench_p26_wt_linear,65536,313086.41766585386,4624
31,1,bench_p26_wt_linear,8192,563396.9546690889,4624
31,1,bench_p26_wt_linear,8388608,104648.69894480168,4624
31,1,bench_p26_wt_logging,1024,31599.452267314147,4624
31,1,bench_p26_wt_logging,1048576,6599.533503115105,4624
31,1,bench_p26_wt_logging,131072,7671.322647226153,4624
31,1,bench_p26_wt_logging,16384,19672.914476326227,4624
31,1,bench_p26_wt_logging,16777216,5680.734865261892,4624
31,1,bench_p26_wt_logging,2048,27955.088906264507,4624
31,1,bench_p26_wt_logging,2097152,5944.759579406777,4624
31,1,bench_p26_wt_logging,262144,7400.789309744862,4624
31,1,bench_p26_wt_logging,32768,14452.39696845552,4624
31,1,bench_p26_wt_logging,33554432,6038.604959905306,4624
31,1,bench_p26_wt_logging,4096,22596.272268650264,4624
31,1,bench_p26_wt_logging,4194304,5023.6070267270725,4624
31,1,bench_p26_wt_logging,524288,7078.051631441703,4624
31,1,bench_p26_wt_logging,65536,8654.815052563594,4624
31,1,bench_p26_wt_logging,8192,22399.084106995382,4624
31,1,bench_p26_wt_logging,8388608,5577.46351930164,4624
31,1,bench_p26_wt_many,1024,51202.549605228174,4848
31,1,bench_p26_wt_many,1048576,3963.2404616882986,4848
31,1,bench_p26_wt_many,131072,4267.103717778023,4848
31,1,bench_p26_wt_many,16384,12046.785576727465,4848
31,1,bench_p26_wt_many,16777216,3141.4372381805088,4848
31,1,bench_p26_wt_many,2048,38767.42937913319,4848
31,1,bench_p26_wt_many,2097152,3858.0379086592366,4848
31,1,bench_p26_wt_many,262144,4172.918663971459,4848
31,1,bench_p26_wt_many,32768,4398.180853566599,4848
31,1,bench_p26_wt_many,33554432,3002.823349245856,4848
31,1,bench_p26_wt_many,4096,28316.14568764349,4848
31,1,bench_p26_wt_many,4194304,3771.3103583415023,4848
31,1,bench_p26_wt_many,524288,4033.745256992749,4848
31,1,bench_p26_wt_many,65536,4368.988974944313,4848
31,1,bench_p26_wt_many,8192,19531.97714375339,4848
31,1,bench_p26_wt_many,8388608,3408.291932057754,4848
31,1,bench_p26_wt_random,1024,64764.83813105898,4608
31,1,bench_p26_wt_random,1048576,12479.79293195963,4608
31,1,bench_p26_wt_random,131072,13719.965766506875,4608
31,1,bench_p26_wt_random,16384,30878.485465412774,4608
31,1,bench_p26_wt_random,16777216,7334.09814658845,4608
31,1,bench_p26_wt_random,2048,53788.47488260839,4608
31,1,bench_p26_wt_random,2097152,11527.427161873129,4608
31,1,bench_p26_wt_random,262144,13046.024176177523,4608
31,1,bench_p26_wt_random,32768,23024.044135199936,4608
31,1,bench_p26_wt_random,33554432,6846.6084115819185,4608
31,1,bench_p26_wt_random,4096,43044.98273294207,4608
31,1,bench_p26_wt_random,4194304,10516.509856389936,4608
31,1,bench_p26_wt_random,524288,13121.85242531611,4608
31,1,bench_p26_wt_random,65536,15194.223827559024,4608
31,1,bench_p26_wt_random,8192,33675.690942863,4608
31,1,bench_p26_wt_random,8388608,8741.725045409992,4608
