FS,DISK_GEOMETRY,case,SIZE,bench_throughput,bench_ram
31,0,bench_p26_wt_linear,1024,67813.01899625373,4112
31,0,bench_p26_wt_linear,1048576,13209.678333816504,4112
31,0,bench_p26_wt_linear,131072,14533.066255489355,4112
31,0,bench_p26_wt_linear,16384,16551.248613146137,4112
31,0,bench_p26_wt_linear,16777216,10921.244666569315,4112
31,0,bench_p26_wt_linear,2048,31124.496069994522,4112
31,0,bench_p26_wt_linear,2097152,12925.420107495389,4112
31,0,bench_p26_wt_linear,262144,13858.111549736004,4112
31,0,bench_p26_wt_linear,32768,15905.773783368604,4112
31,0,bench_p26_wt_linear,33554432,9983.091514505673,4112
31,0,bench_p26_wt_linear,4096,23137.312391874526,4112
31,0,bench_p26_wt_linear,4194304,12238.162004691068,4112
31,0,bench_p26_wt_linear,524288,13450.573879300542,4112
31,0,bench_p26_wt_linear,65536,15385.156505034985,4112
31,0,bench_p26_wt_linear,8192,19816.866016124473,4112
31,0,bench_p26_wt_linear,8388608,11982.341464600604,4112
31,0,bench_p26_wt_logging,1024,6451.74202575257,4112
31,0,bench_p26_wt_logging,1048576,2599.3217151089893,4112
31,0,bench_p26_wt_logging,131072,2757.4537837636303,4112
31,0,bench_p26_wt_logging,16384,3735.2745114493746,4112
31,0,bench_p26_wt_logging,16777216,3066.237895882096,4112
31,0,bench_p26_wt_logging,2048,4783.305425644718,4112
31,0,bench_p26_wt_logging,2097152,2372.5288485084093,4112
31,0,bench_p26_wt_logging,262144,2751.626363791943,4112
31,0,bench_p26_wt_logging,32768,3542.007691160956,4112
31,0,bench_p26_wt_logging,33554432,3066.237895882096,4112
31,0,bench_p26_wt_logging,4096,3868.979054575906,4112
31,0,bench_p26_wt_logging,4194304,2471.9106585942195,4112
31,0,bench_p26_wt_logging,524288,2680.1168087727815,4112
31,0,bench_p26_wt_logging,65536,3123.863330148054,4112
31,0,bench_p26_wt_logging,8192,3873.0768748500636,4112
31,0,bench_p26_wt_logging,8388608,2830.7888243031803,4112
31,0,bench_p26_wt_many,1024,20534.807241726932,4336
31,0,bench_p26_wt_many,1048576,18767.264211455986,4336
31,0,bench_p26_wt_many,131072,19225.68968432008,4336
31,0,bench_p26_wt_many,16384,19136.529020335962,4336
31,0,bench_p26_wt_many,16777216,4280.034014976778,4336
31,0,bench_p26_wt_many,2048,20190.27839060364,4336
31,0,bench_p26_wt_many,2097152,17908.066556343616,4336
31,0,bench_p26_wt_many,262144,19302.23577111606,4336
31,0,bench_p26_wt_many,32768,19650.10904770768,4336
31,0,bench_p26_wt_many,33554432,4029.455548111834,4336
31,0,bench_p26_wt_many,4096,20055.459525826445,4336
31,0,bench_p26_wt_many,4194304,17070.050251937308,4336
31,0,bench_p26_wt_many,524288,19051.8018442069,4336
31,0,bench_p26_wt_many,65536,19519.223502075965,4336
31,0,bench_p26_wt_many,8192,18885.816556706694,4336
31,0,bench_p26_wt_many,8388608,5472.675503017457,4336
31,0,bench_p26_wt_random,1024,8778.872497707247,4096
31,0,bench_p26_wt_random,1048576,4620.24499563211,4096
31,0,bench_p26_wt_random,131072,4785.87065738504,4096
31,0,bench_p26_wt_random,16384,5892.131294619875,4096
31,0,bench_p26_wt_random,16777216,4860.430315197536,4096
31,0,bench_p26_wt_random,2048,6493.982833148215,4096
31,0,bench_p26_wt_random,2097152,4430.469963384068,4096
31,0,bench_p26_wt_random,262144,4704.821611994701,4096
31,0,bench_p26_wt_random,32768,5656.626750815603,4096
31,0,bench_p26_wt_random,33554432,5168.784826063983,4096
31,0,bench_p26_wt_random,4096,6072.082220260011,4096
31,0,bench_p26_wt_random,4194304,4288.467248915419,4096
31,0,bench_p26_wt_random,524288,4723.1897880789975,4096
31,0,bench_p26_wt_random,65536,4940.933699988605,4096
31,0,bench_p26_wt_random,8192,5893.060977973769,4096
31,0,bench_p26_wt_random,8388608,4557.748256493374,4096
