FS,DISK_GEOMETRY,case,SIZE,bench_throughput,bench_ram
30,1,bench_p26_wt_linear,1024,1326562.8787701253,4368
30,1,bench_p26_wt_linear,1048576,1320734.2263825098,4448
30,1,bench_p26_wt_linear,131072,1393039.7879042649,4400
30,1,bench_p26_wt_linear,16384,455677.36232235853,4400
30,1,bench_p26_wt_linear,16777216,1052545.2861408691,4464
30,1,bench_p26_wt_linear,2048,908064.9558204424,4400
30,1,bench_p26_wt_linear,2097152,1289205.0918211555,4464
30,1,bench_p26_wt_linear,262144,1382773.3025503843,4416
30,1,bench_p26_wt_linear,32768,740388.5447381487,4400
30,1,bench_p26_wt_linear,33554432,806171.1460317279,4464
30,1,bench_p26_wt_linear,4096,695449.7518175411,4400
30,1,bench_p26_wt_linear,4194304,1253021.0524596015,4464
30,1,bench_p26_wt_linear,524288,1345405.215027571,4416
30,1,bench_p26_wt_linear,65536,1076712.8248519443,4400
30,1,bench_p26_wt_linear,8192,529244.0808715,4400
30,1,bench_p26_wt_linear,8388608,1173480.5865474844,4464
30,1,bench_p26_wt_logging,1024,31529.079687985,4464
30,1,bench_p26_wt_logging,1048576,23598.490747590222,4464
30,1,bench_p26_wt_logging,131072,29077.22466391928,4464
30,1,bench_p26_wt_logging,16384,31664.82871099173,4464
30,1,bench_p26_wt_logging,16777216,14991.754082020612,4464
30,1,bench_p26_wt_logging,2048,27903.14025164171,4400
30,1,bench_p26_wt_logging,2097152,21627.778657065155,4464
30,1,bench_p26_wt_logging,262144,26940.21455785343,4464
30,1,bench_p26_wt_logging,32768,31284.513049190675,4464
30,1,bench_p26_wt_logging,33554432,13903.441509652757,4464
30,1,bench_p26_wt_logging,4096,22470.901064271202,4464
30,1,bench_p26_wt_logging,4194304,19648.36456197592,4464
30,1,bench_p26_wt_logging,524288,24315.033332503674,4464
30,1,bench_p26_wt_logging,65536,30467.804760717077,4464
30,1,bench_p26_wt_logging,8192,32127.79402462442,4464
30,1,bench_p26_wt_logging,8388608,17380.485956343695,4464
30,1,bench_p26_wt_many,1024,51069.93913059778,4496
30,1,bench_p26_wt_many,1048576,3943.810266394883,4496
30,1,bench_p26_wt_many,131072,4261.518021376339,4496
30,1,bench_p26_wt_many,16384,12144.163727029121,4496
30,1,bench_p26_wt_many,16777216,2913.0780179584744,4496
30,1,bench_p26_wt_many,2048,38478.17221059907,4496
30,1,bench_p26_wt_many,2097152,3830.3105840273915,4496
30,1,bench_p26_wt_many,262144,4159.57649059144,4496
30,1,bench_p26_wt_many,32768,4383.2665915444095,4496
30,1,bench_p26_wt_many,33554432,2817.2361310593687,4496
30,1,bench_p26_wt_many,4096,28186.448413012946,4496
30,1,bench_p26_wt_many,4194304,3695.4023290790783,4496
30,1,bench_p26_wt_many,524288,4043.458506241825,4496
30,1,bench_p26_wt_many,65536,4307.92184368359,4496
30,1,bench_p26_wt_many,8192,19504.51140720062,4496
30,1,bench_p26_wt_many,8388608,3292.8491033988294,4496
30,1,bench_p26_wt_random,1024,59576.43286742434,4448
30,1,bench_p26_wt_random,1048576,4635.393265925555,4448
30,1,bench_p26_wt_random,131072,10155.040370624678,4464
30,1,bench_p26_wt_random,16384,15762.017770214072,4464
30,1,bench_p26_wt_random,16777216,3143.5668103316125,4320
30,1,bench_p26_wt_random,2048,48338.494813048404,4448
30,1,bench_p26_wt_random,2097152,3628.781845731048,4304
30,1,bench_p26_wt_random,262144,8420.55715426671,4464
30,1,bench_p26_wt_random,32768,12991.424966705998,4464
30,1,bench_p26_wt_random,33554432,2984.0469111662414,4448
30,1,bench_p26_wt_random,4096,37795.131639005085,4448
30,1,bench_p26_wt_random,4194304,3356.0334470790967,4352
30,1,bench_p26_wt_random,524288,6652.278928266148,4448
30,1,bench_p26_wt_random,65536,11635.92387710489,4464
30,1,bench_p26_wt_random,8192,24250.816323676114,4464
30,1,bench_p26_wt_random,8388608,3231.486947423244,4320
