FS,DISK_GEOMETRY,case,SIZE,bench_throughput,bench_ram
30,0,bench_p26_wt_linear,1024,21676.94434917146,3760
30,0,bench_p26_wt_linear,1048576,73060.412586833,3952
30,0,bench_p26_wt_linear,131072,75865.33931921147,3904
30,0,bench_p26_wt_linear,16384,77992.19681496957,3824
30,0,bench_p26_wt_linear,16777216,70231.40977593396,3952
30,0,bench_p26_wt_linear,2048,41916.31374117247,3760
30,0,bench_p26_wt_linear,2097152,72548.59543405878,3952
30,0,bench_p26_wt_linear,262144,75028.49203874674,3904
30,0,bench_p26_wt_linear,32768,77769.4075565347,3888
30,0,bench_p26_wt_linear,33554432,69535.75551783008,3952
30,0,bench_p26_wt_linear,4096,78617.0601598385,3760
30,0,bench_p26_wt_linear,4194304,72132.54617712449,3952
30,0,bench_p26_wt_linear,524288,73813.86038640817,3952
30,0,bench_p26_wt_linear,65536,77406.67122071219,3904
30,0,bench_p26_wt_linear,8192,78254.46558204062,3760
30,0,bench_p26_wt_linear,8388608,71326.4173935819,3952
30,0,bench_p26_wt_logging,1024,11669.933059156541,3888
30,0,bench_p26_wt_logging,1048576,4665.964618435388,3888
30,0,bench_p26_wt_logging,131072,7327.098778431531,3888
30,0,bench_p26_wt_logging,16384,10379.997977865049,3888
30,0,bench_p26_wt_logging,16777216,4925.047497389226,3888
30,0,bench_p26_wt_logging,2048,11440.423174035765,3952
30,0,bench_p26_wt_logging,2097152,4470.452128794843,3888
30,0,bench_p26_wt_logging,262144,5092.651843804289,3888
30,0,bench_p26_wt_logging,32768,9512.921170445994,3888
30,0,bench_p26_wt_logging,33554432,5068.198743917256,3888
30,0,bench_p26_wt_logging,4096,10997.543029629498,3952
30,0,bench_p26_wt_logging,4194304,4273.625192067885,3888
30,0,bench_p26_wt_logging,524288,4680.135892664737,3888
30,0,bench_p26_wt_logging,65536,8666.907555720614,3888
30,0,bench_p26_wt_logging,8192,10200.70841663082,3952
30,0,bench_p26_wt_logging,8388608,4140.649238973668,3888
30,0,bench_p26_wt_many,1024,20535.80238770968,3984
30,0,bench_p26_wt_many,1048576,18602.932667249625,4096
30,0,bench_p26_wt_many,131072,19032.2458778775,3984
30,0,bench_p26_wt_many,16384,20053.495269107523,3984
30,0,bench_p26_wt_many,16777216,5700.2197582787485,4096
30,0,bench_p26_wt_many,2048,20238.61075871782,3984
30,0,bench_p26_wt_many,2097152,18059.459758663776,4096
30,0,bench_p26_wt_many,262144,19294.48710762184,3984
30,0,bench_p26_wt_many,32768,19181.97430141671,3984
30,0,bench_p26_wt_many,33554432,5282.842289669835,4096
30,0,bench_p26_wt_many,4096,18987.52909689765,3984
30,0,bench_p26_wt_many,4194304,16461.52405399295,4096
30,0,bench_p26_wt_many,524288,19081.40065803592,4032
30,0,bench_p26_wt_many,65536,19312.71100427001,3984
30,0,bench_p26_wt_many,8192,19347.337293912613,3984
30,0,bench_p26_wt_many,8388608,10552.550671216311,4096
30,0,bench_p26_wt_random,1024,3539.5705087010074,3872
30,0,bench_p26_wt_random,1048576,2227.0514940435896,3936
30,0,bench_p26_wt_random,131072,2685.0079164942463,3936
30,0,bench_p26_wt_random,16384,2959.496331476907,3888
30,0,bench_p26_wt_random,16777216,2210.452265445262,3888
30,0,bench_p26_wt_random,2048,3833.0346169754657,3936
30,0,bench_p26_wt_random,2097152,2183.6621175243004,3936
30,0,bench_p26_wt_random,262144,2566.385204971787,3888
30,0,bench_p26_wt_random,32768,2822.6747419805815,3936
30,0,bench_p26_wt_random,33554432,2475.103935133019,3888
30,0,bench_p26_wt_random,4096,3993.1823015971995,3936
30,0,bench_p26_wt_random,4194304,2196.444019573399,3888
30,0,bench_p26_wt_random,524288,2266.227915274173,3936
30,0,bench_p26_wt_random,65536,2771.9754691256044,3936
30,0,bench_p26_wt_random,8192,3388.403515315759,3936
30,0,bench_p26_wt_random,8388608,2207.8181972060443,3888
