FS,DISK_GEOMETRY,case,SIZE,bench_throughput,bench_ram
32,0,bench_p26_wt_linear,1024,21454.716416005675,4048
32,0,bench_p26_wt_linear,1048576,72483.62890439705,4048
32,0,bench_p26_wt_linear,131072,75419.56669076144,4048
32,0,bench_p26_wt_linear,16384,77252.22121221731,4048
32,0,bench_p26_wt_linear,16777216,68614.03826652568,4048
32,0,bench_p26_wt_linear,2048,41500.23398136709,4048
32,0,bench_p26_wt_linear,2097152,71863.24043085608,4096
32,0,bench_p26_wt_linear,262144,74699.46112255332,4048
32,0,bench_p26_wt_linear,32768,77028.18011980911,4048
32,0,bench_p26_wt_linear,33554432,66493.49458218944,4096
32,0,bench_p26_wt_linear,4096,77885.97611196994,4048
32,0,bench_p26_wt_linear,4194304,71739.60316448052,4048
32,0,bench_p26_wt_linear,524288,73324.61971710599,4048
32,0,bench_p26_wt_linear,65536,76633.35803058442,4048
32,0,bench_p26_wt_linear,8192,77542.96635670979,4048
32,0,bench_p26_wt_linear,8388608,70434.58153172673,4048
32,0,bench_p26_wt_logging,1024,8888.639161781575,4048
32,0,bench_p26_wt_logging,1048576,7547.345205492379,4080
32,0,bench_p26_wt_logging,131072,11956.063707933066,4080
32,0,bench_p26_wt_logging,16384,12632.993382258783,4080
32,0,bench_p26_wt_logging,16777216,5234.517285993416,4064
32,0,bench_p26_wt_logging,2048,11488.531603949124,4080
32,0,bench_p26_wt_logging,2097152,7092.605643533068,4080
32,0,bench_p26_wt_logging,262144,10041.790305423066,4080
32,0,bench_p26_wt_logging,32768,12587.335556232387,4080
32,0,bench_p26_wt_logging,33554432,5022.011660094073,4064
32,0,bench_p26_wt_logging,4096,13294.738776309598,4048
32,0,bench_p26_wt_logging,4194304,6575.710415830515,4080
32,0,bench_p26_wt_logging,524288,8210.87893356192,4080
32,0,bench_p26_wt_logging,65536,12503.32159621557,4080
32,0,bench_p26_wt_logging,8192,13218.896792173162,4080
32,0,bench_p26_wt_logging,8388608,5737.308016092156,4080
32,0,bench_p26_wt_many,1024,20534.8820000819,4272
32,0,bench_p26_wt_many,1048576,18770.12586684515,4272
32,0,bench_p26_wt_many,131072,19250.980257771444,4272
32,0,bench_p26_wt_many,16384,18871.647911633012,4272
32,0,bench_p26_wt_many,16777216,3763.081574869104,4320
32,0,bench_p26_wt_many,2048,20318.4618980605,4272
32,0,bench_p26_wt_many,2097152,18131.60710621841,4272
32,0,bench_p26_wt_many,262144,19170.40770449714,4272
32,0,bench_p26_wt_many,32768,19368.512209838755,4272
32,0,bench_p26_wt_many,33554432,3484.757483979707,4320
32,0,bench_p26_wt_many,4096,19039.657480982783,4272
32,0,bench_p26_wt_many,4194304,17227.60920083386,4272
32,0,bench_p26_wt_many,524288,19051.318510651312,4272
32,0,bench_p26_wt_many,65536,19522.24507621635,4272
32,0,bench_p26_wt_many,8192,19408.812758220578,4272
32,0,bench_p26_wt_many,8388608,4821.270335087057,4272
32,0,bench_p26_wt_random,1024,3540.054448615591,4032
32,0,bench_p26_wt_random,1048576,2207.7189750158063,4032
32,0,bench_p26_wt_random,131072,2683.1420426466025,4080
32,0,bench_p26_wt_random,16384,2937.9715895079917,4032
32,0,bench_p26_wt_random,16777216,2098.089020740468,4032
32,0,bench_p26_wt_random,2048,3833.6255322497077,4064
32,0,bench_p26_wt_random,2097152,2166.703418317148,4080
32,0,bench_p26_wt_random,262144,2564.6528270287245,4032
32,0,bench_p26_wt_random,32768,2799.993481785716,4032
32,0,bench_p26_wt_random,33554432,2321.114559582558,4032
32,0,bench_p26_wt_random,4096,3993.2862105711824,4032
32,0,bench_p26_wt_random,4194304,2161.6307088823737,4032
32,0,bench_p26_wt_random,524288,2245.675509109597,4032
32,0,bench_p26_wt_random,65536,2699.0012288873145,4080
32,0,bench_p26_wt_random,8192,3379.5033144092645,4032
32,0,bench_p26_wt_random,8388608,2133.6294499322607,4080
