FS,DISK_GEOMETRY,case,SIZE,bench_throughput,bench_ram
4,1,bench_p26_wt_linear,1024,116598.69773164461,3992
4,1,bench_p26_wt_linear,1048576,113132.2531258389,3992
4,1,bench_p26_wt_linear,131072,116681.98575508062,3992
4,1,bench_p26_wt_linear,16384,141559.9829541691,3992
4,1,bench_p26_wt_linear,16777216,111228.00443855261,3992
4,1,bench_p26_wt_linear,2048,128702.3582665886,3992
4,1,bench_p26_wt_linear,2097152,112337.47407182821,3992
4,1,bench_p26_wt_linear,262144,114597.52629111438,3992
4,1,bench_p26_wt_linear,32768,141574.53235224535,3992
4,1,bench_p26_wt_linear,33554432,110262.54597002629,4168
4,1,bench_p26_wt_linear,4096,135748.71777994288,3992
4,1,bench_p26_wt_linear,4194304,112197.9165023639,3992
4,1,bench_p26_wt_linear,524288,113615.25091486236,3992
4,1,bench_p26_wt_linear,65536,120895.52746530977,3992
4,1,bench_p26_wt_linear,8192,139570.08096908114,3992
4,1,bench_p26_wt_linear,8388608,111707.47179614249,3992
4,1,bench_p26_wt_logging,1024,4107.0120884008065,4040
4,1,bench_p26_wt_logging,1048576,24765.256884765906,4040
4,1,bench_p26_wt_logging,131072,25117.069916368353,4040
4,1,bench_p26_wt_logging,16384,21184.454861577797,4040
4,1,bench_p26_wt_logging,16777216,20121.38015691951,4344
4,1,bench_p26_wt_logging,2048,7204.763871801807,4040
4,1,bench_p26_wt_logging,2097152,24747.992192056587,4040
4,1,bench_p26_wt_logging,262144,24906.34952066056,4040
4,1,bench_p26_wt_logging,32768,24569.385149165893,4040
4,1,bench_p26_wt_logging,33554432,16715.479590867675,4344
4,1,bench_p26_wt_logging,4096,11566.076174568498,4040
4,1,bench_p26_wt_logging,4194304,24762.849476011328,4040
4,1,bench_p26_wt_logging,524288,24812.34486137978,4040
4,1,bench_p26_wt_logging,65536,25537.25559525474,4040
4,1,bench_p26_wt_logging,8192,16586.066490211517,4040
4,1,bench_p26_wt_logging,8388608,23499.121550903466,4344
4,1,bench_p26_wt_many,1024,1739.0599955157545,4248
4,1,bench_p26_wt_many,1048576,193.53451183024626,4248
4,1,bench_p26_wt_many,131072,892.1421518180808,4248
4,1,bench_p26_wt_many,16384,1515.9252527103367,4248
4,1,bench_p26_wt_many,16777216,152.19159709773024,4248
4,1,bench_p26_wt_many,2048,1678.8179674901016,4248
4,1,bench_p26_wt_many,2097152,168.42086920513768,4248
4,1,bench_p26_wt_many,262144,550.1945086716295,4248
4,1,bench_p26_wt_many,32768,1390.6466955245753,4248
4,1,bench_p26_wt_many,33554432,151.26710909527554,4248
4,1,bench_p26_wt_many,4096,1633.0976109071003,4248
4,1,bench_p26_wt_many,4194304,158.9158816419145,4248
4,1,bench_p26_wt_many,524288,273.4473348293017,4248
4,1,bench_p26_wt_many,65536,1182.8073260840104,4248
4,1,bench_p26_wt_many,8192,1584.539798450488,4248
4,1,bench_p26_wt_many,8388608,154.25900994167043,4248
4,1,bench_p26_wt_random,1024,10440.757758123093,4008
4,1,bench_p26_wt_random,1048576,1703.725176512394,4008
4,1,bench_p26_wt_random,131072,5128.847626070037,4008
4,1,bench_p26_wt_random,16384,10438.55516583083,4008
4,1,bench_p26_wt_random,16777216,1360.0497594949964,4008
4,1,bench_p26_wt_random,2048,10442.484443191728,4008
4,1,bench_p26_wt_random,2097152,1602.4001425861543,4008
4,1,bench_p26_wt_random,262144,2472.5725389558706,4008
4,1,bench_p26_wt_random,32768,10421.990999419533,4008
4,1,bench_p26_wt_random,33554432,1184.9915937030482,4312
4,1,bench_p26_wt_random,4096,10441.526993518819,4008
4,1,bench_p26_wt_random,4194304,1536.673203945281,4008
4,1,bench_p26_wt_random,524288,1911.1414881591213,4008
4,1,bench_p26_wt_random,65536,10412.334757992818,4008
4,1,bench_p26_wt_random,8192,10441.97022975794,4008
4,1,bench_p26_wt_random,8388608,1462.8825856068465,4008
