FS,DISK_GEOMETRY,case,SIZE,bench_throughput,bench_ram
4,0,bench_p26_wt_linear,1024,4120.340478368896,2456
4,0,bench_p26_wt_linear,1048576,4053.3411288973307,2456
4,0,bench_p26_wt_linear,131072,4050.6995580103917,2456
4,0,bench_p26_wt_linear,16384,4051.6644959893238,2456
4,0,bench_p26_wt_linear,16777216,4508.553904628977,2456
4,0,bench_p26_wt_linear,2048,4361.015186489091,2456
4,0,bench_p26_wt_linear,2097152,4024.855136268651,2456
4,0,bench_p26_wt_linear,262144,4024.4712650326833,2456
4,0,bench_p26_wt_linear,32768,4054.8139006982155,2456
4,0,bench_p26_wt_linear,33554432,4508.553904628977,2456
4,0,bench_p26_wt_linear,4096,4492.261790603989,2456
4,0,bench_p26_wt_linear,4194304,4089.5445019187086,2456
4,0,bench_p26_wt_linear,524288,4035.09393157144,2456
4,0,bench_p26_wt_linear,65536,4049.9462830583507,2456
4,0,bench_p26_wt_linear,8192,4492.293947634718,2456
4,0,bench_p26_wt_linear,8388608,4228.880141351122,2456
4,0,bench_p26_wt_logging,1024,633.0700258173488,2504
4,0,bench_p26_wt_logging,1048576,1738.0459247196434,2504
4,0,bench_p26_wt_logging,131072,1713.4004645400746,2504
4,0,bench_p26_wt_logging,16384,1572.9301391333388,2504
4,0,bench_p26_wt_logging,16777216,1807.5762424009529,2504
4,0,bench_p26_wt_logging,2048,942.471196859323,2504
4,0,bench_p26_wt_logging,2097152,1751.9407492573835,2504
4,0,bench_p26_wt_logging,262144,1723.6423811815341,2504
4,0,bench_p26_wt_logging,32768,1650.4153765879698,2504
4,0,bench_p26_wt_logging,33554432,1807.5762424009529,2504
4,0,bench_p26_wt_logging,4096,1247.3754765920091,2504
4,0,bench_p26_wt_logging,4194304,1806.9411888713307,2504
4,0,bench_p26_wt_logging,524288,1736.3897752283194,2504
4,0,bench_p26_wt_logging,65536,1692.0709069989596,2504
4,0,bench_p26_wt_logging,8192,1480.9596044521447,2504
4,0,bench_p26_wt_logging,8388608,1807.5762424009529,2504
4,0,bench_p26_wt_many,1024,299.84996096092203,2680
4,0,bench_p26_wt_many,1048576,67.4283232684304,2680
4,0,bench_p26_wt_many,131072,158.50663823533097,2680
4,0,bench_p26_wt_many,16384,277.48442117278285,2680
4,0,bench_p26_wt_many,16777216,61.72142742686894,2680
4,0,bench_p26_wt_many,2048,292.4815217760148,2680
4,0,bench_p26_wt_many,2097152,64.25493743163292,2680
4,0,bench_p26_wt_many,262144,93.61599795292112,2680
4,0,bench_p26_wt_many,32768,259.20550969188645,2680
4,0,bench_p26_wt_many,33554432,61.57479367269056,2680
4,0,bench_p26_wt_many,4096,286.0465729291863,2680
4,0,bench_p26_wt_many,4194304,62.80073423479608,2680
4,0,bench_p26_wt_many,524288,73.80290561079225,2680
4,0,bench_p26_wt_many,65536,223.7324408716021,2680
4,0,bench_p26_wt_many,8192,282.26528868602475,2680
4,0,bench_p26_wt_many,8388608,61.99149071083632,2680
4,0,bench_p26_wt_random,1024,998.0283219315018,2472
4,0,bench_p26_wt_random,1048576,262.08486420239836,2472
4,0,bench_p26_wt_random,131072,326.3882275822622,2472
4,0,bench_p26_wt_random,16384,991.7603026561015,2472
4,0,bench_p26_wt_random,16777216,1.1095965961595302,2472
4,0,bench_p26_wt_random,2048,998.8355089355068,2472
4,0,bench_p26_wt_random,2097152,242.16169109867366,2472
4,0,bench_p26_wt_random,262144,295.08922032239343,2472
4,0,bench_p26_wt_random,32768,580.1637323327469,2472
4,0,bench_p26_wt_random,33554432,0.18877532642262684,2472
4,0,bench_p26_wt_random,4096,997.4868228403533,2472
4,0,bench_p26_wt_random,4194304,203.2207759073477,2472
4,0,bench_p26_wt_random,524288,277.3305097291056,2472
4,0,bench_p26_wt_random,65536,390.7827416450839,2472
4,0,bench_p26_wt_random,8192,995.391248223677,2472
4,0,bench_p26_wt_random,8388608,130.85539967674205,2472
