FS,DISK_GEOMETRY,case,SIZE,bench_throughput,bench_ram
5,1,bench_p26_wt_linear,1024,903459.892048155,87492
5,1,bench_p26_wt_linear,1048576,1803327.439537955,92132
5,1,bench_p26_wt_linear,131072,1792423.7305101445,87492
5,1,bench_p26_wt_linear,16384,1697546.1246383812,87492
5,1,bench_p26_wt_linear,16777216,1804983.8488744567,239700
5,1,bench_p26_wt_linear,2048,1216890.0265376887,87492
5,1,bench_p26_wt_linear,2097152,1804234.5174533213,104964
5,1,bench_p26_wt_linear,262144,1799608.781558714,87492
5,1,bench_p26_wt_linear,32768,1750494.4884992752,87492
5,1,bench_p26_wt_linear,33554432,1805074.6194250316,393684
5,1,bench_p26_wt_linear,4096,1472271.3339864803,87492
5,1,bench_p26_wt_linear,4194304,1804695.8850833697,124212
5,1,bench_p26_wt_linear,524288,1801518.252918361,87492
5,1,bench_p26_wt_linear,65536,1778225.2420835884,87492
5,1,bench_p26_wt_linear,8192,1644871.6764559625,87492
5,1,bench_p26_wt_linear,8388608,1804923.333208327,162708
5,1,bench_p26_wt_logging,1024,85187.3742849554,87732
5,1,bench_p26_wt_logging,1048576,104817.26419821511,105204
5,1,bench_p26_wt_logging,131072,104666.89493455972,87732
5,1,bench_p26_wt_logging,16384,103390.85957541622,87732
5,1,bench_p26_wt_logging,16777216,81162.67899608398,393748
5,1,bench_p26_wt_logging,2048,94652.28033356689,87732
5,1,bench_p26_wt_logging,2097152,104830.12866676191,124452
5,1,bench_p26_wt_logging,262144,104755.97806550501,87556
5,1,bench_p26_wt_logging,32768,104090.20135042103,87732
5,1,bench_p26_wt_logging,33554432,59091.14606157333,701716
5,1,bench_p26_wt_logging,4096,99550.6352969088,87556
5,1,bench_p26_wt_logging,4194304,100738.29583877178,162772
5,1,bench_p26_wt_logging,524288,104794.82079443066,92196
5,1,bench_p26_wt_logging,65536,104489.1642237358,87556
5,1,bench_p26_wt_logging,8192,102194.90693888697,87732
5,1,bench_p26_wt_logging,8388608,94411.41666322711,239764
5,1,bench_p26_wt_many,1024,71672.83534149268,87748
5,1,bench_p26_wt_many,1048576,70708.71997896166,4003188
5,1,bench_p26_wt_many,131072,71661.85505808314,566612
5,1,bench_p26_wt_many,16384,71671.52874652809,134036
5,1,bench_p26_wt_many,16777216,3151.8205365976605,28059332
5,1,bench_p26_wt_many,2048,71672.74902174303,87748
5,1,bench_p26_wt_many,2097152,63837.84107173246,7944436
5,1,bench_p26_wt_many,262144,71650.7933995796,1047252
5,1,bench_p26_wt_many,32768,71670.17588237567,206132
5,1,bench_p26_wt_many,33554432,3272.453825784961,28059332
5,1,bench_p26_wt_many,4096,71672.5745670619,87748
5,1,bench_p26_wt_many,4194304,42346.90592530452,15826932
5,1,bench_p26_wt_many,524288,71612.41552441136,2032564
5,1,bench_p26_wt_many,65536,71667.3921138571,326292
5,1,bench_p26_wt_many,8192,71672.2256576511,110004
5,1,bench_p26_wt_many,8388608,5036.481981574928,27980820
5,1,bench_p26_wt_random,1024,1053544.357159827,87476
5,1,bench_p26_wt_random,1048576,183882.69195911448,92116
5,1,bench_p26_wt_random,131072,185051.78979715228,87476
5,1,bench_p26_wt_random,16384,194806.06047652292,87476
5,1,bench_p26_wt_random,16777216,183326.0661732168,239684
5,1,bench_p26_wt_random,2048,326192.58192712936,87476
5,1,bench_p26_wt_random,2097152,183815.26481233933,104948
5,1,bench_p26_wt_random,262144,184390.39786870166,87476
5,1,bench_p26_wt_random,32768,189132.60201644315,87476
5,1,bench_p26_wt_random,33554432,174157.2866436999,393668
5,1,bench_p26_wt_random,4096,237088.21899545132,87476
5,1,bench_p26_wt_random,4194304,183789.30215290838,124196
5,1,bench_p26_wt_random,524288,184037.98529598027,87476
5,1,bench_p26_wt_random,65536,186379.26242602823,87476
5,1,bench_p26_wt_random,8192,207821.5059514652,87476
5,1,bench_p26_wt_random,8388608,183777.5518290449,162692
