FS,DISK_GEOMETRY,case,SIZE,bench_throughput,bench_ram
5,0,bench_p26_wt_linear,1024,34785.88341132069,596532
5,0,bench_p26_wt_linear,1048576,67407.30662395565,596532
5,0,bench_p26_wt_linear,131072,67004.40792635328,596532
5,0,bench_p26_wt_linear,16384,63647.71617574472,596532
5,0,bench_p26_wt_linear,16777216,67981.12852618708,596532
5,0,bench_p26_wt_linear,2048,46392.10270186519,596532
5,0,bench_p26_wt_linear,2097152,67519.39058402333,596532
5,0,bench_p26_wt_linear,262144,67266.45210409234,596532
5,0,bench_p26_wt_linear,32768,65523.658172170515,596532
5,0,bench_p26_wt_linear,33554432,67983.06899520662,648772
5,0,bench_p26_wt_linear,4096,55680.71359040169,596532
5,0,bench_p26_wt_linear,4194304,67585.83657073199,596532
5,0,bench_p26_wt_linear,524288,67328.39915740969,596532
5,0,bench_p26_wt_linear,65536,66501.49178059128,596532
5,0,bench_p26_wt_linear,8192,61875.12963620904,596532
5,0,bench_p26_wt_linear,8388608,67623.5770630694,596532
5,0,bench_p26_wt_logging,1024,3391.120236558643,596772
5,0,bench_p26_wt_logging,1048576,4148.490618296252,596772
5,0,bench_p26_wt_logging,131072,4139.216493202753,596772
5,0,bench_p26_wt_logging,16384,4090.0000755419364,596772
5,0,bench_p26_wt_logging,16777216,4003.0162366723243,596596
5,0,bench_p26_wt_logging,2048,3758.0169747625177,596772
5,0,bench_p26_wt_logging,2097152,4152.540460527692,596772
5,0,bench_p26_wt_logging,262144,4143.539864104723,596772
5,0,bench_p26_wt_logging,32768,4116.543623776208,596772
5,0,bench_p26_wt_logging,33554432,4003.0162366723243,596596
5,0,bench_p26_wt_logging,4096,3944.7177019896153,596772
5,0,bench_p26_wt_logging,4194304,4044.6571829424347,596596
5,0,bench_p26_wt_logging,524288,4145.864527474275,596772
5,0,bench_p26_wt_logging,65536,4132.211764194786,596772
5,0,bench_p26_wt_logging,8192,4045.272418640298,596772
5,0,bench_p26_wt_logging,8388608,4003.0509368990415,596596
5,0,bench_p26_wt_many,1024,2895.4246918890817,596788
5,0,bench_p26_wt_many,1048576,2831.5185196569487,4258276
5,0,bench_p26_wt_many,131072,2888.14685915159,821700
5,0,bench_p26_wt_many,16384,2894.5736693881518,596788
5,0,bench_p26_wt_many,2048,2895.366246316381,596788
5,0,bench_p26_wt_many,2097152,2737.1011166766693,8127428
5,0,bench_p26_wt_many,262144,2880.8156972398774,1302340
5,0,bench_p26_wt_many,32768,2893.649062379781,596788
5,0,bench_p26_wt_many,4096,2895.2697547351363,596788
5,0,bench_p26_wt_many,4194304,2370.24329253628,14063332
5,0,bench_p26_wt_many,524288,2866.01406602008,2287652
5,0,bench_p26_wt_many,65536,2891.8149908642185,596788
5,0,bench_p26_wt_many,8192,2895.020833675405,596788
5,0,bench_p26_wt_random,1024,44137.47160198175,596516
5,0,bench_p26_wt_random,1048576,7711.703888056041,596516
5,0,bench_p26_wt_random,131072,7756.073174326266,596516
5,0,bench_p26_wt_random,16384,8164.9180430331035,596516
5,0,bench_p26_wt_random,16777216,7783.6607600025445,596516
5,0,bench_p26_wt_random,2048,13689.422387980101,596516
5,0,bench_p26_wt_random,2097152,7712.125031756755,596516
5,0,bench_p26_wt_random,262144,7727.050799392345,596516
5,0,bench_p26_wt_random,32768,7926.434543262761,596516
5,0,bench_p26_wt_random,33554432,7657.517224958652,648756
5,0,bench_p26_wt_random,4096,9933.995835782098,596516
5,0,bench_p26_wt_random,4194304,7727.897648110361,596516
5,0,bench_p26_wt_random,524288,7716.972206741202,596516
5,0,bench_p26_wt_random,65536,7812.828632273182,596516
5,0,bench_p26_wt_random,8192,8709.680031923193,596516
5,0,bench_p26_wt_random,8388608,7757.8715963979475,596516
