probe,BLOCK_SIZE,n,bench_simtime_avg,bench_simtime_min,bench_simtime_max
commit,1048576,1,5.0704e-05,5.0704e-05,5.0704e-05
commit,1048576,10,8.3402e-05,8.3402e-05,8.3402e-05
commit,1048576,100,0.000112234,0.000112234,0.000112234
commit,1048576,1000,0.000157148,0.000157148,0.000157148
commit,1048576,1001,0.000172004,0.000172004,0.000172004
commit,1048576,1002,0.000172444,0.000172444,0.000172444
commit,1048576,1003,0.000153282,0.000153282,0.000153282
commit,1048576,1004,0.000144052,0.000144052,0.000144052
commit,1048576,1005,0.000169102,0.000169102,0.000169102
commit,1048576,1006,0.00016005,0.00016005,0.00016005
commit,1048576,1007,0.000152842,0.000152842,0.000152842
commit,1048576,1008,0.000143874,0.000143874,0.000143874
commit,1048576,1009,0.000154424,0.000154424,0.000154424
commit,1048576,101,0.000109154,0.000109154,0.000109154
commit,1048576,1010,0.000145634,0.000145634,0.000145634
commit,1048576,1011,0.000164178,0.000164178,0.000164178
commit,1048576,1012,0.000157766,0.000157766,0.000157766
commit,1048576,1013,0.00015258,0.00015258,0.00015258
commit,1048576,1014,0.000162952,0.000162952,0.000162952
commit,1048576,1015,0.000152926,0.000152926,0.000152926
commit,1048576,1016,0.000157326,0.000157326,0.000157326
commit,1048576,1017,0.000152842,0.000152842,0.000152842
commit,1048576,1018,0.000149238,0.000149238,0.000149238
commit,1048576,1019,0.000171742,0.000171742,0.000171742
commit,1048576,102,0.000119264,0.000119264,0.000119264
commit,1048576,1020,0.000154864,0.000154864,0.000154864
commit,1048576,1021,0.000162072,0.000162072,0.000162072
commit,1048576,1022,0.000138164,0.000138164,0.000138164
commit,1048576,1023,0.000152224,0.000152224,0.000152224
commit,1048576,1024,0.000163654,0.000163654,0.000163654
commit,1048576,1025,0.000157588,0.000157588,0.000157588
commit,1048576,1026,0.000163392,0.000163392,0.000163392
commit,1048576,1027,0.000156886,0.000156886,0.000156886
commit,1048576,1028,0.000153722,0.000153722,0.000153722
commit,1048576,1029,0.000154864,0.000154864,0.000154864
commit,1048576,103,0.000102564,0.000102564,0.000102564
commit,1048576,1030,0.000149238,0.000149238,0.000149238
commit,1048576,1031,0.000146776,0.000146776,0.000146776
commit,1048576,1032,0.000158908,0.000158908,0.000158908
commit,1048576,1033,0.000174466,0.000174466,0.000174466
commit,1048576,1034,0.000154864,0.000154864,0.000154864
commit,1048576,1035,0.000145194,0.000145194,0.000145194
commit,1048576,1036,0.000165498,0.000165498,0.000165498
commit,1048576,1037,0.000164796,0.000164796,0.000164796
commit,1048576,1038,0.000174728,0.000174728,0.000174728
commit,1048576,1039,0.000157148,0.000157148,0.000157148
commit,1048576,104,0.000127614,0.000127614,0.000127614
commit,1048576,1040,0.000155566,0.000155566,0.000155566
commit,1048576,1041,0.000154162,0.000154162,0.000154162
commit,1048576,1042,0.00015917,0.00015917,0.00015917
commit,1048576,1043,0.000159872,0.000159872,0.000159872
commit,1048576,1044,0.000173586,0.000173586,0.000173586
commit,1048576,1045,0.000163392,0.000163392,0.000163392
commit,1048576,1046,0.00013807,0.00013807,0.00013807
commit,1048576,1047,0.00016049,0.00016049,0.00016049
commit,1048576,1048,0.000169364,0.000169364,0.000169364
commit,1048576,1049,0.000155566,0.000155566,0.000155566
commit,1048576,105,0.000130694,0.000130694,0.000130694
commit,1048576,1050,0.00017587,0.00017587,0.00017587
commit,1048576,1051,0.000165676,0.000165676,0.000165676
commit,1048576,1052,0.000163214,0.000163214,0.000163214
commit,1048576,1053,0.000154864,0.000154864,0.000154864
commit,1048576,1054,0.000162512,0.000162512,0.000162512
commit,1048576,1055,0.000156268,0.000156268,0.000156268
commit,1048576,1056,0.000153544,0.000153544,0.000153544
commit,1048576,1057,0.000135262,0.000135262,0.000135262
commit,1048576,1058,0.00015873,0.00015873,0.00015873
commit,1048576,1059,0.000164534,0.000164534,0.000164534
commit,1048576,106,0.000111794,0.000111794,0.000111794
commit,1048576,1060,0.000172706,0.000172706,0.000172706
commit,1048576,1061,0.000137022,0.000137022,0.000137022
commit,1048576,1062,0.000163916,0.000163916,0.000163916
commit,1048576,1063,0.000148976,0.000148976,0.000148976
commit,1048576,1064,0.000166818,0.000166818,0.000166818
commit,1048576,1065,0.00014335,0.00014335,0.00014335
commit,1048576,1066,0.00015917,0.00015917,0.00015917
commit,1048576,1067,0.000165938,0.000165938,0.000165938
commit,1048576,1068,0.00017279,0.00017279,0.00017279
commit,1048576,1069,0.000156446,0.000156446,0.000156446
commit,1048576,107,0.000120144,0.000120144,0.000120144
commit,1048576,1070,0.000144754,0.000144754,0.000144754
commit,1048576,1071,0.000152224,0.000152224,0.000152224
commit,1048576,1072,0.000166116,0.000166116,0.000166116
commit,1048576,1073,0.000154864,0.000154864,0.000154864
commit,1048576,1074,0.000154162,0.000154162,0.000154162
commit,1048576,1075,0.000155304,0.000155304,0.000155304
commit,1048576,1076,0.000171826,0.000171826,0.000171826
commit,1048576,1077,0.000169888,0.000169888,0.000169888
commit,1048576,1078,0.000170862,0.000170862,0.000170862
commit,1048576,1079,0.000146776,0.000146776,0.000146776
commit,1048576,108,0.000111794,0.000111794,0.000111794
commit,1048576,1080,0.000163654,0.000163654,0.000163654
commit,1048576,1081,0.000181496,0.000181496,0.000181496
commit,1048576,1082,0.000170768,0.000170768,0.000170768
commit,1048576,1083,0.000146954,0.000146954,0.000146954
commit,1048576,1084,0.000155304,0.000155304,0.000155304
commit,1048576,1085,0.000156886,0.000156886,0.000156886
commit,1048576,1086,0.000166818,0.000166818,0.000166818
commit,1048576,1087,0.000154162,0.000154162,0.000154162
commit,1048576,1088,0.000154686,0.000154686,0.000154686
commit,1048576,1089,0.000161632,0.000161632,0.000161632
commit,1048576,109,0.000127174,0.000127174,0.000127174
commit,1048576,1090,0.00016005,0.00016005,0.00016005
commit,1048576,1091,0.000141056,0.000141056,0.000141056
commit,1048576,1092,0.000155304,0.000155304,0.000155304
commit,1048576,1093,0.000156184,0.000156184,0.000156184
commit,1048576,1094,0.000148096,0.000148096,0.000148096
commit,1048576,1095,0.000173586,0.000173586,0.000173586
commit,1048576,1096,0.000166378,0.000166378,0.000166378
commit,1048576,1097,0.000163476,0.000163476,0.000163476
commit,1048576,1098,0.000173146,0.000173146,0.000173146
commit,1048576,1099,0.000175608,0.000175608,0.000175608
commit,1048576,11,8.3402e-05,8.3402e-05,8.3402e-05
commit,1048576,110,0.000120584,0.000120584,0.000120584
commit,1048576,1100,0.000176226,0.000176226,0.000176226
commit,1048576,1101,0.000136142,0.000136142,0.000136142
commit,1048576,1102,0.000152842,0.000152842,0.000152842
commit,1048576,1103,0.000144492,0.000144492,0.000144492
commit,1048576,1104,0.000183518,0.000183518,0.000183518
commit,1048576,1105,0.000164796,0.000164796,0.000164796
commit,1048576,1106,0.000163832,0.000163832,0.000163832
commit,1048576,1107,0.000163654,0.000163654,0.000163654
commit,1048576,1108,0.000168924,0.000168924,0.000168924
commit,1048576,1109,0.000156708,0.000156708,0.000156708
commit,1048576,111,0.000119704,0.000119704,0.000119704
commit,1048576,1110,0.00016752,0.00016752,0.00016752
commit,1048576,1111,0.000153544,0.000153544,0.000153544
commit,1048576,1112,0.000146336,0.000146336,0.000146336
commit,1048576,1113,0.000164796,0.000164796,0.000164796
commit,1048576,1114,0.000165938,0.000165938,0.000165938
commit,1048576,1115,0.00017587,0.00017587,0.00017587
commit,1048576,1116,0.000155126,0.000155126,0.000155126
commit,1048576,1117,0.000172528,0.000172528,0.000172528
commit,1048576,1118,0.000158028,0.000158028,0.000158028
commit,1048576,1119,0.000169982,0.000169982,0.000169982
commit,1048576,112,0.000129814,0.000129814,0.000129814
commit,1048576,1120,0.000165498,0.000165498,0.000165498
commit,1048576,1121,0.0001662,0.0001662,0.0001662
commit,1048576,1122,0.000157588,0.000157588,0.000157588
commit,1048576,1123,0.000183958,0.000183958,0.000183958
commit,1048576,1124,0.000156184,0.000156184,0.000156184
commit,1048576,1125,0.00015829,0.00015829,0.00015829
commit,1048576,1126,0.000173848,0.000173848,0.000173848
commit,1048576,1127,0.000158468,0.000158468,0.000158468
commit,1048576,1128,0.000148096,0.000148096,0.000148096
commit,1048576,1129,0.000155304,0.000155304,0.000155304
commit,1048576,113,0.000117064,0.000117064,0.000117064
commit,1048576,1130,0.00016708,0.00016708,0.00016708
commit,1048576,1131,0.000165236,0.000165236,0.000165236
commit,1048576,1132,0.00015917,0.00015917,0.00015917
commit,1048576,1133,0.000172182,0.000172182,0.000172182
commit,1048576,1134,0.000150558,0.000150558,0.000150558
commit,1048576,1135,0.000158028,0.000158028,0.000158028
commit,1048576,1136,0.000153282,0.000153282,0.000153282
commit,1048576,1137,0.000163654,0.000163654,0.000163654
commit,1048576,1138,0.000163476,0.000163476,0.000163476
commit,1048576,1139,0.000156184,0.000156184,0.000156184
commit,1048576,114,0.000119704,0.000119704,0.000119704
commit,1048576,1140,0.000155126,0.000155126,0.000155126
commit,1048576,1141,0.000152926,0.000152926,0.000152926
commit,1048576,1142,0.000158908,0.000158908,0.000158908
commit,1048576,1143,0.000154686,0.000154686,0.000154686
commit,1048576,1144,0.000156708,0.000156708,0.000156708
commit,1048576,1145,0.000149416,0.000149416,0.000149416
commit,1048576,1146,0.000154424,0.000154424,0.000154424
commit,1048576,1147,0.000156006,0.000156006,0.000156006
commit,1048576,1148,0.000163476,0.000163476,0.000163476
commit,1048576,1149,0.000155304,0.000155304,0.000155304
commit,1048576,115,0.000121024,0.000121024,0.000121024
commit,1048576,1150,0.000178772,0.000178772,0.000178772
commit,1048576,1151,0.000174728,0.000174728,0.000174728
commit,1048576,1152,0.000168568,0.000168568,0.000168568
commit,1048576,1153,0.000165498,0.000165498,0.000165498
commit,1048576,1154,0.000156886,0.000156886,0.000156886
commit,1048576,1155,0.000168662,0.000168662,0.000168662
commit,1048576,1156,0.000156708,0.000156708,0.000156708
commit,1048576,1157,0.000163036,0.000163036,0.000163036
commit,1048576,1158,0.000156708,0.000156708,0.000156708
commit,1048576,1159,0.000154864,0.000154864,0.000154864
commit,1048576,116,0.000127614,0.000127614,0.000127614
commit,1048576,1160,0.000162334,0.000162334,0.000162334
commit,1048576,1161,0.0001662,0.0001662,0.0001662
commit,1048576,1162,0.000152664,0.000152664,0.000152664
commit,1048576,1163,0.000178332,0.000178332,0.000178332
commit,1048576,1164,0.000173146,0.000173146,0.000173146
commit,1048576,1165,0.000163654,0.000163654,0.000163654
commit,1048576,1166,0.000175168,0.000175168,0.000175168
commit,1048576,1167,0.000157588,0.000157588,0.000157588
commit,1048576,1168,0.0001684,0.0001684,0.0001684
commit,1048576,1169,0.000154686,0.000154686,0.000154686
commit,1048576,117,0.000112234,0.000112234,0.000112234
commit,1048576,1170,0.000175608,0.000175608,0.000175608
commit,1048576,1171,0.000164618,0.000164618,0.000164618
commit,1048576,1172,0.000159694,0.000159694,0.000159694
commit,1048576,1173,0.000152664,0.000152664,0.000152664
commit,1048576,1174,0.000149678,0.000149678,0.000149678
commit,1048576,1175,0.000166556,0.000166556,0.000166556
commit,1048576,1176,0.000171302,0.000171302,0.000171302
commit,1048576,1177,0.000153806,0.000153806,0.000153806
commit,1048576,1178,0.000148096,0.000148096,0.000148096
commit,1048576,1179,0.000156886,0.000156886,0.000156886
commit,1048576,118,0.000109154,0.000109154,0.000109154
commit,1048576,1180,0.00015829,0.00015829,0.00015829
commit,1048576,1181,0.000155388,0.000155388,0.000155388
commit,1048576,1182,0.000157326,0.000157326,0.000157326
commit,1048576,1183,0.000172528,0.000172528,0.000172528
commit,1048576,1184,0.000156446,0.000156446,0.000156446
commit,1048576,1185,0.0001684,0.0001684,0.0001684
commit,1048576,1186,0.000141328,0.000141328,0.000141328
commit,1048576,1187,0.000145812,0.000145812,0.000145812
commit,1048576,1188,0.000159788,0.000159788,0.000159788
commit,1048576,1189,0.00015873,0.00015873,0.00015873
commit,1048576,119,0.000119704,0.000119704,0.000119704
commit,1048576,1190,0.000155126,0.000155126,0.000155126
commit,1048576,1191,0.000146336,0.000146336,0.000146336
commit,1048576,1192,0.000163738,0.000163738,0.000163738
commit,1048576,1193,0.000152842,0.000152842,0.000152842
commit,1048576,1194,0.000162774,0.000162774,0.000162774
commit,1048576,1195,0.000162774,0.000162774,0.000162774
commit,1048576,1196,0.000162512,0.000162512,0.000162512
commit,1048576,1197,0.000173586,0.000173586,0.000173586
commit,1048576,1198,0.000164974,0.000164974,0.000164974
commit,1048576,1199,0.000172444,0.000172444,0.000172444
commit,1048576,12,8.006e-05,8.006e-05,8.006e-05
commit,1048576,120,0.000130254,0.000130254,0.000130254
commit,1048576,1200,0.000164974,0.000164974,0.000164974
commit,1048576,1201,0.000175168,0.000175168,0.000175168
commit,1048576,1202,0.00016796,0.00016796,0.00016796
commit,1048576,1203,0.000165236,0.000165236,0.000165236
commit,1048576,1204,0.00017323,0.00017323,0.00017323
