probe,BLOCK_SIZE,n,SEED,bench_simtime
commit,1048576,1,0,5.0704e-05
commit,1048576,10,0,8.3402e-05
commit,1048576,100,0,0.000112234
commit,1048576,1000,0,0.000157148
commit,1048576,1001,0,0.000172004
commit,1048576,1002,0,0.000172444
commit,1048576,1003,0,0.000153282
commit,1048576,1004,0,0.000144052
commit,1048576,1005,0,0.000169102
commit,1048576,1006,0,0.00016005
commit,1048576,1007,0,0.000152842
commit,1048576,1008,0,0.000143874
commit,1048576,1009,0,0.000154424
commit,1048576,101,0,0.000109154
commit,1048576,1010,0,0.000145634
commit,1048576,1011,0,0.000164178
commit,1048576,1012,0,0.000157766
commit,1048576,1013,0,0.00015258
commit,1048576,1014,0,0.000162952
commit,1048576,1015,0,0.000152926
commit,1048576,1016,0,0.000157326
commit,1048576,1017,0,0.000152842
commit,1048576,1018,0,0.000149238
commit,1048576,1019,0,0.000171742
commit,1048576,102,0,0.000119264
commit,1048576,1020,0,0.000154864
commit,1048576,1021,0,0.000162072
commit,1048576,1022,0,0.000138164
commit,1048576,1023,0,0.000152224
commit,1048576,1024,0,0.000163654
commit,1048576,1025,0,0.000157588
commit,1048576,1026,0,0.000163392
commit,1048576,1027,0,0.000156886
commit,1048576,1028,0,0.000153722
commit,1048576,1029,0,0.000154864
commit,1048576,103,0,0.000102564
commit,1048576,1030,0,0.000149238
commit,1048576,1031,0,0.000146776
commit,1048576,1032,0,0.000158908
commit,1048576,1033,0,0.000174466
commit,1048576,1034,0,0.000154864
commit,1048576,1035,0,0.000145194
commit,1048576,1036,0,0.000165498
commit,1048576,1037,0,0.000164796
commit,1048576,1038,0,0.000174728
commit,1048576,1039,0,0.000157148
commit,1048576,104,0,0.000127614
commit,1048576,1040,0,0.000155566
commit,1048576,1041,0,0.000154162
commit,1048576,1042,0,0.00015917
commit,1048576,1043,0,0.000159872
commit,1048576,1044,0,0.000173586
commit,1048576,1045,0,0.000163392
commit,1048576,1046,0,0.00013807
commit,1048576,1047,0,0.00016049
commit,1048576,1048,0,0.000169364
commit,1048576,1049,0,0.000155566
commit,1048576,105,0,0.000130694
commit,1048576,1050,0,0.00017587
commit,1048576,1051,0,0.000165676
