probe,ORDER,n,bench_simtime_avg,bench_simtime_min,bench_simtime_max
create,0,1,5.0704e-05,5.0704e-05,5.0704e-05
create,0,10,7.7598e-05,7.7598e-05,7.7598e-05
create,0,100,0.000128222,0.000128222,0.000128222
create,0,1000,0.000188338,0.000188338,0.000188338
create,0,1001,0.000186756,0.000186756,0.000186756
create,0,1002,0.000186756,0.000186756,0.000186756
create,0,1003,0.000177264,0.000177264,0.000177264
create,0,1004,0.000188338,0.000188338,0.000188338
create,0,1005,0.000186756,0.000186756,0.000186756
create,0,1006,0.000186756,0.000186756,0.000186756
create,0,1007,0.000186756,0.000186756,0.000186756
create,0,1008,0.000196248,0.000196248,0.000196248
create,0,1009,0.000194666,0.000194666,0.000194666
create,0,101,0.00011873,0.00011873,0.00011873
create,0,1010,0.000194666,0.000194666,0.000194666
create,0,1011,0.000185174,0.000185174,0.000185174
create,0,1012,0.000186756,0.000186756,0.000186756
create,0,1013,0.000186756,0.000186756,0.000186756
create,0,1014,0.000186756,0.000186756,0.000186756
create,0,1015,0.000186756,0.000186756,0.000186756
create,0,1016,0.000196248,0.000196248,0.000196248
create,0,1017,0.000194666,0.000194666,0.000194666
create,0,1018,0.000194666,0.000194666,0.000194666
create,0,1019,0.000185174,0.000185174,0.000185174
create,0,102,0.000120312,0.000120312,0.000120312
create,0,1020,0.000196248,0.000196248,0.000196248
create,0,1021,0.000194666,0.000194666,0.000194666
create,0,1022,0.000194666,0.000194666,0.000194666
create,0,1023,0.000194666,0.000194666,0.000194666
create,0,1024,0.00020574,0.00020574,0.00020574
create,0,1025,0.00020574,0.00020574,0.00020574
create,0,1026,0.00020574,0.00020574,0.00020574
create,0,1027,0.000196248,0.000196248,0.000196248
create,0,1028,0.000194666,0.000194666,0.000194666
create,0,1029,0.000185174,0.000185174,0.000185174
create,0,103,0.000120312,0.000120312,0.000120312
create,0,1030,0.000177264,0.000177264,0.000177264
create,0,1031,0.000170936,0.000170936,0.000170936
create,0,1032,0.000169354,0.000169354,0.000169354
create,0,1033,0.000155116,0.000155116,0.000155116
create,0,1034,0.000156698,0.000156698,0.000156698
create,0,1035,0.000147206,0.000147206,0.000147206
create,0,1036,0.00015828,0.00015828,0.00015828
create,0,1037,0.000156698,0.000156698,0.000156698
create,0,1038,0.000156698,0.000156698,0.000156698
create,0,1039,0.000156698,0.000156698,0.000156698
create,0,104,0.000129804,0.000129804,0.000129804
create,0,1040,0.00016619,0.00016619,0.00016619
create,0,1041,0.000164608,0.000164608,0.000164608
create,0,1042,0.000164608,0.000164608,0.000164608
create,0,1043,0.000155116,0.000155116,0.000155116
create,0,1044,0.000156698,0.000156698,0.000156698
create,0,1045,0.000156698,0.000156698,0.000156698
create,0,1046,0.000156698,0.000156698,0.000156698
create,0,1047,0.000156698,0.000156698,0.000156698
create,0,1048,0.00016619,0.00016619,0.00016619
create,0,1049,0.000164608,0.000164608,0.000164608
create,0,105,0.000128222,0.000128222,0.000128222
create,0,1050,0.000164608,0.000164608,0.000164608
create,0,1051,0.000155116,0.000155116,0.000155116
create,0,1052,0.00016619,0.00016619,0.00016619
create,0,1053,0.000164608,0.000164608,0.000164608
create,0,1054,0.000164608,0.000164608,0.000164608
create,0,1055,0.000164608,0.000164608,0.000164608
