FS,case,BLOCK_SIZE,bench_throughput
2,bench_p26_wt_linear,1048576,55245.51651217758
2,bench_p26_wt_linear,131072,75216.49180608978
2,bench_p26_wt_linear,16384,78769.9589068919
2,bench_p26_wt_linear,262144,71528.1711560176
2,bench_p26_wt_linear,32768,78241.45248259789
2,bench_p26_wt_linear,4096,79157.81610584454
2,bench_p26_wt_linear,524288,65119.707371021315
2,bench_p26_wt_linear,65536,77203.79905634264
2,bench_p26_wt_linear,8192,79035.99457532061
2,bench_p26_wt_logging,1048576,5.618335294331935
2,bench_p26_wt_logging,131072,41.682976844771574
2,bench_p26_wt_logging,16384,328.71297571422076
2,bench_p26_wt_logging,262144,21.79898406982665
2,bench_p26_wt_logging,32768,164.94888885242258
2,bench_p26_wt_logging,4096,1291.0119351816375
2,bench_p26_wt_logging,524288,11.11798400659861
2,bench_p26_wt_logging,65536,82.9243635078971
2,bench_p26_wt_logging,8192,653.4239426126509
2,bench_p26_wt_random,1048576,3.324178273343146
2,bench_p26_wt_random,131072,4.655483252488756
2,bench_p26_wt_random,16384,5.040193359725494
2,bench_p26_wt_random,262144,4.389702301156852
2,bench_p26_wt_random,32768,4.9390252367584235
2,bench_p26_wt_random,4096,5.066713944507409
2,bench_p26_wt_random,524288,3.9474745008605368
2,bench_p26_wt_random,65536,4.836055362181285
2,bench_p26_wt_random,8192,5.067786201119226
