FS,case,BLOCK_SIZE,bench_throughput
30,bench_p26_wt_linear,1048576,69412.1665600496
30,bench_p26_wt_linear,131072,69973.53372159373
30,bench_p26_wt_linear,16384,71058.31089951757
30,bench_p26_wt_linear,262144,69505.25599903411
30,bench_p26_wt_linear,32768,70426.90328023734
30,bench_p26_wt_linear,4096,73512.58015891461
30,bench_p26_wt_linear,524288,69515.44324970231
30,bench_p26_wt_linear,65536,70281.65325577834
30,bench_p26_wt_linear,8192,71430.6817284488
30,bench_p26_wt_logging,1048576,14476.392978345659
30,bench_p26_wt_logging,131072,11941.13771106899
30,bench_p26_wt_logging,16384,7892.629706876296
30,bench_p26_wt_logging,262144,12796.057080516113
30,bench_p26_wt_logging,32768,10004.644650406095
30,bench_p26_wt_logging,4096,5527.76185144614
30,bench_p26_wt_logging,524288,13552.250828875029
30,bench_p26_wt_logging,65536,11057.332047505275
30,bench_p26_wt_logging,8192,5845.170664085628
30,bench_p26_wt_random,1048576,254.82623883245645
30,bench_p26_wt_random,131072,868.8942881949924
30,bench_p26_wt_random,16384,1731.383455646016
30,bench_p26_wt_random,262144,655.5285246988093
30,bench_p26_wt_random,32768,1411.8518639300198
30,bench_p26_wt_random,4096,2504.1138224895544
30,bench_p26_wt_random,524288,432.22326949168894
30,bench_p26_wt_random,65536,1114.654111859182
30,bench_p26_wt_random,8192,2041.144505997591
