FS,case,BLOCK_SIZE,bench_throughput
38,bench_p26_wt_linear,1048576,29751.029060497014
38,bench_p26_wt_linear,131072,32370.964138833326
38,bench_p26_wt_linear,16384,28381.62812377785
38,bench_p26_wt_linear,262144,29889.231462940108
38,bench_p26_wt_linear,32768,32077.4049061689
38,bench_p26_wt_linear,4096,28167.87589994299
38,bench_p26_wt_linear,524288,30726.001886162794
38,bench_p26_wt_linear,65536,32894.713067012315
38,bench_p26_wt_linear,8192,26370.008792968856
38,bench_p26_wt_logging,1048576,6699.734052149636
38,bench_p26_wt_logging,131072,6747.95375710962
38,bench_p26_wt_logging,16384,5125.118512798172
38,bench_p26_wt_logging,262144,6721.626597717894
38,bench_p26_wt_logging,32768,6626.682625118948
38,bench_p26_wt_logging,4096,4198.635760447641
38,bench_p26_wt_logging,524288,6703.957902924999
38,bench_p26_wt_logging,65536,6739.377259484926
38,bench_p26_wt_logging,8192,4617.84653827852
38,bench_p26_wt_random,1048576,349.3245324205711
38,bench_p26_wt_random,131072,869.4626123257959
38,bench_p26_wt_random,16384,1749.1656146685223
38,bench_p26_wt_random,262144,661.7937012265172
38,bench_p26_wt_random,32768,1432.1581180201074
38,bench_p26_wt_random,4096,2171.515470978561
38,bench_p26_wt_random,524288,476.01741188427366
38,bench_p26_wt_random,65536,1120.7105388114544
38,bench_p26_wt_random,8192,1961.2822838846919
