FS,case,BLOCK_SIZE,bench_throughput
31,bench_p26_wt_linear,1048576,13686.736530583685
31,bench_p26_wt_linear,131072,12156.577339295638
31,bench_p26_wt_linear,16384,11687.316247602479
31,bench_p26_wt_linear,262144,12184.875627005867
31,bench_p26_wt_linear,32768,12339.047284565053
31,bench_p26_wt_linear,4096,14072.043678134127
31,bench_p26_wt_linear,524288,13017.922336622149
31,bench_p26_wt_linear,65536,12183.422838681314
31,bench_p26_wt_linear,8192,11412.45982357767
31,bench_p26_wt_logging,1048576,2731.128278281436
31,bench_p26_wt_logging,131072,2755.1430353661744
31,bench_p26_wt_logging,16384,2504.834150936729
31,bench_p26_wt_logging,262144,2750.767152683386
31,bench_p26_wt_logging,32768,2766.714115814197
31,bench_p26_wt_logging,4096,2808.942038238079
31,bench_p26_wt_logging,524288,2737.5108511084136
31,bench_p26_wt_logging,65536,2798.361212897622
31,bench_p26_wt_logging,8192,2640.205295501447
31,bench_p26_wt_random,1048576,4834.469620585147
31,bench_p26_wt_random,131072,4885.466485757436
31,bench_p26_wt_random,16384,4569.786169206722
31,bench_p26_wt_random,262144,4925.116726214716
31,bench_p26_wt_random,32768,4931.531301629041
31,bench_p26_wt_random,4096,5090.217892423273
31,bench_p26_wt_random,524288,4961.793500311774
31,bench_p26_wt_random,65536,4984.703425395702
31,bench_p26_wt_random,8192,4594.593180255871
