i,suite,case,FS,CHUNK,FILE_COUNT,BLOCK_SIZE,SIM_SIZE,NO_FRUNCATE,FILE_SIZE,DISK_SIZE,NO_SET,SIM_TIME,DISK_GEOMETRY,SKIP_WARMUP,SEED,SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,6100807680,12035085,11918552,96000,6104692860,6102298624,6291456000,3600000655668,49.395156
16,bench_p26_wt,bench_p26_wt_linear,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,6100807680,0,0,0,0,0,0,1856,49.395367
16,bench_p26_wt,bench_p26_wt_linear,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,6100807680,0,0,0,0,0,0,400,49.395421
16,bench_p26_wt,bench_p26_wt_linear,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,6100807680,0,0,0,0,0,0,1552,49.395475
16,bench_p26_wt,bench_p26_wt_linear,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,6100807680,0,0,0,0,0,0,327680,49.395523
17,bench_p26_wt,bench_p26_wt_linear,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,6098520064,11970011,11914082,49437,6101224852,6100009984,6479806464,3600000421372,49.397404
17,bench_p26_wt,bench_p26_wt_linear,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,6098520064,0,0,0,0,0,0,1856,49.397485
17,bench_p26_wt,bench_p26_wt_linear,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,6098520064,0,0,0,0,0,0,400,49.397541
17,bench_p26_wt,bench_p26_wt_linear,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,6098520064,0,0,0,0,0,0,1552,49.397593
17,bench_p26_wt,bench_p26_wt_linear,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,6098520064,0,0,0,0,0,0,393216,49.397645
20,bench_p26_wt,bench_p26_wt_linear,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,6030237696,11859777,11780685,69008,6041158500,6031710720,9045016576,3600000474732,54.977137
20,bench_p26_wt,bench_p26_wt_linear,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,6030237696,0,0,0,0,0,0,1552,54.977247
20,bench_p26_wt,bench_p26_wt_linear,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,6030237696,0,0,0,0,0,0,400,54.977302
20,bench_p26_wt,bench_p26_wt_linear,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,6030237696,0,0,0,0,0,0,1552,54.977352
20,bench_p26_wt,bench_p26_wt_linear,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,6030237696,0,0,0,0,0,0,3145728,54.977399
19,bench_p26_wt,bench_p26_wt_linear,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,6060244992,12097766,11839308,57796,6092642344,6061725696,7575437312,3600001389304,68.569629
19,bench_p26_wt,bench_p26_wt_linear,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,6060244992,0,0,0,0,0,0,1552,68.569735
19,bench_p26_wt,bench_p26_wt_linear,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,6060244992,0,0,0,0,0,0,400,68.569790
19,bench_p26_wt,bench_p26_wt_linear,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,6060244992,0,0,0,0,0,0,1552,68.569839
19,bench_p26_wt,bench_p26_wt_linear,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,6060244992,0,0,0,0,0,0,3145728,68.569886
12,bench_p26_wt,bench_p26_wt_linear,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,5959603200,14991206,11662587,1457824,6030911324,5971244544,5971247104,3600000884180,68.733091
12,bench_p26_wt,bench_p26_wt_linear,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,5959603200,0,0,0,0,0,0,2000,68.733168
12,bench_p26_wt,bench_p26_wt_linear,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,5959603200,0,0,0,0,0,0,400,68.733219
12,bench_p26_wt,bench_p26_wt_linear,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,5959603200,0,0,0,0,0,0,1552,68.733264
12,bench_p26_wt,bench_p26_wt_linear,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,5959603200,0,0,0,0,0,0,1617920,68.733307
18,bench_p26_wt,bench_p26_wt_linear,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,6090101248,11924069,11897635,52270,6092219700,6091589120,6851133440,3600000779484,69.686969
18,bench_p26_wt,bench_p26_wt_linear,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,6090101248,0,0,0,0,0,0,1856,69.687050
18,bench_p26_wt,bench_p26_wt_linear,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,6090101248,0,0,0,0,0,0,400,69.687094
18,bench_p26_wt,bench_p26_wt_linear,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,6090101248,0,0,0,0,0,0,1552,69.687130
18,bench_p26_wt,bench_p26_wt_linear,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,6090101248,0,0,0,0,0,0,2621440,69.687163
14,bench_p26_wt,bench_p26_wt_linear,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,6081497280,12502878,11883727,374085,6103653228,6084468224,6129008640,3600000660228,71.251090
14,bench_p26_wt,bench_p26_wt_linear,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,6081497280,0,0,0,0,0,0,2000,71.251169
14,bench_p26_wt,bench_p26_wt_linear,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,6081497280,0,0,0,0,0,0,400,71.251209
14,bench_p26_wt,bench_p26_wt_linear,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,6081497280,0,0,0,0,0,0,1552,71.251242
