i,suite,case,SKIP_WARMUP,CHUNK,SIM_SIZE,FS,SIZE,FILE_COUNT,DISK_GEOMETRY,NO_SET,FILE_SIZE,SEED,DISK_SIZE,SIM_TIME,NO_FRUNCATE,BLOCK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,131072,write,270762752,272389810,1057799,70240,272389810,270778828,287703040,3600000985844,3.396494
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,131072,stack,270762752,0,0,0,0,0,0,1536,3.396711
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,131072,ctx,270762752,0,0,0,0,0,0,400,3.396765
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,131072,heap,270762752,0,0,0,0,0,0,784,3.396813
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,131072,usage,270762752,0,0,0,0,0,0,524288,3.396865
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,16384,write,283574080,284239286,1108255,69776,284239286,283712068,285802496,3600030178428,3.423129
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,16384,stack,283574080,0,0,0,0,0,0,1856,3.423216
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,16384,ctx,283574080,0,0,0,0,0,0,400,3.423271
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,16384,heap,283574080,0,0,0,0,0,0,784,3.423319
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,16384,usage,283574080,0,0,0,0,0,0,507904,3.423367
13,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,8192,write,284528832,285232638,1112529,69736,285232638,284806208,285638656,3600000902000,3.479920
13,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,8192,stack,284528832,0,0,0,0,0,0,2000,3.480015
13,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,8192,ctx,284528832,0,0,0,0,0,0,400,3.480068
13,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,8192,heap,284528832,0,0,0,0,0,0,784,3.480115
13,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,8192,usage,284528832,0,0,0,0,0,0,1449984,3.480160
20,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,write,199229440,199262994,778337,72960,199262994,199230656,298844160,3606292271120,4.063639
20,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,stack,199229440,0,0,0,0,0,0,1536,4.063739
20,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,ctx,199229440,0,0,0,0,0,0,400,4.063792
20,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,heap,199229440,0,0,0,0,0,0,784,4.063840
20,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,1048576,usage,199229440,0,0,0,0,0,0,5242880,4.063887
19,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,524288,write,234406400,234519222,915764,71552,234519222,234409600,293076992,3600001203184,4.278972
19,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,524288,stack,234406400,0,0,0,0,0,0,1536,4.279059
19,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,524288,ctx,234406400,0,0,0,0,0,0,400,4.279096
19,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,524288,heap,234406400,0,0,0,0,0,0,784,4.279126
19,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,524288,usage,234406400,0,0,0,0,0,0,3145728,4.279153
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,262144,write,257478144,257885182,1005899,70720,257885182,257485580,289669120,3600000940692,4.447822
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,262144,stack,257478144,0,0,0,0,0,0,1536,4.447918
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,262144,ctx,257478144,0,0,0,0,0,0,400,4.447965
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,262144,heap,257478144,0,0,0,0,0,0,784,4.448007
