i,suite,case,NO_SET,BLOCK_SIZE,SIZE,FILE_COUNT,CHUNK,DISK_SIZE,FILE_SIZE,SEED,SIM_SIZE,FS,SIM_TIME,SKIP_WARMUP,DISK_GEOMETRY,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,0,4096,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,1492456000,103265593,3847290,500446,1721822071,1969812480,2049826816,3600012162517,31.177510
12,bench_p26_wt,bench_p26_wt_linear,0,4096,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,1492456000,0,0,0,0,0,0,3312,31.177706
12,bench_p26_wt,bench_p26_wt_linear,0,4096,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,1492456000,0,0,0,0,0,0,624,31.177755
12,bench_p26_wt,bench_p26_wt_linear,0,4096,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,1492456000,0,0,0,0,0,0,1296,31.177803
12,bench_p26_wt,bench_p26_wt_linear,0,4096,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,1492456000,0,0,0,0,0,0,1499136,31.177844
13,bench_p26_wt,bench_p26_wt_linear,0,8192,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,2804949568,78319424,6173386,390352,1302739023,3160773632,3197763584,3600008890845,40.291616
13,bench_p26_wt,bench_p26_wt_linear,0,8192,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,2804949568,0,0,0,0,0,0,3232,40.291719
13,bench_p26_wt,bench_p26_wt_linear,0,8192,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,2804949568,0,0,0,0,0,0,624,40.291769
13,bench_p26_wt,bench_p26_wt_linear,0,8192,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,2804949568,0,0,0,0,0,0,1296,40.291813
13,bench_p26_wt,bench_p26_wt_linear,0,8192,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,2804949568,0,0,0,0,0,0,1122304,40.291855
15,bench_p26_wt,bench_p26_wt_linear,0,32768,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,3687580224,54258018,8397011,131348,1172167289,4299269632,4304011264,3600006101243,48.395728
15,bench_p26_wt,bench_p26_wt_linear,0,32768,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,3687580224,0,0,0,0,0,0,3280,48.395831
15,bench_p26_wt,bench_p26_wt_linear,0,32768,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,3687580224,0,0,0,0,0,0,624,48.395883
15,bench_p26_wt,bench_p26_wt_linear,0,32768,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,3687580224,0,0,0,0,0,0,1296,48.395924
15,bench_p26_wt,bench_p26_wt_linear,0,32768,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,3687580224,0,0,0,0,0,0,950272,48.395967
14,bench_p26_wt,bench_p26_wt_linear,0,16384,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,2942090304,73736647,6602463,207096,1213745306,3380461056,3393060864,3600002665838,55.752383
14,bench_p26_wt,bench_p26_wt_linear,0,16384,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,2942090304,0,0,0,0,0,0,3312,55.752490
14,bench_p26_wt,bench_p26_wt_linear,0,16384,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,2942090304,0,0,0,0,0,0,624,55.752538
14,bench_p26_wt,bench_p26_wt_linear,0,16384,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,2942090304,0,0,0,0,0,0,1296,55.752579
14,bench_p26_wt,bench_p26_wt_linear,0,16384,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,2942090304,0,0,0,0,0,0,1982464,55.752618
16,bench_p26_wt,bench_p26_wt_linear,0,65536,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,4441966656,34471915,10218758,79883,1140304523,5232004096,5235212288,3600001829969,67.380923
16,bench_p26_wt,bench_p26_wt_linear,0,65536,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,4441966656,0,0,0,0,0,0,3312,67.381020
16,bench_p26_wt,bench_p26_wt_linear,0,65536,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,4441966656,0,0,0,0,0,0,624,67.381066
16,bench_p26_wt,bench_p26_wt_linear,0,65536,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,4441966656,0,0,0,0,0,0,1296,67.381106
16,bench_p26_wt,bench_p26_wt_linear,0,65536,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,4441966656,0,0,0,0,0,0,524288,67.381145
20,bench_p26_wt,bench_p26_wt_linear,0,1048576,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,4559310912,29765446,10645801,41608,1224287858,5450650112,5453643776,3600061333622,69.100423
20,bench_p26_wt,bench_p26_wt_linear,0,1048576,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,4559310912,0,0,0,0,0,0,3232,69.100510
20,bench_p26_wt,bench_p26_wt_linear,0,1048576,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,4559310912,0,0,0,0,0,0,624,69.100550
20,bench_p26_wt,bench_p26_wt_linear,0,1048576,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,4559310912,0,0,0,0,0,0,1296,69.100583
20,bench_p26_wt,bench_p26_wt_linear,0,1048576,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,4559310912,0,0,0,0,0,0,6291456,69.100614
18,bench_p26_wt,bench_p26_wt_linear,0,262144,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,4630524992,28469303,10767963,42074,1180478947,5513197056,5514723328,3600002447833,70.975718
18,bench_p26_wt,bench_p26_wt_linear,0,262144,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,4630524992,0,0,0,0,0,0,3280,70.975804
18,bench_p26_wt,bench_p26_wt_linear,0,262144,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,4630524992,0,0,0,0,0,0,624,70.975844
18,bench_p26_wt,bench_p26_wt_linear,0,262144,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,4630524992,0,0,0,0,0,0,1296,70.975881
18,bench_p26_wt,bench_p26_wt_linear,0,262144,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,4630524992,0,0,0,0,0,0,1310720,70.975916
17,bench_p26_wt,bench_p26_wt_linear,0,131072,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,4630589504,28918859,10728232,41919,1158180569,5492854784,5494407168,3600008792603,73.604126
17,bench_p26_wt,bench_p26_wt_linear,0,131072,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,4630589504,0,0,0,0,0,0,3312,73.604208
17,bench_p26_wt,bench_p26_wt_linear,0,131072,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,4630589504,0,0,0,0,0,0,624,73.604247
