i,suite,case,SIZE,NO_SET,BLOCK_SIZE,SKIP_WARMUP,CHUNK,FS,SEED,FILE_COUNT,SIM_SIZE,FILE_SIZE,DISK_SIZE,SIM_TIME,DISK_GEOMETRY,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
17,bench_p26_wt,bench_p26_wt_linear,2097152,0,131072,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,246292544,53575723,1294887,68352,53575723,279272704,279969792,3601317890744,3.954687
17,bench_p26_wt,bench_p26_wt_linear,2097152,0,131072,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,246292544,0,0,0,0,0,0,3296,3.954870
17,bench_p26_wt,bench_p26_wt_linear,2097152,0,131072,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,246292544,0,0,0,0,0,0,624,3.954913
17,bench_p26_wt,bench_p26_wt_linear,2097152,0,131072,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,246292544,0,0,0,0,0,0,784,3.954956
17,bench_p26_wt,bench_p26_wt_linear,2097152,0,131072,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,246292544,0,0,0,0,0,0,1703936,3.954999
14,bench_p26_wt,bench_p26_wt_linear,2097152,0,16384,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,250905664,90968455,1260821,68596,90968455,280273492,280969216,3600181526612,4.213430
14,bench_p26_wt,bench_p26_wt_linear,2097152,0,16384,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,250905664,0,0,0,0,0,0,3296,4.213574
14,bench_p26_wt,bench_p26_wt_linear,2097152,0,16384,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,250905664,0,0,0,0,0,0,624,4.213616
14,bench_p26_wt,bench_p26_wt_linear,2097152,0,16384,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,250905664,0,0,0,0,0,0,784,4.213655
14,bench_p26_wt,bench_p26_wt_linear,2097152,0,16384,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,250905664,0,0,0,0,0,0,1458176,4.213693
12,bench_p26_wt,bench_p26_wt_linear,2097152,0,4096,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,258715968,86387406,1200116,69140,86387406,276470753,283197440,3600115531235,4.544305
12,bench_p26_wt,bench_p26_wt_linear,2097152,0,4096,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,258715968,0,0,0,0,0,0,3312,4.544395
12,bench_p26_wt,bench_p26_wt_linear,2097152,0,4096,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,258715968,0,0,0,0,0,0,624,4.544436
12,bench_p26_wt,bench_p26_wt_linear,2097152,0,4096,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,258715968,0,0,0,0,0,0,784,4.544472
12,bench_p26_wt,bench_p26_wt_linear,2097152,0,4096,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,258715968,0,0,0,0,0,0,823296,4.544506
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,1048576,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,244383808,58644376,1298606,68352,58644376,279113327,279969792,3603005684733,5.750809
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,1048576,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,244383808,0,0,0,0,0,0,3296,5.750897
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,1048576,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,244383808,0,0,0,0,0,0,624,5.750938
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,1048576,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,244383808,0,0,0,0,0,0,784,5.750974
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,1048576,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,244383808,0,0,0,0,0,0,5242880,5.751008
18,bench_p26_wt,bench_p26_wt_linear,2097152,0,262144,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,244593728,56571570,1295765,68352,56571570,279149287,279969792,3601786692085,5.775070
