i,suite,case,SIZE,NO_SET,FS,CHUNK,DISK_SIZE,SKIP_WARMUP,FILE_SIZE,SIM_SIZE,BLOCK_SIZE,FILE_COUNT,NO_FRUNCATE,SEED,SIM_TIME,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,262144,32768,0,42,3600000000000,1,write,431861312,26842217,10270402,6786,13736321036,5258445824,889454592,3600038276324,26.548960
18,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,262144,32768,0,42,3600000000000,1,stack,431861312,0,0,0,0,0,0,1296,26.557523
18,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,262144,32768,0,42,3600000000000,1,ctx,431861312,0,0,0,0,0,0,336,26.557587
18,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,262144,32768,0,42,3600000000000,1,heap,431861312,0,0,0,0,0,0,2696,26.557633
18,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,262144,32768,0,42,3600000000000,1,usage,431861312,0,0,0,0,0,0,5861685,26.557684
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,write,454398016,22762622,10806242,7152,11652646364,5532795904,937426944,3600003406676,30.185464
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,stack,454398016,0,0,0,0,0,0,1296,30.185596
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,ctx,454398016,0,0,0,0,0,0,336,30.185658
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,heap,454398016,0,0,0,0,0,0,2696,30.185711
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,usage,454398016,0,0,0,0,0,0,6858128,30.185763
19,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,524288,32768,0,42,3600000000000,1,write,446693440,24226277,10629609,7020,12400288172,5442359808,920125440,3604068763076,31.128645
