i,suite,case,SIZE,DISK_SIZE,FILE_SIZE,FS,NO_FRUNCATE,SEED,SKIP_WARMUP,NO_SET,CHUNK,DISK_GEOMETRY,SIM_TIME,FILE_COUNT,SIM_SIZE,BLOCK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
17,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,131072,write,72015936,12961529836,3490866,37344,12961529836,227495048,152961024,3600006639864,22.763705
17,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,131072,stack,72015936,0,0,0,0,0,0,1296,22.763956
17,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,131072,ctx,72015936,0,0,0,0,0,0,336,22.764010
17,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,131072,heap,72015936,0,0,0,0,0,0,1160,22.764057
17,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,131072,usage,72015936,0,0,0,0,0,0,7715443,22.764108
18,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,write,73162304,11766138652,3536152,38016,11766138652,231077633,155713536,3600618355059,26.911484
18,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,stack,73162304,0,0,0,0,0,0,1296,26.911604
18,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,ctx,73162304,0,0,0,0,0,0,336,26.919932
18,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,heap,73162304,0,0,0,0,0,0,1160,26.920000
18,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,usage,73162304,0,0,0,0,0,0,9129518,26.920048
20,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,write,73400384,11132410716,3563191,38400,11132410716,231900626,157286400,3603383419382,30.696497
20,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,stack,73400384,0,0,0,0,0,0,1296,30.696609
20,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,ctx,73400384,0,0,0,0,0,0,336,30.696664
20,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,heap,73400384,0,0,0,0,0,0,1160,30.696711
20,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,usage,73400384,0,0,0,0,0,0,8734071,30.696754
