i,suite,case,FILE_COUNT,DISK_GEOMETRY,NO_SET,SIZE,CHUNK,SIM_TIME,BLOCK_SIZE,DISK_SIZE,FILE_SIZE,SEED,FS,NO_FRUNCATE,SIM_SIZE,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,8192,134217728,64,42,5,0,0,0,write,6260487296,3054,13469446,841825,1563648,6896356352,6896230400,3600000890880,42.589431
13,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,8192,134217728,64,42,5,0,0,0,stack,6260487296,0,0,0,0,0,0,8752,42.589685
13,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,8192,134217728,64,42,5,0,0,0,ctx,6260487296,0,0,0,0,0,0,7168,42.589744
13,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,8192,134217728,64,42,5,0,0,0,heap,6260487296,0,0,0,0,0,0,321812,42.589838
13,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,8192,134217728,64,42,5,0,0,0,usage,6260487296,0,0,0,0,0,0,11097136,42.589887
16,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,65536,134217728,64,42,5,0,0,0,write,6469210944,3086,13469458,105224,1580032,6896362496,6895960064,3600001048576,43.157142
16,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,65536,134217728,64,42,5,0,0,0,stack,6469210944,0,0,0,0,0,0,8704,43.157256
16,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,65536,134217728,64,42,5,0,0,0,ctx,6469210944,0,0,0,0,0,0,7168,43.157320
16,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,65536,134217728,64,42,5,0,0,0,heap,6469210944,0,0,0,0,0,0,101196,43.157367
16,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,65536,134217728,64,42,5,0,0,0,usage,6469210944,0,0,0,0,0,0,9315504,43.157413
17,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,131072,134217728,64,42,5,0,0,0,write,6495245824,3166,13469424,52615,1620992,6896345088,6896353280,3600000865280,44.263176
17,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,131072,134217728,64,42,5,0,0,0,stack,6495245824,0,0,0,0,0,0,8704,44.263297
17,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,131072,134217728,64,42,5,0,0,0,ctx,6495245824,0,0,0,0,0,0,7168,44.263356
