i,suite,case,CHUNK,BLOCK_SIZE,FILE_COUNT,SKIP_WARMUP,DISK_GEOMETRY,NO_FRUNCATE,SIM_SIZE,FS,SIM_TIME,DISK_SIZE,SEED,SIZE,NO_SET,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
20,bench_p26_wt,bench_p26_wt_linear,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,122043072,157754368,1114844,69888,157754368,285400064,286261248,3602679146496,1.321101
20,bench_p26_wt,bench_p26_wt_linear,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,122043072,0,0,0,0,0,0,8704,1.321334
20,bench_p26_wt,bench_p26_wt_linear,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,122043072,0,0,0,0,0,0,7168,1.321393
20,bench_p26_wt,bench_p26_wt_linear,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,122043072,0,0,0,0,0,0,85620,1.321444
20,bench_p26_wt,bench_p26_wt_linear,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,122043072,0,0,0,0,0,0,9946448,1.321497
14,bench_p26_wt,bench_p26_wt_linear,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,268771776,67584,1119224,69932,67584,286521344,286441472,3600125480960,2.262994
14,bench_p26_wt,bench_p26_wt_linear,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,268771776,0,0,0,0,0,0,8704,2.263105
14,bench_p26_wt,bench_p26_wt_linear,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,268771776,0,0,0,0,0,0,7168,2.263162
14,bench_p26_wt,bench_p26_wt_linear,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,268771776,0,0,0,0,0,0,189140,2.263212
14,bench_p26_wt,bench_p26_wt_linear,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,268771776,0,0,0,0,0,0,7795760,2.263260
13,bench_p26_wt,bench_p26_wt_linear,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,260079104,65536,1119126,69938,65536,286496256,286466048,3600355701760,2.290522
13,bench_p26_wt,bench_p26_wt_linear,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,260079104,0,0,0,0,0,0,8752,2.290633
13,bench_p26_wt,bench_p26_wt_linear,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,260079104,0,0,0,0,0,0,7168,2.290689
13,bench_p26_wt,bench_p26_wt_linear,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,260079104,0,0,0,0,0,0,321812,2.290738
13,bench_p26_wt,bench_p26_wt_linear,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,260079104,0,0,0,0,0,0,10626928,2.290789
19,bench_p26_wt,bench_p26_wt_linear,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,270543040,68096,1118744,70016,68096,286398464,286785536,3603710992384,2.758810
19,bench_p26_wt,bench_p26_wt_linear,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,270543040,0,0,0,0,0,0,8704,2.758918
19,bench_p26_wt,bench_p26_wt_linear,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,270543040,0,0,0,0,0,0,7168,2.758975
19,bench_p26_wt,bench_p26_wt_linear,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,270543040,0,0,0,0,0,0,110972,2.759027
19,bench_p26_wt,bench_p26_wt_linear,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,270543040,0,0,0,0,0,0,9634432,2.759077
15,bench_p26_wt,bench_p26_wt_linear,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,268748992,67584,1119132,69936,67584,286497792,286457856,3600268216320,2.780284
15,bench_p26_wt,bench_p26_wt_linear,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,268748992,0,0,0,0,0,0,8704,2.780367
15,bench_p26_wt,bench_p26_wt_linear,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,268748992,0,0,0,0,0,0,7168,2.780420
15,bench_p26_wt,bench_p26_wt_linear,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,268748992,0,0,0,0,0,0,123452,2.780468
15,bench_p26_wt,bench_p26_wt_linear,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,268748992,0,0,0,0,0,0,7835440,2.780515
17,bench_p26_wt,bench_p26_wt_linear,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,270104512,67584,1120254,69920,67584,286785024,286392320,3600002638848,3.105104
17,bench_p26_wt,bench_p26_wt_linear,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,270104512,0,0,0,0,0,0,8704,3.105210
17,bench_p26_wt,bench_p26_wt_linear,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,270104512,0,0,0,0,0,0,7168,3.105259
17,bench_p26_wt,bench_p26_wt_linear,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,270104512,0,0,0,0,0,0,96260,3.105302
17,bench_p26_wt,bench_p26_wt_linear,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,270104512,0,0,0,0,0,0,9317488,3.105345
12,bench_p26_wt,bench_p26_wt_linear,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,243071680,60928,1120650,69917,60928,286886400,286380032,3600027753472,3.126744
12,bench_p26_wt,bench_p26_wt_linear,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,243071680,0,0,0,0,0,0,8704,3.126814
12,bench_p26_wt,bench_p26_wt_linear,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,243071680,0,0,0,0,0,0,7168,3.126855
12,bench_p26_wt,bench_p26_wt_linear,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,243071680,0,0,0,0,0,0,587828,3.126890
