i,suite,case,SEED,SIM_SIZE,FILE_SIZE,FS,CHUNK,DISK_SIZE,SIM_TIME,SKIP_WARMUP,FILE_COUNT,SIZE,DISK_GEOMETRY,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
14,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,67108864,3600000000000,0,32768,2097152,1,0,write,6098520576,11969997,11914083,49437,6101225196,6100010496,6479806464,3600000343428,51.013801
14,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,67108864,3600000000000,0,32768,2097152,1,0,stack,6098520576,0,0,0,0,0,0,1856,51.014019
14,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,67108864,3600000000000,0,32768,2097152,1,0,ctx,6098520576,0,0,0,0,0,0,400,51.014073
14,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,67108864,3600000000000,0,32768,2097152,1,0,heap,6098520576,0,0,0,0,0,0,1552,51.014120
14,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,67108864,3600000000000,0,32768,2097152,1,0,usage,6098520576,0,0,0,0,0,0,393216,51.014170
15,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,134217728,3600000000000,0,32768,2097152,1,0,write,6098520064,11970011,11914082,49437,6101224852,6100009984,6479806464,3600000421372,52.138911
15,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,134217728,3600000000000,0,32768,2097152,1,0,stack,6098520064,0,0,0,0,0,0,1856,52.139012
15,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,134217728,3600000000000,0,32768,2097152,1,0,ctx,6098520064,0,0,0,0,0,0,400,52.139066
15,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,134217728,3600000000000,0,32768,2097152,1,0,heap,6098520064,0,0,0,0,0,0,1552,52.139113
15,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,134217728,3600000000000,0,32768,2097152,1,0,usage,6098520064,0,0,0,0,0,0,393216,52.139158
17,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,536870912,3600000000000,0,32768,2097152,1,0,write,6098521600,11969980,11914085,49437,6101223688,6100011520,6479806464,3600000416152,55.189347
17,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,536870912,3600000000000,0,32768,2097152,1,0,stack,6098521600,0,0,0,0,0,0,1856,55.189451
17,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,536870912,3600000000000,0,32768,2097152,1,0,ctx,6098521600,0,0,0,0,0,0,400,55.189503
17,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,536870912,3600000000000,0,32768,2097152,1,0,heap,6098521600,0,0,0,0,0,0,1552,55.189550
17,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,536870912,3600000000000,0,32768,2097152,1,0,usage,6098521600,0,0,0,0,0,0,393216,55.189598
13,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,write,6098518592,11970069,11914080,49437,6101229160,6100008960,6479806464,3600001409464,69.626379
13,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,stack,6098518592,0,0,0,0,0,0,1856,69.626489
13,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,ctx,6098518592,0,0,0,0,0,0,400,69.626542
13,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,heap,6098518592,0,0,0,0,0,0,1552,69.626588
13,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,usage,6098518592,0,0,0,0,0,0,393216,69.626632
12,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,write,6098501056,11970532,11914045,49435,6101279100,6099991040,6479544320,3600000719412,71.254878
12,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,stack,6098501056,0,0,0,0,0,0,1856,71.254974
12,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,ctx,6098501056,0,0,0,0,0,0,400,71.255036
12,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,heap,6098501056,0,0,0,0,0,0,1552,71.255072
12,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,usage,6098501056,0,0,0,0,0,0,2359296,71.255106
16,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,write,6098522112,11969975,11914086,49437,6101224156,6100012032,6479806464,3600000561748,72.172783
16,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,stack,6098522112,0,0,0,0,0,0,1856,72.172892
16,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,ctx,6098522112,0,0,0,0,0,0,400,72.172940
16,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,heap,6098522112,0,0,0,0,0,0,1552,72.172980
16,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,usage,6098522112,0,0,0,0,0,0,393216,72.173020
18,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,write,6098521600,11969986,11914085,49437,6101223736,6100011520,6479806464,3600000564520,74.881645
18,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,stack,6098521600,0,0,0,0,0,0,1856,74.881735
18,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,ctx,6098521600,0,0,0,0,0,0,400,74.881778
18,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,heap,6098521600,0,0,0,0,0,0,1552,74.881816
18,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,usage,6098521600,0,0,0,0,0,0,393216,74.881852
19,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,write,6098371008,11973140,11913791,49434,6101480636,6099860992,6479413248,3600000742388,80.421282
19,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,stack,6098371008,0,0,0,0,0,0,2000,80.421392
19,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,ctx,6098371008,0,0,0,0,0,0,400,80.421431
19,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,heap,6098371008,0,0,0,0,0,0,1552,80.421465
19,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,usage,6098371008,0,0,0,0,0,0,2490368,80.421500
20,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,4294967296,3600000000000,0,32768,2097152,1,0,write,6098297792,11974548,11913648,49434,6101609740,6099787776,6479413248,3600000677860,89.039632
