i,suite,case,DISK_SIZE,SIZE,DISK_GEOMETRY,SIM_SIZE,FS,SKIP_WARMUP,CHUNK,SIM_TIME,FILE_SIZE,NO_FRUNCATE,FILE_COUNT,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,33554432,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,284971520,286860228,1115348,69710,286860228,285527628,285532160,3600037708356,2.861552
13,bench_p26_wt,bench_p26_wt_linear,33554432,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,284971520,0,0,0,0,0,0,2000,2.861880
13,bench_p26_wt,bench_p26_wt_linear,33554432,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,284971520,0,0,0,0,0,0,400,2.861935
13,bench_p26_wt,bench_p26_wt_linear,33554432,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,284971520,0,0,0,0,0,0,784,2.861983
13,bench_p26_wt,bench_p26_wt_linear,33554432,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,284971520,0,0,0,0,0,0,1880064,2.862035
12,bench_p26_wt,bench_p26_wt_linear,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,284971520,286525774,1115347,69710,286525774,285527628,285532160,3600023930068,3.993489
12,bench_p26_wt,bench_p26_wt_linear,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,284971520,0,0,0,0,0,0,1856,3.993596
12,bench_p26_wt,bench_p26_wt_linear,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,284971520,0,0,0,0,0,0,400,3.993650
12,bench_p26_wt,bench_p26_wt_linear,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,284971520,0,0,0,0,0,0,784,3.993697
12,bench_p26_wt,bench_p26_wt_linear,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,284971520,0,0,0,0,0,0,1871872,3.993742
15,bench_p26_wt,bench_p26_wt_linear,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,284971520,287042694,1115347,69710,287042694,285527628,285532160,3600044606868,4.697931
15,bench_p26_wt,bench_p26_wt_linear,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,284971520,0,0,0,0,0,0,2000,4.698036
15,bench_p26_wt,bench_p26_wt_linear,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,284971520,0,0,0,0,0,0,400,4.698089
15,bench_p26_wt,bench_p26_wt_linear,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,284971520,0,0,0,0,0,0,784,4.698136
15,bench_p26_wt,bench_p26_wt_linear,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,284971520,0,0,0,0,0,0,1880064,4.698180
14,bench_p26_wt,bench_p26_wt_linear,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,284971520,286852386,1115347,69710,286852386,285527628,285532160,3600036994548,5.053194
14,bench_p26_wt,bench_p26_wt_linear,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,284971520,0,0,0,0,0,0,2000,5.053292
14,bench_p26_wt,bench_p26_wt_linear,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,284971520,0,0,0,0,0,0,400,5.053344
14,bench_p26_wt,bench_p26_wt_linear,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,284971520,0,0,0,0,0,0,784,5.053390
14,bench_p26_wt,bench_p26_wt_linear,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,284971520,0,0,0,0,0,0,1880064,5.053434
16,bench_p26_wt,bench_p26_wt_linear,268435456,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,284967424,287605910,1115331,69709,287605910,285523524,285528064,3600015656828,5.055248
16,bench_p26_wt,bench_p26_wt_linear,268435456,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,284967424,0,0,0,0,0,0,2000,5.055342
16,bench_p26_wt,bench_p26_wt_linear,268435456,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,284967424,0,0,0,0,0,0,400,5.055390
16,bench_p26_wt,bench_p26_wt_linear,268435456,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,284967424,0,0,0,0,0,0,784,5.055451
16,bench_p26_wt,bench_p26_wt_linear,268435456,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,284967424,0,0,0,0,0,0,1875968,5.055492
17,bench_p26_wt,bench_p26_wt_linear,536870912,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,284963328,288560190,1115315,69708,288560190,285519424,285523968,3600002349424,6.856154
17,bench_p26_wt,bench_p26_wt_linear,536870912,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,284963328,0,0,0,0,0,0,2000,6.856321
17,bench_p26_wt,bench_p26_wt_linear,536870912,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,284963328,0,0,0,0,0,0,400,6.856383
17,bench_p26_wt,bench_p26_wt_linear,536870912,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,284963328,0,0,0,0,0,0,784,6.856425
17,bench_p26_wt,bench_p26_wt_linear,536870912,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,284963328,0,0,0,0,0,0,1871872,6.856464
18,bench_p26_wt,bench_p26_wt_linear,1073741824,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,284967424,287600338,1115331,69709,287600338,285523524,285528064,3600015433948,11.317839
18,bench_p26_wt,bench_p26_wt_linear,1073741824,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,284967424,0,0,0,0,0,0,2000,11.317932
18,bench_p26_wt,bench_p26_wt_linear,1073741824,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,284967424,0,0,0,0,0,0,400,11.317971
18,bench_p26_wt,bench_p26_wt_linear,1073741824,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,284967424,0,0,0,0,0,0,784,11.318002
18,bench_p26_wt,bench_p26_wt_linear,1073741824,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,284967424,0,0,0,0,0,0,1875968,11.318033
19,bench_p26_wt,bench_p26_wt_linear,2147483648,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,284963328,288748372,1115316,69708,288748372,285519424,285523968,3600010276832,18.362630
19,bench_p26_wt,bench_p26_wt_linear,2147483648,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,284963328,0,0,0,0,0,0,2000,18.362711
19,bench_p26_wt,bench_p26_wt_linear,2147483648,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,284963328,0,0,0,0,0,0,400,18.362745
19,bench_p26_wt,bench_p26_wt_linear,2147483648,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,284963328,0,0,0,0,0,0,784,18.362774
19,bench_p26_wt,bench_p26_wt_linear,2147483648,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,284963328,0,0,0,0,0,0,1871872,18.362803
20,bench_p26_wt,bench_p26_wt_linear,4294967296,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,284967424,287600170,1115331,69709,287600170,285523524,285528064,3600015427228,29.382203
20,bench_p26_wt,bench_p26_wt_linear,4294967296,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,284967424,0,0,0,0,0,0,2000,29.382279
20,bench_p26_wt,bench_p26_wt_linear,4294967296,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,284967424,0,0,0,0,0,0,400,29.382309
20,bench_p26_wt,bench_p26_wt_linear,4294967296,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,284967424,0,0,0,0,0,0,784,29.382335
20,bench_p26_wt,bench_p26_wt_linear,4294967296,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,284967424,0,0,0,0,0,0,1875968,29.382357
22,bench_p26_wt,bench_p26_wt_random,33554432,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,18368,574741976,1117251,69998,574741976,285977229,286711808,3625282577207,16.034895
22,bench_p26_wt,bench_p26_wt_random,33554432,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,18368,0,0,0,0,0,0,1984,16.034993
22,bench_p26_wt,bench_p26_wt_random,33554432,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,18368,0,0,0,0,0,0,384,16.035045
22,bench_p26_wt,bench_p26_wt_random,33554432,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,18368,0,0,0,0,0,0,784,16.035089
22,bench_p26_wt,bench_p26_wt_random,33554432,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,18368,0,0,0,0,0,0,2101248,16.035131
24,bench_p26_wt,bench_p26_wt_random,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,18368,574935784,1117250,69998,574935784,285977229,286711808,3625289929399,16.124419
24,bench_p26_wt,bench_p26_wt_random,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,18368,0,0,0,0,0,0,1984,16.124493
24,bench_p26_wt,bench_p26_wt_random,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,18368,0,0,0,0,0,0,384,16.124543
24,bench_p26_wt,bench_p26_wt_random,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,18368,0,0,0,0,0,0,784,16.124590
24,bench_p26_wt,bench_p26_wt_random,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,18368,0,0,0,0,0,0,2101248,16.124635
21,bench_p26_wt,bench_p26_wt_random,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,18368,574426530,1117250,69998,574426530,285977229,286711808,3625269559239,16.812689
21,bench_p26_wt,bench_p26_wt_random,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,18368,0,0,0,0,0,0,1840,16.812782
21,bench_p26_wt,bench_p26_wt_random,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,18368,0,0,0,0,0,0,384,16.812832
21,bench_p26_wt,bench_p26_wt_random,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,18368,0,0,0,0,0,0,784,16.812876
21,bench_p26_wt,bench_p26_wt_random,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,18368,0,0,0,0,0,0,2093056,16.812918
23,bench_p26_wt,bench_p26_wt_random,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,18368,574736628,1117250,69998,574736628,285977229,286711808,3625281963159,21.708183
