i,suite,case,FS,SEED,SKIP_WARMUP,SIM_TIME,FILE_SIZE,NO_SET,DISK_SIZE,CHUNK,DISK_GEOMETRY,SIM_SIZE,SIZE,FILE_COUNT,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,write,4614313536,29189617,10701557,41816,1183081525,5479197184,5480906752,3600009149935,55.559575
12,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,stack,4614313536,0,0,0,0,0,0,3312,55.559768
12,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,ctx,4614313536,0,0,0,0,0,0,624,55.559815
12,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,heap,4614313536,0,0,0,0,0,0,1296,55.559861
12,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,usage,4614313536,0,0,0,0,0,0,1310720,55.559901
15,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,write,4630589504,28918859,10728232,41919,1158180569,5492854784,5494407168,3600008792603,56.861536
15,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,stack,4630589504,0,0,0,0,0,0,3312,56.861630
15,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,ctx,4630589504,0,0,0,0,0,0,624,56.861675
15,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,heap,4630589504,0,0,0,0,0,0,1296,56.861715
15,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,usage,4630589504,0,0,0,0,0,0,786432,56.861753
18,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,1073741824,64,1,0,2097152,32768,0,write,4632617024,28885662,10731516,41932,1155226033,5494536192,5496111104,3600014839843,68.368508
