i,suite,case,SIM_TIME,SIZE,NO_FRUNCATE,SKIP_WARMUP,DISK_SIZE,SIM_SIZE,SEED,FILE_SIZE,NO_SET,FS,CHUNK,FILE_COUNT,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,write,257966400,89347210,1203154,69108,89347210,276300873,283066368,3600006327547,3.379754
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,stack,257966400,0,0,0,0,0,0,3264,3.379951
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,ctx,257966400,0,0,0,0,0,0,624,3.379988
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,heap,257966400,0,0,0,0,0,0,784,3.380021
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,usage,257966400,0,0,0,0,0,0,40960,3.380059
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,write,258715968,86387406,1200116,69140,86387406,276470753,283197440,3600115531235,4.642883
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,stack,258715968,0,0,0,0,0,0,3312,4.642975
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,ctx,258715968,0,0,0,0,0,0,624,4.643014
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,heap,258715968,0,0,0,0,0,0,784,4.643048
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,usage,258715968,0,0,0,0,0,0,823296,4.643080
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,write,256323904,95622796,1210170,69041,95622796,276012258,282791936,3600044255398,5.115202
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,stack,256323904,0,0,0,0,0,0,3264,5.115288
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,ctx,256323904,0,0,0,0,0,0,624,5.115330
