i,suite,case,FILE_SIZE,SIM_SIZE,SEED,FILE_COUNT,NO_FRUNCATE,DISK_SIZE,FS,SKIP_WARMUP,DISK_GEOMETRY,SIM_TIME,SIZE,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,write,516778560,11413438,12299796,8117,5827187020,6297495552,1063911424,3600002121892,13.064737
12,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,stack,516778560,0,0,0,0,0,0,1296,13.064961
12,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,ctx,516778560,0,0,0,0,0,0,336,13.065011
12,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,heap,516778560,0,0,0,0,0,0,2696,13.065053
12,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,usage,516778560,0,0,0,0,0,0,1565490,13.065098
13,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,write,497025088,14984153,11833165,7807,7656023020,6058580480,1023279104,3600764471428,20.728796
13,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,stack,497025088,0,0,0,0,0,0,1296,20.728900
13,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,ctx,497025088,0,0,0,0,0,0,336,20.728949
13,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,heap,497025088,0,0,0,0,0,0,2696,20.728992
13,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,usage,497025088,0,0,0,0,0,0,1103387,20.729033
14,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,write,461819456,21350154,10993078,7254,10916539228,5628455936,950796288,3600004733908,29.051675
14,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,stack,461819456,0,0,0,0,0,0,1296,29.051785
14,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,ctx,461819456,0,0,0,0,0,0,336,29.051841
14,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,heap,461819456,0,0,0,0,0,0,2696,29.051886
14,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,usage,461819456,0,0,0,0,0,0,2399926,29.051938
15,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,write,404750400,31754442,9636292,6358,16245355356,4933781504,833355776,3602986477524,35.577886
15,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,stack,404750400,0,0,0,0,0,0,1296,35.577979
15,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,ctx,404750400,0,0,0,0,0,0,336,35.578022
15,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,heap,404750400,0,0,0,0,0,0,2696,35.578056
15,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,usage,404750400,0,0,0,0,0,0,3645467,35.578088
16,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,write,324442176,46255148,7718227,5097,23672279180,3951732224,668073984,3600089168996,40.149480
16,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,stack,324442176,0,0,0,0,0,0,1296,40.149580
16,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,ctx,324442176,0,0,0,0,0,0,336,40.149628
16,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,heap,324442176,0,0,0,0,0,0,2696,40.149667
16,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,usage,324442176,0,0,0,0,0,0,8526805,40.149703
17,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,write,232403008,62922711,5526015,3651,32209009708,2829319680,478543872,3600002965828,53.535068
17,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,stack,232403008,0,0,0,0,0,0,1296,53.535151
17,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,ctx,232403008,0,0,0,0,0,0,336,53.535199
17,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,heap,232403008,0,0,0,0,0,0,2696,53.535231
17,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,usage,232403008,0,0,0,0,0,0,15543604,53.535259
18,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,write,148305472,78150452,3524678,2331,40008295340,1804635136,305528832,3600316066244,67.813538
18,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,stack,148305472,0,0,0,0,0,0,1296,67.813616
18,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,ctx,148305472,0,0,0,0,0,0,336,67.813649
18,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,heap,148305472,0,0,0,0,0,0,2696,67.813676
18,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,usage,148305472,0,0,0,0,0,0,28888092,67.813703
19,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,2147483648,4,0,1,3600000000000,2097152,64,write,85983296,89910729,2047094,1352,46031546492,1048112128,177209344,3618296448308,73.791882
19,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,2147483648,4,0,1,3600000000000,2097152,64,stack,85983296,0,0,0,0,0,0,1296,73.791954
19,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,2147483648,4,0,1,3600000000000,2097152,64,ctx,85983296,0,0,0,0,0,0,336,73.791984
19,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,2147483648,4,0,1,3600000000000,2097152,64,heap,85983296,0,0,0,0,0,0,2696,73.792009
19,bench_p26_wt,bench_p26_wt_linear,64,0,42,32768,0,2147483648,4,0,1,3600000000000,2097152,64,usage,85983296,0,0,0,0,0,0,54487067,73.792032
20,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,write,21733504,50568681,7165048,2938,25872864622,3668504576,385089536,3600068495146,38.987504
20,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,stack,21733504,0,0,0,0,0,0,1616,38.987628
20,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,ctx,21733504,0,0,0,0,0,0,352,38.987678
20,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,heap,21733504,0,0,0,0,0,0,2696,38.987721
20,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,usage,21733504,0,0,0,0,0,0,2793313,38.987761
22,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,write,9978304,80228889,3256228,1340,41074468796,1667188736,175636480,3600019319540,68.922185
22,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,stack,9978304,0,0,0,0,0,0,1312,68.922295
22,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,ctx,9978304,0,0,0,0,0,0,352,68.922346
22,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,heap,9978304,0,0,0,0,0,0,2696,68.922390
22,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,usage,9978304,0,0,0,0,0,0,4064353,68.922431
21,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,write,15753088,66106475,5116861,2096,33842172635,2619832832,274726912,3600010159169,77.567567
21,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,stack,15753088,0,0,0,0,0,0,1616,77.567673
21,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,ctx,15753088,0,0,0,0,0,0,352,77.567723
21,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,heap,15753088,0,0,0,0,0,0,2696,77.567765
21,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,usage,15753088,0,0,0,0,0,0,3216993,77.567805
24,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,write,3119040,97002884,1046358,443,49664576940,535735296,58064896,3600058607556,77.693700
24,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,stack,3119040,0,0,0,0,0,0,1312,77.693798
24,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,ctx,3119040,0,0,0,0,0,0,352,77.693842
24,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,heap,3119040,0,0,0,0,0,0,2696,77.693883
24,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,usage,3119040,0,0,0,0,0,0,9148513,77.693926
23,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,write,5768704,90519941,1900436,789,46344607052,973023232,103415808,3600039619748,85.580121
23,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,stack,5768704,0,0,0,0,0,0,1312,85.580209
23,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,ctx,5768704,0,0,0,0,0,0,352,85.580261
23,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,heap,5768704,0,0,0,0,0,0,2696,85.580295
23,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,usage,5768704,0,0,0,0,0,0,5759073,85.580324
25,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,write,1620672,100670697,563536,247,51542895468,288530432,32374784,3600168614148,87.637849
25,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,stack,1620672,0,0,0,0,0,0,1312,87.637926
25,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,ctx,1620672,0,0,0,0,0,0,352,87.637963
25,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,heap,1620672,0,0,0,0,0,0,2696,87.637994
25,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,usage,1620672,0,0,0,0,0,0,15927393,87.638022
26,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,write,826752,102622364,307460,143,52542360300,157419520,18743296,3600444909444,101.743075
26,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,stack,826752,0,0,0,0,0,0,1312,101.743154
26,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,ctx,826752,0,0,0,0,0,0,352,101.743188
26,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,heap,826752,0,0,0,0,0,0,2696,101.743216
26,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,usage,826752,0,0,0,0,0,0,29485153,101.743241
27,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,2147483648,4,0,1,3600000000000,2097152,64,write,414144,103621976,175085,89,53054271372,89643520,11665408,3600269084004,110.864907
27,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,2147483648,4,0,1,3600000000000,2097152,64,stack,414144,0,0,0,0,0,0,1312,110.864993
27,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,2147483648,4,0,1,3600000000000,2097152,64,ctx,414144,0,0,0,0,0,0,352,110.865030
27,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,2147483648,4,0,1,3600000000000,2097152,64,heap,414144,0,0,0,0,0,0,2696,110.865060
27,bench_p26_wt,bench_p26_wt_random,64,0,42,32768,0,2147483648,4,0,1,3600000000000,2097152,64,usage,414144,0,0,0,0,0,0,56600673,110.865090
28,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,write,847552,137223673,91189,106,10736593410,46688768,13893632,3600283872294,20.130966
28,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,stack,847552,0,0,0,0,0,0,1552,20.131091
28,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,ctx,847552,0,0,0,0,0,0,592,20.131148
28,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,heap,847552,0,0,0,0,0,0,2696,20.131208
28,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,usage,847552,0,0,0,0,0,0,11662209,20.131253
29,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,write,805312,134567188,86114,101,14239350489,44090368,13238272,3600223262235,29.433679
29,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,stack,805312,0,0,0,0,0,0,1552,29.433793
29,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,ctx,805312,0,0,0,0,0,0,592,29.433848
29,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,heap,805312,0,0,0,0,0,0,2696,29.433896
29,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,usage,805312,0,0,0,0,0,0,11645261,29.433940
30,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,write,729408,129931263,77118,91,20364038497,39484416,11927552,3600304963123,62.605703
30,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,stack,729408,0,0,0,0,0,0,1552,62.605810
30,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,ctx,729408,0,0,0,0,0,0,592,62.605863
30,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,heap,729408,0,0,0,0,0,0,2696,62.605910
30,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,usage,729408,0,0,0,0,0,0,11675749,62.605954
31,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,write,606400,122898254,63106,76,29664510579,32310272,9961472,3600503921289,80.997817
31,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,stack,606400,0,0,0,0,0,0,1552,80.997931
31,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,ctx,606400,0,0,0,0,0,0,592,81.006226
31,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,heap,606400,0,0,0,0,0,0,2696,81.006285
31,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,usage,606400,0,0,0,0,0,0,11932895,81.006328
32,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,write,435776,114785305,44184,55,40424179307,22622208,7208960,3600600656369,102.222034
32,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,stack,435776,0,0,0,0,0,0,1552,102.222132
32,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,ctx,435776,0,0,0,0,0,0,592,102.222178
32,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,heap,435776,0,0,0,0,0,0,2696,102.222216
32,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,usage,435776,0,0,0,0,0,0,13224825,102.222253
33,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,write,265984,108823546,26250,34,48405733089,13440000,4456448,3601037321907,122.080166
33,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,stack,265984,0,0,0,0,0,0,1552,122.080265
33,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,ctx,265984,0,0,0,0,0,0,592,122.088568
33,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,heap,265984,0,0,0,0,0,0,2696,122.088635
33,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,usage,265984,0,0,0,0,0,0,17736181,122.088677
35,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,2147483648,4,0,1,3600000000000,2097152,64,write,79552,105382231,7584,11,53231075242,3883008,1441792,3603254450590,140.176564
35,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,2147483648,4,0,1,3600000000000,2097152,64,stack,79552,0,0,0,0,0,0,1552,140.176641
35,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,2147483648,4,0,1,3600000000000,2097152,64,ctx,79552,0,0,0,0,0,0,592,140.176685
35,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,2147483648,4,0,1,3600000000000,2097152,64,heap,79552,0,0,0,0,0,0,2696,140.176716
35,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,2147483648,4,0,1,3600000000000,2097152,64,usage,79552,0,0,0,0,0,0,55713381,140.176743
34,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,write,146240,106150898,14115,20,52005075183,7226880,2621440,3600564247485,141.042550
34,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,stack,146240,0,0,0,0,0,0,1552,141.042615
34,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,ctx,146240,0,0,0,0,0,0,592,141.042645
34,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,heap,146240,0,0,0,0,0,0,2696,141.042670
34,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,usage,146240,0,0,0,0,0,0,29591789,141.042693
36,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,write,79888704,11709255,12284571,6572,5812415107,6289700352,861405184,3600001694137,10.300173
36,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,stack,79888704,0,0,0,0,0,0,1648,10.300281
36,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,ctx,79888704,0,0,0,0,0,0,384,10.300329
36,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,heap,79888704,0,0,0,0,0,0,2696,10.300372
36,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,usage,79888704,0,0,0,0,0,0,2992501,10.300411
38,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,write,96331712,17887829,11454982,6694,9142055404,5864950784,877395968,3600001325188,15.477363
38,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,stack,96331712,0,0,0,0,0,0,1344,15.477474
38,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,ctx,96331712,0,0,0,0,0,0,384,15.477527
38,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,heap,96331712,0,0,0,0,0,0,2696,15.477574
