i,suite,case,FS,DISK_GEOMETRY,FILE_COUNT,CHUNK,FILE_SIZE,SEED,SIZE,NO_FRUNCATE,SIM_SIZE,SIM_TIME,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,write,51545664,33199892736,2519758,28017,33199892736,162912777,114757632,3600044126379,27.812819
12,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,stack,51545664,0,0,0,0,0,0,1296,27.813042
12,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,ctx,51545664,0,0,0,0,0,0,336,27.813094
12,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,heap,51545664,0,0,0,0,0,0,1160,27.813138
12,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,usage,51545664,0,0,0,0,0,0,2842958,27.813190
13,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,write,37748800,48432180480,1852945,20521,48432180480,119345142,84054016,3604387373634,43.602627
13,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,stack,37748800,0,0,0,0,0,0,1296,43.602747
13,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,ctx,37748800,0,0,0,0,0,0,336,43.602806
13,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,heap,37748800,0,0,0,0,0,0,1160,43.602850
13,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,usage,37748800,0,0,0,0,0,0,3210729,43.602891
14,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,write,24751936,62825333248,1200547,13450,62825333248,78187703,55091200,3600103289493,83.097969
14,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,stack,24751936,0,0,0,0,0,0,1296,83.098087
