i,suite,case,FILE_COUNT,FILE_SIZE,SIM_SIZE,SKIP_WARMUP,SIZE,DISK_GEOMETRY,CHUNK,DISK_SIZE,NO_FRUNCATE,SEED,SIM_TIME,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,write,6495132736,3368,13469398,52615,1724416,6896331776,6896353280,3600001045504,43.637120
13,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,stack,6495132736,0,0,0,0,0,0,8704,43.637350
13,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,ctx,6495132736,0,0,0,0,0,0,7168,43.637408
13,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,heap,6495132736,0,0,0,0,0,0,65348,43.637465
13,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,usage,6495132736,0,0,0,0,0,0,2731504,43.637513
14,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,67108864,0,42,3600000000000,5,write,6495211584,3234,13469423,52614,1655808,6896344576,6896222208,3600000972288,43.711887
14,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,67108864,0,42,3600000000000,5,stack,6495211584,0,0,0,0,0,0,8704,43.711994
14,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,67108864,0,42,3600000000000,5,ctx,6495211584,0,0,0,0,0,0,7168,43.712050
14,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,67108864,0,42,3600000000000,5,heap,6495211584,0,0,0,0,0,0,75652,43.712098
14,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,67108864,0,42,3600000000000,5,usage,6495211584,0,0,0,0,0,0,4532512,43.712143
16,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,write,6495268160,3133,13469436,52614,1604096,6896351232,6896222208,3600000882176,45.050091
16,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,stack,6495268160,0,0,0,0,0,0,8704,45.050220
16,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,ctx,6495268160,0,0,0,0,0,0,7168,45.050279
16,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,heap,6495268160,0,0,0,0,0,0,137476,45.050327
16,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,usage,6495268160,0,0,0,0,0,0,14908032,45.050373
12,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,16777216,0,42,3600000000000,5,write,6494982976,3634,13469362,52615,1860608,6896313344,6896353280,3600000825344,61.287709
12,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,16777216,0,42,3600000000000,5,stack,6494982976,0,0,0,0,0,0,8704,61.287844
12,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,16777216,0,42,3600000000000,5,ctx,6494982976,0,0,0,0,0,0,7168,61.287899
12,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,16777216,0,42,3600000000000,5,heap,6494982976,0,0,0,0,0,0,60196,61.287946
12,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,16777216,0,42,3600000000000,5,usage,6494982976,0,0,0,0,0,0,1720640,61.287992
15,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,134217728,0,42,3600000000000,5,write,6495245824,3166,13469424,52615,1620992,6896345088,6896353280,3600000865280,62.505198
15,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,134217728,0,42,3600000000000,5,stack,6495245824,0,0,0,0,0,0,8704,62.505310
15,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,134217728,0,42,3600000000000,5,ctx,6495245824,0,0,0,0,0,0,7168,62.513627
15,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,134217728,0,42,3600000000000,5,heap,6495245824,0,0,0,0,0,0,96260,62.513680
15,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,134217728,0,42,3600000000000,5,usage,6495245824,0,0,0,0,0,0,8004080,62.513726
17,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,write,6495274112,3116,13469431,52615,1595392,6896348672,6896353280,3600000967168,64.347369
17,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,stack,6495274112,0,0,0,0,0,0,8704,64.347458
17,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,ctx,6495274112,0,0,0,0,0,0,7168,64.347513
17,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,heap,6495274112,0,0,0,0,0,0,227012,64.347548
