i,suite,case,NO_FRUNCATE,FILE_SIZE,SEED,DISK_GEOMETRY,FS,DISK_SIZE,FILE_COUNT,SIM_SIZE,SIM_TIME,SIZE,SKIP_WARMUP,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,33554432,32768,0,3600000000000,2097152,0,64,write,243061312,65024,1120622,69917,65024,286879232,286380032,3600016577536,1.859028
13,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,33554432,32768,0,3600000000000,2097152,0,64,stack,243061312,0,0,0,0,0,0,8704,1.859467
13,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,33554432,32768,0,3600000000000,2097152,0,64,ctx,243061312,0,0,0,0,0,0,7168,1.859548
13,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,33554432,32768,0,3600000000000,2097152,0,64,heap,243061312,0,0,0,0,0,0,163892,1.859600
13,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,33554432,32768,0,3600000000000,2097152,0,64,usage,243061312,0,0,0,0,0,0,6259552,1.859655
14,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,write,243068224,62464,1120642,69917,62464,286884352,286380032,3600024574976,2.017736
14,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,stack,243068224,0,0,0,0,0,0,8704,2.017881
14,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,ctx,243068224,0,0,0,0,0,0,7168,2.017943
14,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,heap,243068224,0,0,0,0,0,0,305204,2.017990
14,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,usage,243068224,0,0,0,0,0,0,10532624,2.018034
15,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,write,243071680,60928,1120650,69917,60928,286886400,286380032,3600027753472,3.094571
15,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,stack,243071680,0,0,0,0,0,0,8704,3.094716
15,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,ctx,243071680,0,0,0,0,0,0,7168,3.094772
15,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,heap,243071680,0,0,0,0,0,0,587828,3.094824
15,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,usage,243071680,0,0,0,0,0,0,19075792,3.094865
12,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,16777216,32768,0,3600000000000,2097152,0,64,write,243055360,70656,1120618,69917,70656,286878208,286380032,3600015182848,3.261696
12,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,16777216,32768,0,3600000000000,2097152,0,64,stack,243055360,0,0,0,0,0,0,8704,3.261855
12,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,16777216,32768,0,3600000000000,2097152,0,64,ctx,243055360,0,0,0,0,0,0,7168,3.261928
12,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,16777216,32768,0,3600000000000,2097152,0,64,heap,243055360,0,0,0,0,0,0,93236,3.261981
12,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,16777216,32768,0,3600000000000,2097152,0,64,usage,243055360,0,0,0,0,0,0,4120784,3.262030
16,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,268435456,32768,0,3600000000000,2097152,0,64,write,243069248,60416,1120638,69917,60416,286883328,286380032,3600022873088,3.302217
16,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,268435456,32768,0,3600000000000,2097152,0,64,stack,243069248,0,0,0,0,0,0,8704,3.302341
16,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,268435456,32768,0,3600000000000,2097152,0,64,ctx,243069248,0,0,0,0,0,0,7168,3.302403
16,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,268435456,32768,0,3600000000000,2097152,0,64,heap,243069248,0,0,0,0,0,0,1153076,3.302453
16,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,268435456,32768,0,3600000000000,2097152,0,64,usage,243069248,0,0,0,0,0,0,36143776,3.302498
17,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,536870912,32768,0,3600000000000,2097152,0,64,write,243070720,59904,1120642,69917,59904,286884352,286380032,3600024472576,4.062325
17,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,536870912,32768,0,3600000000000,2097152,0,64,stack,243070720,0,0,0,0,0,0,8704,4.062435
17,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,536870912,32768,0,3600000000000,2097152,0,64,ctx,243070720,0,0,0,0,0,0,7168,4.062493
17,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,536870912,32768,0,3600000000000,2097152,0,64,heap,243070720,0,0,0,0,0,0,2283572,4.062530
17,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,536870912,32768,0,3600000000000,2097152,0,64,usage,243070720,0,0,0,0,0,0,70291152,4.062563
18,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,1073741824,32768,0,3600000000000,2097152,0,64,write,243069248,59904,1120634,69917,59904,286882304,286380032,3600021232640,5.517093
18,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,1073741824,32768,0,3600000000000,2097152,0,64,stack,243069248,0,0,0,0,0,0,8704,5.517190
18,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,1073741824,32768,0,3600000000000,2097152,0,64,ctx,243069248,0,0,0,0,0,0,7168,5.517231
18,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,1073741824,32768,0,3600000000000,2097152,0,64,heap,243069248,0,0,0,0,0,0,4544564,5.517265
18,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,1073741824,32768,0,3600000000000,2097152,0,64,usage,243069248,0,0,0,0,0,0,138576976,5.517297
19,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,2147483648,32768,0,3600000000000,2097152,0,64,write,243069696,59904,1120638,69917,59904,286883328,286380032,3600022852608,7.358730
19,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,2147483648,32768,0,3600000000000,2097152,0,64,stack,243069696,0,0,0,0,0,0,8704,7.358814
19,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,2147483648,32768,0,3600000000000,2097152,0,64,ctx,243069696,0,0,0,0,0,0,7168,7.358849
