i,suite,case,FILE_SIZE,NO_SET,DISK_GEOMETRY,NO_FRUNCATE,SIM_SIZE,FS,CHUNK,SIZE,SIM_TIME,SKIP_WARMUP,FILE_COUNT,BLOCK_SIZE,DISK_SIZE,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,write,5959603200,14991206,11662587,1457824,6030911324,5971244544,5971247104,3600000884180,49.250173
12,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,stack,5959603200,0,0,0,0,0,0,2000,49.250397
12,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,ctx,5959603200,0,0,0,0,0,0,400,49.250454
12,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,heap,5959603200,0,0,0,0,0,0,1552,49.250509
12,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,usage,5959603200,0,0,0,0,0,0,1617920,49.250560
17,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,131072,134217728,42,write,6098520064,11970011,11914082,49437,6101224852,6100009984,6479806464,3600000421372,49.338095
17,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,131072,134217728,42,stack,6098520064,0,0,0,0,0,0,1856,49.338192
17,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,131072,134217728,42,ctx,6098520064,0,0,0,0,0,0,400,49.338248
17,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,131072,134217728,42,heap,6098520064,0,0,0,0,0,0,1552,49.338300
17,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,131072,134217728,42,usage,6098520064,0,0,0,0,0,0,393216,49.338352
15,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,write,6097075072,12172408,11911260,188975,6104961320,6098565120,6192332800,3600000871928,52.407509
15,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,stack,6097075072,0,0,0,0,0,0,2000,52.407619
15,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,ctx,6097075072,0,0,0,0,0,0,400,52.407675
15,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,heap,6097075072,0,0,0,0,0,0,1552,52.407730
15,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,usage,6097075072,0,0,0,0,0,0,786432,52.407776
20,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,1048576,134217728,42,write,6030237696,11859777,11780685,69008,6041158500,6031710720,9045016576,3600000474732,68.385134
20,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,1048576,134217728,42,stack,6030237696,0,0,0,0,0,0,1552,68.385248
20,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,1048576,134217728,42,ctx,6030237696,0,0,0,0,0,0,400,68.385303
20,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,1048576,134217728,42,heap,6030237696,0,0,0,0,0,0,1552,68.385351
20,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,1048576,134217728,42,usage,6030237696,0,0,0,0,0,0,3145728,68.385396
19,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,524288,134217728,42,write,6060244992,12097766,11839308,57796,6092642344,6061725696,7575437312,3600001389304,68.697514
19,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,524288,134217728,42,stack,6060244992,0,0,0,0,0,0,1552,68.697697
19,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,524288,134217728,42,ctx,6060244992,0,0,0,0,0,0,400,68.697750
19,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,524288,134217728,42,heap,6060244992,0,0,0,0,0,0,1552,68.697796
19,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,524288,134217728,42,usage,6060244992,0,0,0,0,0,0,3145728,68.697840
16,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,65536,134217728,42,write,6100807680,12035085,11918552,96000,6104692860,6102298624,6291456000,3600000655668,68.874056
16,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,65536,134217728,42,stack,6100807680,0,0,0,0,0,0,1856,68.874144
16,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,65536,134217728,42,ctx,6100807680,0,0,0,0,0,0,400,68.874186
16,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,65536,134217728,42,heap,6100807680,0,0,0,0,0,0,1552,68.874222
16,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,65536,134217728,42,usage,6100807680,0,0,0,0,0,0,327680,68.874255
13,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,8192,134217728,42,write,6046363904,13214689,11820839,740965,6088726260,6052269568,6069985280,3600000445980,69.086803
13,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,8192,134217728,42,stack,6046363904,0,0,0,0,0,0,2000,69.086892
13,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,8192,134217728,42,ctx,6046363904,0,0,0,0,0,0,400,69.086936
13,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,8192,134217728,42,heap,6046363904,0,0,0,0,0,0,1552,69.086974
13,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,8192,134217728,42,usage,6046363904,0,0,0,0,0,0,311296,69.087011
14,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,16384,134217728,42,write,6081497280,12502878,11883727,374085,6103653228,6084468224,6129008640,3600000660228,71.864594
14,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,16384,134217728,42,stack,6081497280,0,0,0,0,0,0,2000,71.864680
14,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,16384,134217728,42,ctx,6081497280,0,0,0,0,0,0,400,71.864719
14,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,16384,134217728,42,heap,6081497280,0,0,0,0,0,0,1552,71.864753
14,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,16384,134217728,42,usage,6081497280,0,0,0,0,0,0,1933312,71.864785
18,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,262144,134217728,42,write,6090101248,11924069,11897635,52270,6092219700,6091589120,6851133440,3600000779484,72.065754
18,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,262144,134217728,42,stack,6090101248,0,0,0,0,0,0,1856,72.065826
18,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,262144,134217728,42,ctx,6090101248,0,0,0,0,0,0,400,72.065857
18,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,262144,134217728,42,heap,6090101248,0,0,0,0,0,0,1552,72.065881
18,bench_p26_wt,bench_p26_wt_linear,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,262144,134217728,42,usage,6090101248,0,0,0,0,0,0,2621440,72.065904
22,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,8192,134217728,42,write,322432,26883752,10250958,642147,10553538494,5248490496,5260468224,3601104025370,274.613974
22,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,8192,134217728,42,stack,322432,0,0,0,0,0,0,1984,274.614083
22,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,8192,134217728,42,ctx,322432,0,0,0,0,0,0,384,274.614137
22,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,8192,134217728,42,heap,322432,0,0,0,0,0,0,1552,274.614184
22,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,8192,134217728,42,usage,322432,0,0,0,0,0,0,2138112,274.614228
26,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,131072,134217728,42,write,318016,21571114,10701957,43010,10959339403,5479401984,5637406720,3600977053009,282.482064
26,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,131072,134217728,42,stack,318016,0,0,0,0,0,0,1840,282.482184
26,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,131072,134217728,42,ctx,318016,0,0,0,0,0,0,384,282.482237
26,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,131072,134217728,42,heap,318016,0,0,0,0,0,0,1552,282.482284
26,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,131072,134217728,42,usage,318016,0,0,0,0,0,0,2490368,282.482329
24,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,write,331712,22339682,10642460,168105,10906551424,5448939520,5508464640,3601483808128,294.370759
24,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,stack,331712,0,0,0,0,0,0,1984,294.370863
24,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,ctx,331712,0,0,0,0,0,0,384,294.370916
24,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,heap,331712,0,0,0,0,0,0,1552,294.370962
24,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,usage,331712,0,0,0,0,0,0,2260992,294.371005
29,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,1048576,134217728,42,write,225216,21481081,10715251,42056,10976882317,5486208512,5512364032,3600672986743,372.126070
29,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,1048576,134217728,42,stack,225216,0,0,0,0,0,0,1536,372.126174
29,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,1048576,134217728,42,ctx,225216,0,0,0,0,0,0,384,372.126232
29,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,1048576,134217728,42,heap,225216,0,0,0,0,0,0,1552,372.126276
29,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,1048576,134217728,42,usage,225216,0,0,0,0,0,0,4194304,372.126316
21,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,write,307712,32668903,9750181,1220532,10090539898,4992092672,4999299072,3600571688974,374.855805
21,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,stack,307712,0,0,0,0,0,0,1984,374.855900
21,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,ctx,307712,0,0,0,0,0,0,384,374.855949
21,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,heap,307712,0,0,0,0,0,0,1552,374.855991
21,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,usage,307712,0,0,0,0,0,0,2121728,374.856032
28,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,524288,134217728,42,write,269696,21600912,10698386,43016,10976965441,5477573632,5638193152,3601129085395,377.603959
28,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,524288,134217728,42,stack,269696,0,0,0,0,0,0,1536,377.604045
28,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,524288,134217728,42,ctx,269696,0,0,0,0,0,0,384,377.604086
28,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,524288,134217728,42,heap,269696,0,0,0,0,0,0,1552,377.604120
28,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,524288,134217728,42,usage,269696,0,0,0,0,0,0,3670016,377.604152
25,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,65536,134217728,42,write,327872,21799140,10689132,85014,10948292126,5472835584,5571477504,3602053018682,379.336115
25,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,65536,134217728,42,stack,327872,0,0,0,0,0,0,1840,379.336194
25,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,65536,134217728,42,ctx,327872,0,0,0,0,0,0,384,379.336233
25,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,65536,134217728,42,heap,327872,0,0,0,0,0,0,1552,379.336275
25,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,65536,134217728,42,usage,327872,0,0,0,0,0,0,2293760,379.336316
27,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,262144,134217728,42,write,300544,21474401,10705524,43496,10962001420,5481228288,5701107712,3600532263652,380.137077
27,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,262144,134217728,42,stack,300544,0,0,0,0,0,0,1840,380.137152
27,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,262144,134217728,42,ctx,300544,0,0,0,0,0,0,384,380.137187
27,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,262144,134217728,42,heap,300544,0,0,0,0,0,0,1552,380.137214
27,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,262144,134217728,42,usage,300544,0,0,0,0,0,0,2883584,380.137239
23,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,16384,134217728,42,write,330752,23661689,10527819,330714,10806575598,5390243328,5418418176,3600964245162,390.691908
23,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,16384,134217728,42,stack,330752,0,0,0,0,0,0,1984,390.691972
23,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,16384,134217728,42,ctx,330752,0,0,0,0,0,0,384,390.692003
23,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,16384,134217728,42,heap,330752,0,0,0,0,0,0,1552,390.692028
23,bench_p26_wt,bench_p26_wt_random,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,16384,134217728,42,usage,330752,0,0,0,0,0,0,2179072,390.692051
37,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,524288,134217728,42,write,250368,162333552,8136,72,3335700604,4165632,9437184,4055141218612,26.077553
37,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,524288,134217728,42,stack,250368,0,0,0,0,0,0,2288,26.077659
37,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,524288,134217728,42,ctx,250368,0,0,0,0,0,0,640,26.077711
37,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,524288,134217728,42,heap,250368,0,0,0,0,0,0,1552,26.077759
37,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,524288,134217728,42,usage,250368,0,0,0,0,0,0,12582912,26.077801
35,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,131072,134217728,42,write,638976,139906889,22822,133,8661037096,11684864,17432576,3609097123576,28.315972
35,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,131072,134217728,42,stack,638976,0,0,0,0,0,0,2288,28.316075
35,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,131072,134217728,42,ctx,638976,0,0,0,0,0,0,640,28.316131
35,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,131072,134217728,42,heap,638976,0,0,0,0,0,0,1552,28.316177
35,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,131072,134217728,42,usage,638976,0,0,0,0,0,0,8912896,28.316225
34,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,65536,134217728,42,write,641216,143308252,27499,290,5585959386,14079488,19005440,3635500211502,39.288116
34,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,65536,134217728,42,stack,641216,0,0,0,0,0,0,2288,39.288219
34,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,65536,134217728,42,ctx,641216,0,0,0,0,0,0,640,39.288280
34,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,65536,134217728,42,heap,641216,0,0,0,0,0,0,1552,39.288325
34,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,65536,134217728,42,usage,641216,0,0,0,0,0,0,6291456,39.288367
36,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,262144,134217728,42,write,492416,145182806,16197,94,6671139410,8292864,12320768,3699153582614,39.928508
36,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,262144,134217728,42,stack,492416,0,0,0,0,0,0,2288,39.928609
36,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,262144,134217728,42,ctx,492416,0,0,0,0,0,0,640,39.928660
36,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,262144,134217728,42,heap,492416,0,0,0,0,0,0,1552,39.928703
36,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,262144,134217728,42,usage,492416,0,0,0,0,0,0,11534336,39.928746
38,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,1048576,134217728,42,write,259264,410212075,8266,96,5393817448,4232192,12582912,10186188951736,42.660703
38,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,1048576,134217728,42,stack,259264,0,0,0,0,0,0,2288,42.660788
38,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,1048576,134217728,42,ctx,259264,0,0,0,0,0,0,640,42.660829
38,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,1048576,134217728,42,heap,259264,0,0,0,0,0,0,1552,42.660863
38,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,1048576,134217728,42,usage,259264,0,0,0,0,0,0,4194304,42.660894
33,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,write,775744,140987979,39623,769,6554312842,20286976,25198592,3600115991614,43.709055
33,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,stack,775744,0,0,0,0,0,0,2288,43.709136
33,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,ctx,775744,0,0,0,0,0,0,640,43.709177
33,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,heap,775744,0,0,0,0,0,0,1552,43.709211
33,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,usage,775744,0,0,0,0,0,0,4587520,43.709243
32,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,16384,134217728,42,write,1228480,134848429,59871,2303,14266709828,30653952,37732352,3601210016780,64.660046
32,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,16384,134217728,42,stack,1228480,0,0,0,0,0,0,2288,64.660126
32,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,16384,134217728,42,ctx,1228480,0,0,0,0,0,0,640,64.660196
32,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,16384,134217728,42,heap,1228480,0,0,0,0,0,0,1552,64.660231
32,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,16384,134217728,42,usage,1228480,0,0,0,0,0,0,7012352,64.660261
31,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,8192,134217728,42,write,1620992,127327240,73696,5597,23749554256,37732352,45850624,3600253842928,107.685082
31,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,8192,134217728,42,stack,1620992,0,0,0,0,0,0,2288,107.685156
31,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,8192,134217728,42,ctx,1620992,0,0,0,0,0,0,640,107.685190
31,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,8192,134217728,42,heap,1620992,0,0,0,0,0,0,1552,107.685217
31,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,8192,134217728,42,usage,1620992,0,0,0,0,0,0,8716288,107.685243
30,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,write,1804096,122089387,76493,11488,30475945194,39164416,47054848,3600073915230,118.451663
30,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,stack,1804096,0,0,0,0,0,0,2288,118.451739
30,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,ctx,1804096,0,0,0,0,0,0,640,118.451782
30,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,heap,1804096,0,0,0,0,0,0,1552,118.451812
30,bench_p26_wt,bench_p26_wt_many,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,usage,1804096,0,0,0,0,0,0,9404416,118.451840
39,bench_p26_wt,bench_p26_wt_logging,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,write,66757120,76307635,5867676,1470602,5850439033,3004250112,6023585792,3600003373051,115.730942
39,bench_p26_wt,bench_p26_wt_logging,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,stack,66757120,0,0,0,0,0,0,2016,115.731049
39,bench_p26_wt,bench_p26_wt_logging,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,ctx,66757120,0,0,0,0,0,0,400,115.731100
39,bench_p26_wt,bench_p26_wt_logging,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,heap,66757120,0,0,0,0,0,0,1552,115.731144
39,bench_p26_wt,bench_p26_wt_logging,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,4096,134217728,42,usage,66757120,0,0,0,0,0,0,3874816,115.731186
42,bench_p26_wt,bench_p26_wt_logging,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,write,18166144,32395121,9537742,288719,9794933708,4883323904,9460744192,3600002616356,173.304407
42,bench_p26_wt,bench_p26_wt_logging,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,stack,18166144,0,0,0,0,0,0,2000,173.304514
42,bench_p26_wt,bench_p26_wt_logging,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,ctx,18166144,0,0,0,0,0,0,400,173.304567
42,bench_p26_wt,bench_p26_wt_logging,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,heap,18166144,0,0,0,0,0,0,1552,173.304615
42,bench_p26_wt,bench_p26_wt_logging,64,0,1,0,0,2,64,2097152,3600000000000,0,32768,32768,134217728,42,usage,18166144,0,0,0,0,0,0,3670016,173.304664
