i,suite,case,SKIP_WARMUP,CHUNK,FS,SEED,SIM_TIME,SIM_SIZE,FILE_SIZE,FILE_COUNT,SIZE,PROG_SIZE,NO_FRUNCATE,DISK_GEOMETRY,NO_SET,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,1,0,1,0,134217728,write,3167761408,13699152,12375581,25679,3186277682,3167948784,3365797888,3600000797062,48.428396
12,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,1,0,1,0,134217728,stack,3167761408,0,0,0,0,0,0,1536,48.428628
12,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,1,0,1,0,134217728,ctx,3167761408,0,0,0,0,0,0,400,48.428690
12,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,1,0,1,0,134217728,heap,3167761408,0,0,0,0,0,0,784,48.428744
12,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,1,0,1,0,134217728,usage,3167761408,0,0,0,0,0,0,1441792,48.428793
17,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,32,0,1,0,134217728,write,3167910592,13692900,12376163,25680,3186431340,3168104032,3365928960,3600000399396,48.800411
17,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,32,0,1,0,134217728,stack,3167910592,0,0,0,0,0,0,1536,48.800589
17,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,32,0,1,0,134217728,ctx,3167910592,0,0,0,0,0,0,400,48.800651
17,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,32,0,1,0,134217728,heap,3167910592,0,0,0,0,0,0,784,48.800705
17,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,32,0,1,0,134217728,usage,3167910592,0,0,0,0,0,0,1572864,48.800756
15,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,8,0,1,0,134217728,write,3167901632,13693266,12376128,25680,3186423960,3168095056,3365928960,3600000338488,50.314541
15,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,8,0,1,0,134217728,stack,3167901632,0,0,0,0,0,0,1536,50.314727
15,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,8,0,1,0,134217728,ctx,3167901632,0,0,0,0,0,0,400,50.314786
15,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,8,0,1,0,134217728,heap,3167901632,0,0,0,0,0,0,784,50.314837
