i,suite,case,SEED,DISK_SIZE,NO_FRUNCATE,SIM_TIME,DISK_GEOMETRY,FS,FILE_SIZE,CHUNK,READ_SIZE,NO_SET,FILE_COUNT,SKIP_WARMUP,SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
21,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,512,0,32768,0,2097152,0,write,6098025408,11962427,11913116,49432,6124762624,6099515392,6479151104,3600000666112,87.238354
21,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,512,0,32768,0,2097152,0,stack,6098025408,0,0,0,0,0,0,1856,87.238668
21,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,512,0,32768,0,2097152,0,ctx,6098025408,0,0,0,0,0,0,400,87.238729
21,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,512,0,32768,0,2097152,0,heap,6098025408,0,0,0,0,0,0,1552,87.238780
21,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,512,0,32768,0,2097152,0,usage,6098025408,0,0,0,0,0,0,1966080,87.238830
18,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,64,0,32768,0,2097152,0,write,6098694656,11964138,11914424,49438,6104062976,6100185088,6479937536,3600000754688,87.289473
18,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,64,0,32768,0,2097152,0,stack,6098694656,0,0,0,0,0,0,1856,87.289613
18,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,64,0,32768,0,2097152,0,ctx,6098694656,0,0,0,0,0,0,400,87.289673
18,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,64,0,32768,0,2097152,0,heap,6098694656,0,0,0,0,0,0,1552,87.289723
18,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,64,0,32768,0,2097152,0,usage,6098694656,0,0,0,0,0,0,524288,87.289773
15,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,8,0,32768,0,2097152,0,write,6098554368,11969121,11914149,49437,6101465424,6100044288,6479806464,3600000511728,87.374331
15,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,8,0,32768,0,2097152,0,stack,6098554368,0,0,0,0,0,0,1856,87.374433
15,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,8,0,32768,0,2097152,0,ctx,6098554368,0,0,0,0,0,0,400,87.374490
15,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,8,0,32768,0,2097152,0,heap,6098554368,0,0,0,0,0,0,1552,87.374542
15,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,8,0,32768,0,2097152,0,usage,6098554368,0,0,0,0,0,0,393216,87.374590
13,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,2,0,32768,0,2097152,0,write,6098520064,11970011,11914082,49437,6101224852,6100009984,6479806464,3600000421372,89.113237
13,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,2,0,32768,0,2097152,0,stack,6098520064,0,0,0,0,0,0,1856,89.113339
13,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,2,0,32768,0,2097152,0,ctx,6098520064,0,0,0,0,0,0,400,89.113396
13,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,2,0,32768,0,2097152,0,heap,6098520064,0,0,0,0,0,0,1552,89.113444
13,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,2,0,32768,0,2097152,0,usage,6098520064,0,0,0,0,0,0,393216,89.113491
14,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,4,0,32768,0,2097152,0,write,6098520064,11970011,11914082,49437,6101229496,6100009984,6479806464,3600000509608,89.544809
14,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,4,0,32768,0,2097152,0,stack,6098520064,0,0,0,0,0,0,1856,89.544917
14,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,4,0,32768,0,2097152,0,ctx,6098520064,0,0,0,0,0,0,400,89.544973
14,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,4,0,32768,0,2097152,0,heap,6098520064,0,0,0,0,0,0,1552,89.545021
14,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,4,0,32768,0,2097152,0,usage,6098520064,0,0,0,0,0,0,393216,89.545072
19,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,128,0,32768,0,2097152,0,write,6098614272,11963593,11914266,49437,6107014784,6100104192,6479806464,3600000464768,90.230237
19,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,128,0,32768,0,2097152,0,stack,6098614272,0,0,0,0,0,0,1856,90.230431
19,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,128,0,32768,0,2097152,0,ctx,6098614272,0,0,0,0,0,0,400,90.230487
19,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,128,0,32768,0,2097152,0,heap,6098614272,0,0,0,0,0,0,1552,90.230536
19,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,128,0,32768,0,2097152,0,usage,6098614272,0,0,0,0,0,0,393216,90.230581
16,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,16,0,32768,0,2097152,0,write,6098617344,11967469,11914272,49437,6101921152,6100107264,6479806464,3600000499840,90.707150
16,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,16,0,32768,0,2097152,0,stack,6098617344,0,0,0,0,0,0,1856,90.707336
16,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,16,0,32768,0,2097152,0,ctx,6098617344,0,0,0,0,0,0,400,90.707391
16,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,16,0,32768,0,2097152,0,heap,6098617344,0,0,0,0,0,0,1552,90.707438
16,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,16,0,32768,0,2097152,0,usage,6098617344,0,0,0,0,0,0,393216,90.707482
17,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,32,0,32768,0,2097152,0,write,6098694656,11965299,11914424,49438,6102559008,6100185088,6479937536,3600000712032,91.361185
17,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,32,0,32768,0,2097152,0,stack,6098694656,0,0,0,0,0,0,1856,91.361284
17,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,32,0,32768,0,2097152,0,ctx,6098694656,0,0,0,0,0,0,400,91.361329
17,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,32,0,32768,0,2097152,0,heap,6098694656,0,0,0,0,0,0,1552,91.361368
17,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,32,0,32768,0,2097152,0,usage,6098694656,0,0,0,0,0,0,524288,91.361403
20,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,256,0,32768,0,2097152,0,write,6098420160,11963199,11913887,49435,6112930816,6099910144,6479544320,3600000871936,91.483969
20,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,256,0,32768,0,2097152,0,stack,6098420160,0,0,0,0,0,0,1856,91.484113
20,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,256,0,32768,0,2097152,0,ctx,6098420160,0,0,0,0,0,0,400,91.484155
