i,suite,case,SIZE,SIM_SIZE,DISK_SIZE,CHUNK,NO_FRUNCATE,SKIP_WARMUP,FILE_COUNT,SIM_TIME,FILE_SIZE,NO_SET,SEED,DISK_GEOMETRY,BLOCK_SIZE,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
17,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,131072,2,write,270762752,272389810,1057799,70240,272389810,270778828,287703040,3600000985844,3.230179
17,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,131072,2,stack,270762752,0,0,0,0,0,0,1536,3.230395
17,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,131072,2,ctx,270762752,0,0,0,0,0,0,400,3.230453
17,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,131072,2,heap,270762752,0,0,0,0,0,0,784,3.230509
17,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,131072,2,usage,270762752,0,0,0,0,0,0,524288,3.230560
14,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,16384,2,write,283574080,284239286,1108255,69776,284239286,283712068,285802496,3600030178428,3.392171
14,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,16384,2,stack,283574080,0,0,0,0,0,0,1856,3.392275
14,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,16384,2,ctx,283574080,0,0,0,0,0,0,400,3.392333
14,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,16384,2,heap,283574080,0,0,0,0,0,0,784,3.392380
14,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,16384,2,usage,283574080,0,0,0,0,0,0,507904,3.392428
19,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,524288,2,write,234406400,234519222,915764,71552,234519222,234409600,293076992,3600001203184,3.747488
19,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,524288,2,stack,234406400,0,0,0,0,0,0,1536,3.747608
19,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,524288,2,ctx,234406400,0,0,0,0,0,0,400,3.747672
19,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,524288,2,heap,234406400,0,0,0,0,0,0,784,3.747720
19,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,524288,2,usage,234406400,0,0,0,0,0,0,3145728,3.747769
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,write,199229440,199262994,778337,72960,199262994,199230656,298844160,3606292271120,4.106631
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,stack,199229440,0,0,0,0,0,0,1536,4.106735
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,ctx,199229440,0,0,0,0,0,0,400,4.106799
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,heap,199229440,0,0,0,0,0,0,784,4.106848
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,usage,199229440,0,0,0,0,0,0,5242880,4.106898
18,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,262144,2,write,257478144,257885182,1005899,70720,257885182,257485580,289669120,3600000940692,4.416052
18,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,262144,2,stack,257478144,0,0,0,0,0,0,1536,4.416144
18,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,262144,2,ctx,257478144,0,0,0,0,0,0,400,4.416189
18,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,262144,2,heap,257478144,0,0,0,0,0,0,784,4.416225
18,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,262144,2,usage,257478144,0,0,0,0,0,0,2359296,4.416260
12,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,write,284971520,287042694,1115347,69710,287042694,285527628,285532160,3600044606868,4.463612
12,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,stack,284971520,0,0,0,0,0,0,2000,4.463681
12,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,ctx,284971520,0,0,0,0,0,0,400,4.463726
12,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,heap,284971520,0,0,0,0,0,0,784,4.463763
12,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,usage,284971520,0,0,0,0,0,0,1880064,4.463798
15,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,write,281673600,281851406,1100559,69848,281851406,281741900,286097408,3600057748180,4.598665
15,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,stack,281673600,0,0,0,0,0,0,1856,4.598745
15,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,ctx,281673600,0,0,0,0,0,0,400,4.598784
15,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,heap,281673600,0,0,0,0,0,0,784,4.598818
15,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,usage,281673600,0,0,0,0,0,0,753664,4.598849
16,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,write,277938112,278011736,1085832,69984,278011736,277971580,286654464,3600059657460,4.744220
16,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,stack,277938112,0,0,0,0,0,0,1856,4.744294
16,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,ctx,277938112,0,0,0,0,0,0,400,4.744329
16,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,heap,277938112,0,0,0,0,0,0,784,4.744357
16,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,usage,277938112,0,0,0,0,0,0,1310720,4.744384
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,write,284528832,285232638,1112529,69736,285232638,284806208,285638656,3600000902000,4.817134
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,stack,284528832,0,0,0,0,0,0,2000,4.817194
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,ctx,284528832,0,0,0,0,0,0,400,4.817224
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,heap,284528832,0,0,0,0,0,0,784,4.817247
