i,suite,case,NO_SET,PROG_SIZE,DISK_GEOMETRY,SEED,CHUNK,DISK_SIZE,FS,SKIP_WARMUP,SIM_TIME,FILE_COUNT,FILE_SIZE,SIZE,SIM_SIZE,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
14,bench_p26_wt,bench_p26_wt_linear,0,4,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,284971520,287040056,1115347,69710,287040056,285527628,285532160,3600044501348,6.614849
14,bench_p26_wt,bench_p26_wt_linear,0,4,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,284971520,0,0,0,0,0,0,2000,6.615107
14,bench_p26_wt,bench_p26_wt_linear,0,4,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,284971520,0,0,0,0,0,0,400,6.615172
14,bench_p26_wt,bench_p26_wt_linear,0,4,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,284971520,0,0,0,0,0,0,784,6.615227
14,bench_p26_wt,bench_p26_wt_linear,0,4,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,284971520,0,0,0,0,0,0,1880064,6.615281
17,bench_p26_wt,bench_p26_wt_linear,0,32,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,284971520,287039644,1115347,69710,287039644,285528192,285532160,3600044495584,6.701399
17,bench_p26_wt,bench_p26_wt_linear,0,32,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,284971520,0,0,0,0,0,0,2000,6.701513
17,bench_p26_wt,bench_p26_wt_linear,0,32,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,284971520,0,0,0,0,0,0,400,6.701576
17,bench_p26_wt,bench_p26_wt_linear,0,32,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,284971520,0,0,0,0,0,0,784,6.701632
17,bench_p26_wt,bench_p26_wt_linear,0,32,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,284971520,0,0,0,0,0,0,1880064,6.701685
22,bench_p26_wt,bench_p26_wt_linear,0,1024,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,284959296,290316436,1115308,69708,290316436,285518848,285523968,3600069787424,6.741026
22,bench_p26_wt,bench_p26_wt_linear,0,1024,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,284959296,0,0,0,0,0,0,2000,6.741127
22,bench_p26_wt,bench_p26_wt_linear,0,1024,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,284959296,0,0,0,0,0,0,400,6.741186
22,bench_p26_wt,bench_p26_wt_linear,0,1024,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,284959296,0,0,0,0,0,0,3088,6.741239
22,bench_p26_wt,bench_p26_wt_linear,0,1024,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,284959296,0,0,0,0,0,0,1867776,6.741289
15,bench_p26_wt,bench_p26_wt_linear,0,8,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,284971520,287040508,1115347,69710,287040508,285528176,285532160,3600044529840,6.761527
15,bench_p26_wt,bench_p26_wt_linear,0,8,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,284971520,0,0,0,0,0,0,2000,6.761597
15,bench_p26_wt,bench_p26_wt_linear,0,8,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,284971520,0,0,0,0,0,0,400,6.761641
15,bench_p26_wt,bench_p26_wt_linear,0,8,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,284971520,0,0,0,0,0,0,784,6.761678
15,bench_p26_wt,bench_p26_wt_linear,0,8,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,284971520,0,0,0,0,0,0,1880064,6.761713
12,bench_p26_wt,bench_p26_wt_linear,0,1,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,284971520,287042694,1115347,69710,287042694,285527628,285532160,3600044606868,6.780167
12,bench_p26_wt,bench_p26_wt_linear,0,1,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,284971520,0,0,0,0,0,0,2000,6.780234
12,bench_p26_wt,bench_p26_wt_linear,0,1,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,284971520,0,0,0,0,0,0,400,6.780277
12,bench_p26_wt,bench_p26_wt_linear,0,1,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,284971520,0,0,0,0,0,0,784,6.780312
