i,suite,case,SEED,SIM_TIME,CHUNK,FILE_SIZE,FS,SKIP_WARMUP,NO_SET,FILE_COUNT,DISK_GEOMETRY,SIM_SIZE,SIZE,NO_FRUNCATE,DISK_SIZE,READ_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
21,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,512,write,284738496,359683072,1114435,69653,359683072,285294148,285298688,3600015945740,4.887074
21,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,512,stack,284738496,0,0,0,0,0,0,2000,4.887275
21,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,512,ctx,284738496,0,0,0,0,0,0,400,4.887326
21,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,512,heap,284738496,0,0,0,0,0,0,1552,4.887384
21,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,512,usage,284738496,0,0,0,0,0,0,1646592,4.887428
23,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2048,write,284047616,577839104,1111731,69484,577839104,284601920,284606464,3600042315712,4.983012
23,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2048,stack,284047616,0,0,0,0,0,0,2000,4.983110
23,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2048,ctx,284047616,0,0,0,0,0,0,400,4.983158
23,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2048,heap,284047616,0,0,0,0,0,0,6160,4.983201
23,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2048,usage,284047616,0,0,0,0,0,0,954368,4.983243
22,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1024,write,284509568,431922176,1113539,69597,431922176,285064772,285069312,3600022712332,4.996176
22,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1024,stack,284509568,0,0,0,0,0,0,2000,4.996252
22,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1024,ctx,284509568,0,0,0,0,0,0,400,4.996299
22,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1024,heap,284509568,0,0,0,0,0,0,3088,4.996341
22,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1024,usage,284509568,0,0,0,0,0,0,1417216,4.996381
16,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,16,write,284963328,288769248,1115315,69708,288769248,285519424,285523968,3600010711744,5.099321
16,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,16,stack,284963328,0,0,0,0,0,0,2000,5.099422
16,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,16,ctx,284963328,0,0,0,0,0,0,400,5.099469
16,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,16,heap,284963328,0,0,0,0,0,0,784,5.099510
16,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,16,usage,284963328,0,0,0,0,0,0,1871872,5.099550
17,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,32,write,284959232,290933856,1115298,69706,290933856,285515312,285515776,3600000418448,5.135989
17,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,32,stack,284959232,0,0,0,0,0,0,2000,5.136067
17,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,32,ctx,284959232,0,0,0,0,0,0,400,5.136111
17,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,32,heap,284959232,0,0,0,0,0,0,784,5.136150
17,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,32,usage,284959232,0,0,0,0,0,0,1863680,5.136195
20,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,256,write,284857088,322893824,1114899,69682,322893824,285412972,285417472,3600037253892,5.205909
20,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,256,stack,284857088,0,0,0,0,0,0,2000,5.206007
20,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,256,ctx,284857088,0,0,0,0,0,0,400,5.206054
20,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,256,heap,284857088,0,0,0,0,0,0,784,5.206094
20,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,256,usage,284857088,0,0,0,0,0,0,1765376,5.206133
18,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,64,write,284942912,295498304,1115235,69703,295498304,285498952,285503488,3600022481496,5.261335
18,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,64,stack,284942912,0,0,0,0,0,0,2000,5.261422
18,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,64,ctx,284942912,0,0,0,0,0,0,400,5.261468
18,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,64,heap,284942912,0,0,0,0,0,0,784,5.261508
18,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,64,usage,284942912,0,0,0,0,0,0,1851392,5.261547
19,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,128,write,284914304,304631168,1115123,69696,304631168,285470300,285474816,3600027446740,5.272019
19,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,128,stack,284914304,0,0,0,0,0,0,2000,5.272084
19,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,128,ctx,284914304,0,0,0,0,0,0,400,5.272129
19,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,128,heap,284914304,0,0,0,0,0,0,784,5.272168
19,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,128,usage,284914304,0,0,0,0,0,0,1822720,5.272205
14,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,4,write,284969728,287150780,1115340,69709,287150780,285525828,285528064,3600001096556,5.271529
