i,suite,case,FILE_COUNT,DISK_GEOMETRY,SIM_TIME,SEED,NO_SET,NO_FRUNCATE,SIM_SIZE,SKIP_WARMUP,SIZE,CHUNK,FILE_SIZE,BLOCK_SIZE,DISK_SIZE,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,4096,134217728,3,write,1492456000,103265593,3847290,500446,1721822071,1969812480,2049826816,3600012162517,31.955640
12,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,4096,134217728,3,stack,1492456000,0,0,0,0,0,0,3312,31.955835
12,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,4096,134217728,3,ctx,1492456000,0,0,0,0,0,0,624,31.955884
12,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,4096,134217728,3,heap,1492456000,0,0,0,0,0,0,1296,31.955932
12,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,4096,134217728,3,usage,1492456000,0,0,0,0,0,0,1499136,31.955973
15,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,32768,134217728,3,write,3687580224,54258018,8397011,131348,1172167289,4299269632,4304011264,3600006101243,49.983224
15,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,32768,134217728,3,stack,3687580224,0,0,0,0,0,0,3280,49.983327
15,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,32768,134217728,3,ctx,3687580224,0,0,0,0,0,0,624,49.983378
15,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,32768,134217728,3,heap,3687580224,0,0,0,0,0,0,1296,49.983424
15,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,32768,134217728,3,usage,3687580224,0,0,0,0,0,0,950272,49.983468
13,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,write,2804949568,78319424,6173386,390352,1302739023,3160773632,3197763584,3600008890845,53.791597
13,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,stack,2804949568,0,0,0,0,0,0,3232,53.791695
13,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,ctx,2804949568,0,0,0,0,0,0,624,53.791745
13,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,heap,2804949568,0,0,0,0,0,0,1296,53.791790
13,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,usage,2804949568,0,0,0,0,0,0,1122304,53.791831
17,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,131072,134217728,3,write,4630589504,28918859,10728232,41919,1158180569,5492854784,5494407168,3600008792603,59.607114
17,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,131072,134217728,3,stack,4630589504,0,0,0,0,0,0,3312,59.607212
17,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,131072,134217728,3,ctx,4630589504,0,0,0,0,0,0,624,59.607261
17,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,131072,134217728,3,heap,4630589504,0,0,0,0,0,0,1296,59.607307
17,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,131072,134217728,3,usage,4630589504,0,0,0,0,0,0,786432,59.607348
14,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,write,2942090304,73736647,6602463,207096,1213745306,3380461056,3393060864,3600002665838,60.559081
14,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,stack,2942090304,0,0,0,0,0,0,3312,60.559176
14,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,ctx,2942090304,0,0,0,0,0,0,624,60.559223
14,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,heap,2942090304,0,0,0,0,0,0,1296,60.559263
14,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,usage,2942090304,0,0,0,0,0,0,1982464,60.559302
18,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,write,4630524992,28469303,10767963,42074,1180478947,5513197056,5514723328,3600002447833,70.331616
18,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,stack,4630524992,0,0,0,0,0,0,3280,70.331712
18,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,ctx,4630524992,0,0,0,0,0,0,624,70.331758
18,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,heap,4630524992,0,0,0,0,0,0,1296,70.331799
18,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,usage,4630524992,0,0,0,0,0,0,1310720,70.331838
16,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,write,4441966656,34471915,10218758,79883,1140304523,5232004096,5235212288,3600001829969,74.846327
16,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,stack,4441966656,0,0,0,0,0,0,3312,74.846414
16,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,ctx,4441966656,0,0,0,0,0,0,624,74.846456
16,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,heap,4441966656,0,0,0,0,0,0,1296,74.846492
16,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,usage,4441966656,0,0,0,0,0,0,524288,74.846527
20,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,write,4559310912,29765446,10645801,41608,1224287858,5450650112,5453643776,3600061333622,75.209782
20,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,stack,4559310912,0,0,0,0,0,0,3232,75.209853
20,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,ctx,4559310912,0,0,0,0,0,0,624,75.209887
20,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,heap,4559310912,0,0,0,0,0,0,1296,75.209916
