i,suite,case,PROG_SIZE,DISK_GEOMETRY,NO_FRUNCATE,SIM_TIME,SEED,FILE_SIZE,FS,SIZE,CHUNK,SIM_SIZE,NO_SET,DISK_SIZE,SKIP_WARMUP,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,16,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,2327053376,28285895,11223720,20291,537143479,2654512544,2659581952,3600003133557,57.290580
16,bench_p26_wt,bench_p26_wt_linear,16,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,2327053376,0,0,0,0,0,0,3296,57.290805
16,bench_p26_wt,bench_p26_wt_linear,16,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,2327053376,0,0,0,0,0,0,624,57.290863
16,bench_p26_wt,bench_p26_wt_linear,16,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,2327053376,0,0,0,0,0,0,784,57.290930
16,bench_p26_wt,bench_p26_wt_linear,16,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,2327053376,0,0,0,0,0,0,1966080,57.290983
18,bench_p26_wt,bench_p26_wt_linear,64,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,2337631296,28052701,11236822,20622,588672819,2698371520,2702966784,3600008921609,57.641555
18,bench_p26_wt,bench_p26_wt_linear,64,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,2337631296,0,0,0,0,0,0,3296,57.641672
18,bench_p26_wt,bench_p26_wt_linear,64,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,2337631296,0,0,0,0,0,0,624,57.641730
18,bench_p26_wt,bench_p26_wt_linear,64,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,2337631296,0,0,0,0,0,0,784,57.641786
18,bench_p26_wt,bench_p26_wt_linear,64,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,2337631296,0,0,0,0,0,0,2097152,57.641839
14,bench_p26_wt,bench_p26_wt_linear,4,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,2338987584,27825867,11270546,20300,513903260,2656071036,2660761600,3600002984392,58.011556
14,bench_p26_wt,bench_p26_wt_linear,4,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,2338987584,0,0,0,0,0,0,3296,58.011662
14,bench_p26_wt,bench_p26_wt_linear,4,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,2338987584,0,0,0,0,0,0,624,58.011722
14,bench_p26_wt,bench_p26_wt_linear,4,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,2338987584,0,0,0,0,0,0,784,58.011780
14,bench_p26_wt,bench_p26_wt_linear,4,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,2338987584,0,0,0,0,0,0,1310720,58.011827
15,bench_p26_wt,bench_p26_wt_linear,8,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,2327709248,28243244,11229278,20257,527324947,2649916432,2655125504,3600002917273,58.488991
15,bench_p26_wt,bench_p26_wt_linear,8,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,2327709248,0,0,0,0,0,0,3312,58.489096
15,bench_p26_wt,bench_p26_wt_linear,8,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,2327709248,0,0,0,0,0,0,624,58.489150
15,bench_p26_wt,bench_p26_wt_linear,8,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,2327709248,0,0,0,0,0,0,784,58.489196
15,bench_p26_wt,bench_p26_wt_linear,8,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,2327709248,0,0,0,0,0,0,2621440,58.489240
19,bench_p26_wt,bench_p26_wt_linear,128,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,2344490560,28099146,11223786,20763,663038440,2720424064,2721447936,3600002393528,58.931840
19,bench_p26_wt,bench_p26_wt_linear,128,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,2344490560,0,0,0,0,0,0,3296,58.931954
19,bench_p26_wt,bench_p26_wt_linear,128,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,2344490560,0,0,0,0,0,0,624,58.932006
19,bench_p26_wt,bench_p26_wt_linear,128,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,2344490560,0,0,0,0,0,0,784,58.932052
19,bench_p26_wt,bench_p26_wt_linear,128,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,2344490560,0,0,0,0,0,0,2621440,58.932104
20,bench_p26_wt,bench_p26_wt_linear,256,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,2343313216,28176865,11185212,21853,814832022,2863414272,2864316416,3600018389538,59.453275
20,bench_p26_wt,bench_p26_wt_linear,256,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,2343313216,0,0,0,0,0,0,3296,59.453392
