i,suite,case,FILE_SIZE,SIZE,SIM_TIME,FILE_COUNT,SIM_SIZE,NO_SET,NO_FRUNCATE,DISK_SIZE,SEED,SKIP_WARMUP,DISK_GEOMETRY,READ_SIZE,CHUNK,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2,64,3,write,3768454720,50764699,8730829,34115,997624738,4470184448,4471521280,3600004446982,81.565719
13,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2,64,3,stack,3768454720,0,0,0,0,0,0,3312,81.565941
13,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2,64,3,ctx,3768454720,0,0,0,0,0,0,624,81.565993
13,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2,64,3,heap,3768454720,0,0,0,0,0,0,1296,81.566039
13,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2,64,3,usage,3768454720,0,0,0,0,0,0,2621440,81.566083
14,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4,64,3,write,3699245632,52491752,8570492,33488,1019191488,4388091904,4389339136,3600004617792,83.446784
14,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4,64,3,stack,3699245632,0,0,0,0,0,0,3312,83.446912
14,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4,64,3,ctx,3699245632,0,0,0,0,0,0,624,83.446963
14,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4,64,3,heap,3699245632,0,0,0,0,0,0,1296,83.447008
14,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4,64,3,usage,3699245632,0,0,0,0,0,0,2621440,83.447051
