i,suite,case,FILE_COUNT,SEED,SIZE,NO_SET,FS,DISK_SIZE,BLOCK_SIZE,DISK_GEOMETRY,SKIP_WARMUP,SIM_SIZE,CHUNK,FILE_SIZE,SIM_TIME,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,65536,0,0,0,64,64,3600000000000,0,write,247074880,56415816,1290058,68368,56415816,279454486,280035328,3600222708706,4.772333
16,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,65536,0,0,0,64,64,3600000000000,0,stack,247074880,0,0,0,0,0,0,3312,4.772532
16,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,65536,0,0,0,64,64,3600000000000,0,ctx,247074880,0,0,0,0,0,0,624,4.772580
16,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,65536,0,0,0,64,64,3600000000000,0,heap,247074880,0,0,0,0,0,0,784,4.772622
16,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,65536,0,0,0,64,64,3600000000000,0,usage,247074880,0,0,0,0,0,0,2097152,4.772671
14,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,16384,0,0,0,64,64,3600000000000,0,write,250905664,90968455,1260821,68596,90968455,280273492,280969216,3600181526612,4.968852
14,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,16384,0,0,0,64,64,3600000000000,0,stack,250905664,0,0,0,0,0,0,3296,4.968949
14,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,16384,0,0,0,64,64,3600000000000,0,ctx,250905664,0,0,0,0,0,0,624,4.968999
14,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,16384,0,0,0,64,64,3600000000000,0,heap,250905664,0,0,0,0,0,0,784,4.969042
14,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,16384,0,0,0,64,64,3600000000000,0,usage,250905664,0,0,0,0,0,0,1458176,4.969083
13,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,8192,0,0,0,64,64,3600000000000,0,write,251314496,130547658,1259361,68572,130547658,277667939,280870912,3600051034601,5.333035
13,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,8192,0,0,0,64,64,3600000000000,0,stack,251314496,0,0,0,0,0,0,3264,5.333138
13,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,8192,0,0,0,64,64,3600000000000,0,ctx,251314496,0,0,0,0,0,0,624,5.333187
13,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,8192,0,0,0,64,64,3600000000000,0,heap,251314496,0,0,0,0,0,0,784,5.333231
13,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,8192,0,0,0,64,64,3600000000000,0,usage,251314496,0,0,0,0,0,0,1826816,5.333271
20,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,1048576,0,0,0,64,64,3600000000000,0,write,244383808,58644376,1298606,68352,58644376,279113327,279969792,3603005684733,6.765034
20,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,1048576,0,0,0,64,64,3600000000000,0,stack,244383808,0,0,0,0,0,0,3296,6.765138
20,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,1048576,0,0,0,64,64,3600000000000,0,ctx,244383808,0,0,0,0,0,0,624,6.765185
20,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,1048576,0,0,0,64,64,3600000000000,0,heap,244383808,0,0,0,0,0,0,784,6.765226
20,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,1048576,0,0,0,64,64,3600000000000,0,usage,244383808,0,0,0,0,0,0,5242880,6.765265
18,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,write,244593728,56571570,1295765,68352,56571570,279149287,279969792,3601786692085,6.794193
18,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,stack,244593728,0,0,0,0,0,0,3296,6.794279
18,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,ctx,244593728,0,0,0,0,0,0,624,6.794328
18,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,heap,244593728,0,0,0,0,0,0,784,6.794371
